,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,0,0,0,19,10,,185,2,0,0,0,0,,0
,CANADA,956,4453,5409,3863,10869,,19748,634,69,7657,0,1734,,7337
,FRANCE,10,548,558,497,1169,,795,134,6,78,0,75,,77
,GERMANY,1,394,395,851,-26,,2678,109,0,245,0,245,,35
,ITALY,0,165,165,708,1053,,69,41,0,0,0,0,,0
,JAPAN,2,2070,2072,2175,-35,,906,32,0,6927,0,0,,6927
,LUXEMBOURG,1566,704,2270,2382,154,,186,48,3,74,0,61,,13
,NETHERLANDS,27,150,177,2330,1370,,1657,169,22,145,0,106,,134
,SWEDEN,0,17,17,981,-20,,1592,26,5,146,0,146,,42
,SWITZERLAND,0,6,6,1194,177,,383,145,0,11,0,11,,0
,UNITED KINGDOM,27125,17652,44777,16886,-11279,,5704,417,8,2757,0,1508,,1510
,Total,29687,26159,55846,31886,3442,,33903,1757,113,18040,0,3886,,16075
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,3058,3345,6403,5827,-1575,,5753,215,8,44,0,44,,8
,AUSTRIA,0,34,34,32,13,,1,1,0,1,0,1,,0
,CYPRUS,0,0,0,14,0,,0,0,0,0,0,0,,0
,DENMARK,0,3,3,139,25,,201,2,0,51,0,8,,43
,FINLAND,0,46,46,132,27,,565,0,0,0,0,0,,0
,GREECE,0,0,0,0,1,,0,0,0,0,0,0,,0
,IRELAND,2492,116,2608,7044,4858,,173,67,29,566,0,115,,451
,ISRAEL,0,0,0,13,0,,170,4,0,82,0,82,,0
,NEW ZEALAND,3,57,60,952,108,,160,26,0,0,0,0,,0
,NORWAY,0,145,145,916,-54,,798,52,0,0,0,0,,0
,PORTUGAL,0,0,0,0,0,,42,4,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,0,247,247,132,91,,166,30,0,30,0,29,,1
,OTHER NON G-10 DEV.,0,0,0,44,0,,19,0,0,0,0,0,,0
,Total,5553,3993,9546,15245,3494,,8048,401,37,774,0,279,,503
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,0,0,0,1,1,,0,0,0,0,0,0,,0
,HUNGARY,0,14,14,1,257,,0,1,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,73,73,80,86,,1,1,0,0,0,0,,0
,ROMANIA,0,0,0,0,0,,0,1,0,0,0,0,,0
,RUSSIA,0,3,3,8,61,,13,2,0,0,0,0,,0
,TURKEY,0,0,0,20,0,,19,2,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,2,0,,0,3,0,0,0,0,,0
,Total,0,90,90,112,405,,33,10,0,0,0,0,,0
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,3,0,,0,0,0,0,0,0,,0
,ARGENTINA,22,456,478,449,454,,4,3,0,0,0,0,,0
,BRAZIL,0,15,15,44,2,,113,733,0,0,0,0,,0
,CHILE,0,27,27,44,7,,87,1,0,1,0,1,,0
,COLOMBIA,0,0,0,0,0,,14,3,0,0,0,0,,0
