,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,94,0,0,94,93,1,228,2,0,230,228,0,219,0,3,222,,128,0
,CANADA,12327,1882,2842,17051,19858,566,10742,491,435,11668,937,13,7825,509,279,8613,,7907,25
,FRANCE,2532,15,145,2692,1607,43,3,41,0,44,0,0,197,6,0,203,,162,0
,GERMANY,3333,33,173,3539,2172,12,2126,4,5,2135,1914,0,432,3,0,435,,196,0
,ITALY,36,85,0,121,32,2,11,35,0,46,8,0,13,0,0,13,,8,0
,JAPAN,8247,562,3,8812,4990,0,751,24,0,775,751,0,5071,90,26,5187,,5065,0
,LUXEMBOURG,407,96,9,512,126,4,47,549,0,596,1,0,421,0,9,430,,336,0
,NETHERLANDS,800,15,24,839,596,28,812,2,0,814,779,0,446,21,78,545,,324,0
,SWEDEN,2107,12,0,2119,1724,4,302,1,0,303,399,0,1,0,0,1,,1,0
,SWITZERLAND,2266,10,78,2354,1078,5,1,1,0,2,1,0,198,0,27,225,,54,0
,UNITED KINGDOM,7988,1762,1001,10751,5488,1396,782,7622,8,8412,132,229,4209,203,1383,5795,,4716,36
,Total,40137,4472,4275,48884,37764,2061,15805,8772,448,25025,5150,242,19032,832,1805,21669,,18897,61
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5584,1717,105,7406,5164,6,0,344,0,344,78,0,207,11,12,230,,265,2
,AUSTRIA,10,0,0,10,3,0,94,0,0,94,94,0,119,1,0,120,,119,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DENMARK,244,4,1,249,217,0,0,0,0,0,0,0,44,0,0,44,,44,0
,FINLAND,464,10,0,474,464,0,396,1,0,397,396,0,75,0,0,75,,75,0
,GREECE,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,24,0
,IRELAND,277,1800,0,2077,136,74,15,2,0,17,0,0,1215,89,167,1471,,773,31
,ISRAEL,69,28,4,101,64,0,170,3,0,173,172,0,1,0,0,1,,1,0
,NEW ZEALAND,111,22,0,133,220,0,0,2,0,2,0,0,16,0,0,16,,14,0
,NORWAY,1168,1,0,1169,1196,0,123,0,0,123,35,0,28,1,3,32,,28,0
,PORTUGAL,4,0,0,4,2,0,133,0,0,133,133,0,0,0,0,0,,0,0
,SLOVAKIA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,2023,49,42,2114,943,1,66,2,0,68,13,0,237,99,0,336,,33,0
,OTHER NON G-10 DEV.,8,0,0,8,8,0,0,0,0,0,0,0,11,0,0,11,,173,0
,Total,9967,3631,152,13750,8419,81,997,354,0,1351,921,0,1953,201,182,2336,,1549,33
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,32,0,0,32,35,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HUNGARY,14,0,0,14,9,0,1,0,0,1,1,0,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,72,22,0,94,15,0,2,1,0,3,2,0,0,10,0,10,,0,0
,ROMANIA,1,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,,0,0
,RUSSIA,16,15,0,31,10,0,1,13,0,14,1,0,0,0,0,0,,0,0
,TURKEY,279,0,0,279,313,0,4,0,0,4,4,0,11,0,0,11,,11,0
,OTHER E. EUROPE,12,0,0,12,19,0,2,0,0,2,2,0,0,0,0,0,,11,0
,Total,429,37,0,466,403,0,11,14,0,25,11,0,11,10,0,21,,22,0
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,47,0,0,0,0,0,0,0,48,0,0,48,,0,0
,ARGENTINA,21,105,0,126,14,2,7,2,0,9,3,0,11,17,0,28,,3,0
,BRAZIL,3164,21,8,3193,2933,5,788,0,0,788,765,0,229,0,0,229,,206,0
,CHILE,306,67,5,378,271,1,0,3,1,4,0,0,27,0,6,33,,38,1
,COLOMBIA,496,0,3,499,549,0,8,0,0,8,8,0,22,0,3,25,,22,0
,COSTA RICA,120,0,0,120,316,0,0,0,0,0,0,0,0,0,0,0,,9,0
,DOMINICAN REPUBLIC,307,0,0,307,307,0,1,0,0,1,1,0,0,0,0,0,,3,0
,ECUADOR,1,25,0,26,1,0,0,1,0,1,0,0,1,0,0,1,,1,0
,EL SALVADOR,35,0,0,35,107,0,0,0,0,0,0,0,9,0,0,9,,9,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,141,0,0,141,421,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HONDURAS,22,0,0,22,27,0,50,0,0,50,50,0,0,0,0,0,,0,0
,MEXICO,1189,69,28,1286,1107,0,3535,99,0,3634,3522,0,337,122,0,459,,248,0
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
