,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,270,19,289,15,1,16,0,305,205,18,223,0,,0,0
,CANADA,5786,856,6642,6004,6817,12821,570,20033,4957,820,5777,1034,,18,1052
,FRANCE,1437,110,1547,582,494,1076,1,2624,1485,68,1553,6,,0,6
,GERMANY,1893,668,2561,84,48,132,2,2695,1664,664,2328,1,,0,1
,ITALY,214,28,242,564,524,1088,0,1330,32,21,53,30,,0,30
,JAPAN,793,174,967,791,1267,2058,1,3026,66,167,233,0,,0,0
,LUXEMBOURG,2859,202,3061,64,4,68,11,3140,3202,194,3396,1,,0,1
,NETHERLANDS,2869,131,3000,914,1,915,7,3922,4382,129,4511,863,,0,863
,SWEDEN,285,187,472,26,13,39,2,513,267,186,453,2,,0,2
,SWITZERLAND,594,160,754,172,0,172,12,938,619,157,776,1,,0,1
,UNITED KINGDOM,5146,749,5895,2418,6030,8448,15,14358,4576,805,5381,463,,6,469
,Total,22146,3284,25430,11634,15199,26833,621,52884,21455,3229,24684,2401,,24,2425
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1694,982,2676,1038,860,1898,7,4581,1843,630,2473,4,,0,4
,AUSTRIA,110,8,118,23,27,50,0,168,123,8,131,0,,0,0
,CYPRUS,42,1,43,0,0,0,0,43,0,1,1,0,,0,0
,DENMARK,92,3,95,17,0,17,0,112,43,3,46,0,,0,0
,FINLAND,2,2,4,22,55,77,0,81,4,2,6,0,,0,0
,GREECE,99,6,105,0,0,0,0,105,81,5,86,0,,0,0
,IRELAND,1842,110,1952,10,0,10,5,1967,2183,111,2294,5,,0,5
,ISRAEL,452,21,473,0,0,0,0,473,152,30,182,0,,0,0
,NEW ZEALAND,138,53,191,139,101,240,1,432,312,54,366,0,,0,0
,NORWAY,254,16,270,24,0,24,0,294,201,12,213,0,,0,0
,PORTUGAL,55,4,59,0,0,0,0,59,37,4,41,0,,0,0
,SLOVAKIA,2,0,2,0,0,0,0,2,2,0,2,0,,0,0
,SPAIN,269,19,288,215,277,492,0,780,286,31,317,0,,0,0
,OTHER NON G-10 DEV.,215,13,228,0,0,0,0,228,72,10,82,0,,0,0
,Total,5266,1238,6504,1488,1320,2808,13,9325,5339,901,6240,9,,0,9
