,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,16827,6463,637,5826,3576,26866,,12525,255,26933,26315,11609,,10983,53
,CANADA,45853,31154,5648,25506,14324,91331,,35107,8204,49983,48730,23023,,22276,342
,FRANCE,155017,4773,300,4473,22115,181905,,49932,4140,335814,327912,156731,,149939,323
,GERMANY,114159,44884,674,44210,33785,192828,,33096,4073,302736,300959,144119,,143083,738
,ITALY,42439,3999,233,3766,22419,68857,,8845,1036,298406,302286,82875,,86832,116
,JAPAN,71204,222365,58128,164237,13511,307080,,36570,4805,146878,144779,70082,,67840,110
,LUXEMBOURG,36186,6796,231,6565,6256,49238,,6821,2354,31348,32029,12651,,13527,731
,NETHERLANDS,57538,7161,12,7149,13351,78050,,23228,3176,165149,164535,74266,,74327,1154
,SWEDEN,19221,868,6,862,1816,21905,,6061,268,59214,58181,29577,,28703,119
,SWITZERLAND,33120,20898,6193,14705,8029,62047,,12653,5025,106768,102479,55450,,51695,1822
,UNITED KINGDOM,81201,314611,98692,215919,112008,507820,,127092,11379,457423,465550,219587,,229970,1391
,Total,672765,663972,170754,493218,251190,1587927,,351930,44715,1980652,1973755,879970,,879175,6899
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,27621,46734,3319,43415,6607,80962,,18488,1665,90942,89071,38405,,37203,416
,AUSTRIA,10903,1,0,1,969,11873,,1431,105,23632,24473,9493,,10390,39
,CYPRUS,1333,0,0,0,487,1820,,360,15,949,942,420,,413,5
,DENMARK,9014,105,5,100,2358,11477,,2720,120,16733,16800,7667,,7770,20
,FINLAND,10040,13,0,13,2468,12521,,1355,235,33935,32735,15902,,14879,5
,GREECE,2313,307,0,307,919,3539,,98,247,6544,6429,3329,,3246,0
,IRELAND,54784,4323,1783,2540,4678,63785,,6066,2403,24971,24446,12567,,12047,4
,ISRAEL,3281,1021,267,754,803,5105,,5201,211,7633,7560,3154,,3091,25
,NEW ZEALAND,1584,1256,13,1243,813,3653,,512,87,5311,5419,2483,,2610,14
,NORWAY,10515,54,1,53,894,11463,,3097,503,21274,20942,10462,,10180,53
,PORTUGAL,3584,88,4,84,214,3886,,317,69,44222,42784,17213,,15767,35
,SLOVAKIA,297,250,11,239,91,638,,54,61,3754,3818,1069,,1134,8
