,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2016
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5348,466,5814,468,16,484,1121,7419,4080,467,4547,34,,0,34
,CANADA,16691,1401,18092,23584,9722,33306,2867,54265,16626,1322,17948,7487,,23,7510
,FRANCE,22688,926,23614,2970,1305,4275,2192,30081,24466,880,25346,136,,35,171
,GERMANY,27155,945,28100,860,321,1181,5726,35007,26989,681,27670,148,,9,157
,ITALY,8210,252,8462,2564,1119,3683,1932,14077,8362,236,8598,244,,36,280
,JAPAN,13113,333,13446,17892,1576,19468,1507,34421,12054,335,12389,1930,,0,1930
,LUXEMBOURG,12913,534,13447,2182,2,2184,1556,17187,17462,258,17720,229,,0,229
,NETHERLANDS,22137,203,22340,1004,339,1343,2706,26389,34768,192,34960,848,,0,848
,SWEDEN,4782,210,4992,39,4,43,188,5223,5015,214,5229,4,,0,4
,SWITZERLAND,12754,751,13505,2779,3521,6300,1952,21757,12532,745,13277,2504,,3074,5578
,UNITED KINGDOM,18615,5560,24175,60540,17822,78362,8513,111050,16977,5373,22350,12292,,1529,13821
,Total,164406,11581,175987,114882,35747,150629,30260,356876,179331,10703,190034,25856,,4706,30562
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,8996,622,9618,9558,11885,21443,961,32022,9310,639,9949,2353,,0,2353
,AUSTRIA,2724,15,2739,26,31,57,135,2931,3538,14,3552,0,,0,0
,CYPRUS,423,7,430,0,0,0,7,437,886,7,893,0,,0,0
,DENMARK,2872,13,2885,23,0,23,1203,4111,2666,10,2676,3,,0,3
,FINLAND,2238,3,2241,26,53,79,180,2500,2608,4,2612,1,,0,1
,GREECE,453,27,480,4,0,4,3,487,657,23,680,0,,0,0
,IRELAND,14471,330,14801,2542,0,2542,1135,18478,14808,206,15014,281,,0,281
,ISRAEL,2677,370,3047,459,0,459,648,4154,1575,284,1859,231,,0,231
,NEW ZEALAND,490,71,561,407,109,516,79,1156,783,70,853,8,,0,8
,NORWAY,2265,32,2297,30,1,31,289,2617,2115,23,2138,1,,0,1
,PORTUGAL,731,40,771,127,0,127,107,1005,781,49,830,38,,0,38
,SLOVAKIA,331,0,331,155,0,155,32,518,226,0,226,15,,0,15
,SPAIN,13298,1333,14631,1626,288,1914,881,17426,13712,1377,15089,15,,0,15
,OTHER NON G-10 DEV.,432,69,501,0,0,0,103,604,465,74,539,0,,0,0
,Total,52401,2932,55333,14983,12367,27350,5763,88446,54130,2780,56910,2946,,0,2946
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,55,1,56,53,0,53,1,110,94,0,94,37,,0,37
,CZECH REPUBLIC,207,45,252,891,2,893,130,1275,345,45,390,370,,0,370
,HUNGARY,403,6,409,403,226,629,25,1063,288,5,293,171,,0,171
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,541,11,552,2638,1638,4276,63,4891,511,9,520,644,,22,666
,ROMANIA,89,4,93,264,0,264,3,360,152,4,156,98,,0,98
,RUSSIA,4342,267,4609,1413,736,2149,256,7014,3509,267,3776,449,,7,456
,TURKEY,3783,175,3958,1250,0,1250,249,5457,3466,143,3609,435,,0,435
,OTHER E. EUROPE,633,14,647,75,3,78,4,729,694,7,701,7,,0,7
,Total,10053,523,10576,6987,2605,9592,731,20899,9059,480,9539,2211,,29,2240
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,49,0,49,0,0,0,5,54,77,0,77,0,,0,0
,ARGENTINA,868,236,1104,1274,1026,2300,22,3426,1173,254,1427,139,,79,218
,BRAZIL,26024,1314,27338,5653,1148,6801,2489,36628,19901,1188,21089,1300,,1,1301
,CHILE,3320,70,3390,92,1,93,312,3795,3635,101,3736,0,,0,0
,COLOMBIA,2979,260,3239,573,1587,2160,189,5588,2954,214,3168,12,,0,12
,COSTA RICA,380,15,395,21,0,21,29,445,333,28,361,3,,0,3
,DOMINICAN REPUBLIC,377,67,444,87,0,87,2,533,561,153,714,72,,0,72
,ECUADOR,287,135,422,256,0,256,0,678,545,138,683,299,,0,299
,EL SALVADOR,147,42,189,87,755,842,6,1037,191,50,241,87,,755,842
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,608,45,653,74,506,580,61,1294,647,66,713,64,,81,145
,HONDURAS,65,31,96,10,0,10,6,112,143,45,188,3,,0,3
,MEXICO,13232,2967,16199,13768,18989,32757,1008,49964,16750,3520,20270,3582,,39,3621
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1392,198,1590,507,1,508,74,2172,1466,192,1658,201,,0,201
,URUGUAY,324,29,353,156,0,156,758,1267,502,81,583,131,,0,131
,VENEZUELA,270,887,1157,23,0,23,0,1180,638,1266,1904,1,,0,1
,OTHER LAT. AM. & CAR.,5845,812,6657,399,348,747,177,7581,17263,914,18177,250,,199,449
,Total,56167,7108,63275,22980,24361,47341,5138,115754,66779,8210,74989,6144,,1154,7298
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,16139,1246,17385,7764,3558,11322,272,28979,13486,1385,14871,2102,,241,2343
,INDIA,16876,220,17096,8185,4597,12782,313,30191,14759,172,14931,3544,,0,3544
,INDONESIA,1891,1259,3150,1522,962,2484,96,5730,3042,1396,4438,1003,,115,1118
,"KOREA, SOUTH",12039,63,12102,6001,17852,23853,635,36590,9998,62,10060,2636,,110,2746
,KUWAIT,801,33,834,49,0,49,2,885,501,134,635,28,,0,28
,MALAYSIA,1278,286,1564,1353,4672,6025,159,7748,1242,297,1539,664,,1,665
,PAKISTAN,96,15,111,156,0,156,1,268,203,15,218,36,,0,36
,PHILIPPINES,749,239,988,483,1047,1530,62,2580,573,314,887,91,,0,91
,QATAR,1267,42,1309,2,0,2,691,2002,1261,89,1350,0,,0,0
,SAUDI ARABIA,1031,277,1308,983,0,983,62,2353,1570,249,1819,396,,0,396
,TAIWAN,8069,404,8473,4969,6602,11571,203,20247,7653,432,8085,2398,,0,2398
,THAILAND,944,124,1068,758,1876,2634,212,3914,945,171,1116,130,,0,130
,UNITED ARAB EMIRATES,1906,475,2381,1182,1299,2481,427,5289,1433,1183,2616,1193,,557,1750
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,3558,127,3685,761,20,781,147,4613,4299,178,4477,280,,0,280
,Total,66644,4810,71454,34168,42485,76653,3282,151389,60965,6077,67042,14501,,1024,15525
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,84,0,84,320,0,320,0,404,84,0,84,45,,0,45
,EGYPT,50,77,127,190,2,192,3,322,67,77,144,64,,0,64
,GHANA,179,2,181,0,0,0,0,181,61,19,80,0,,0,0
,KENYA,48,36,84,266,16,282,0,366,50,51,101,115,,0,115
,MOROCCO,39,5,44,64,0,64,13,121,54,5,59,0,,0,0
,NIGERIA,209,14,223,416,0,416,11,650,160,18,178,117,,0,117
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2694,18,2712,1639,0,1639,62,4413,1185,23,1208,37,,0,37
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,1223,50,1273,474,5,479,270,2022,2127,63,2190,215,,0,215
,Total,4526,202,4728,3369,23,3392,359,8479,3788,256,4044,593,,0,593
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,579,138,717,531,2,533,11,1261,3184,141,3325,255,,1,256
,BAHRAIN,109,28,137,27,191,218,0,355,106,168,274,22,,22,44
,BERMUDA,8849,62,8911,25,0,25,250,9186,7865,29,7894,23,,0,23
,CAYMAN ISLANDS,16751,364,17115,409,93,502,402,18019,18030,316,18346,405,,0,405
,HONG KONG,6709,2212,8921,8556,8627,17183,1247,27351,5614,2403,8017,6542,,1259,7801
,LEBANON,50,38,88,143,0,143,0,231,41,40,81,135,,0,135
,MAURITIUS,312,14,326,24,0,24,4,354,1387,14,1401,24,,0,24
,PANAMA,927,47,974,215,0,215,347,1536,2606,62,2668,225,,0,225
,SINGAPORE,3815,479,4294,5962,11083,17045,1055,22394,3967,535,4502,5029,,2288,7317
,OTHER BANKING CENTERS,8779,212,8991,122,54,176,482,9649,9503,255,9758,256,,47,303
,Total,46880,3594,50474,16014,20050,36064,3798,90336,52303,3963,56266,12916,,3617,16533
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,111499,29072,140571,2450408,2927195,5377603,65956,5584130,97744,28612,126356,69416,,37701,107117
,,,,,,,,,,,,,,,,
,Grand Total,512576,59822,572398,2663791,3064833,5728624,115287,6416309,524099,61081,585180,134583,,48231,182814
