,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2016
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,14673,281,9493,5467,20421,1595,3894,22717
,CANADA,41915,7330,30520,35394,84639,5986,5184,83971
,FRANCE,158289,169,121294,4293,162751,8672,15479,169447
,GERMANY,114444,260,73682,43572,158276,11873,23438,169959
,ITALY,54296,288,41791,4555,59139,4153,1902,56892
,JAPAN,47965,62770,90103,181272,292007,5488,16299,303033
,LUXEMBOURG,43953,1463,25836,8246,53662,9287,2110,46053
,NETHERLANDS,67227,11,28709,3416,70654,15980,4355,58756
,SWEDEN,21263,6,16553,794,22063,1091,1069,22039
,SWITZERLAND,28827,5787,29263,16502,51116,3947,6665,53832
,UNITED KINGDOM,75515,103874,115579,245145,424534,31357,38839,432011
,Total,668367,182239,582823,548656,1399262,99429,119234,1418710
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,28108,3554,16707,51154,82816,5655,3088,80246
,AUSTRIA,12485,0,6645,1,12486,1172,384,11697
,CYPRUS,2018,0,888,0,2018,630,46,1434
,DENMARK,8388,42,7643,49,8479,401,760,8838
,FINLAND,9944,1,5672,14,9959,566,783,10174
,GREECE,7441,0,5721,129,7570,370,115,7315
,IRELAND,61370,4011,46520,2825,68206,8731,4188,63658
,ISRAEL,3765,251,2920,904,4920,492,1295,5723
,NEW ZEALAND,1852,11,1435,1640,3503,813,28,2716
,NORWAY,9297,17,6894,87,9401,764,886,9523
,PORTUGAL,3242,38,2573,94,3374,406,248,3218
,SLOVAKIA,322,15,95,308,645,53,165,758
,SPAIN,38222,325,28105,2415,40962,4610,1876,38228
,OTHER NON G-10 DEV.,1633,1,1402,4,1638,828,399,1209
,Total,188087,8266,133220,59624,255977,25491,14261,244737
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,100,118,121,179,397,45,5,357
,CZECH REPUBLIC,1208,379,1193,2824,4411,299,35,4145
,HUNGARY,1562,223,1084,1722,3507,194,189,3501
,POLAND,2800,1477,2395,10720,14997,386,63,14675
,ROMANIA,447,496,686,1492,2435,93,0,2344
,RUSSIA,6427,1022,4684,4422,11871,1092,1626,12406
,TURKEY,15560,1009,13089,2257,18826,1461,1672,19037
,OTHER E. EUROPE,1724,10,1061,505,2239,335,13,1917
,Total,29828,4734,24313,24121,58683,3905,3603,58382
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,4911,0,4894,0,4911,35,5,4881
,ARGENTINA,3194,641,3324,3418,7253,555,31,6727
,BRAZIL,35858,3866,23989,32899,72623,5421,14310,81517
,CHILE,7633,209,5073,2263,10105,407,293,9995
,COLOMBIA,6603,270,5263,3458,10331,981,895,10244
,COSTA RICA,920,206,941,297,1423,162,88,1350
,DOMINICAN REPUBLIC,1121,94,933,400,1615,354,64,1326
,ECUADOR,1062,558,1346,0,1620,201,0,1418
,EL SALVADOR,455,1512,1337,0,1967,124,24,1866
,GUATEMALA,1387,295,1423,763,2445,501,262,2203
,HONDURAS,511,30,407,103,644,133,1,510
,MEXICO,21625,6236,14930,66091,93952,6049,1424,89325
,PERU,2777,1285,2834,653,4715,352,274,4637
,URUGUAY,834,179,684,199,1212,206,6,1012
,VENEZUELA,2809,2,2487,71,2882,2288,33,627
