,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2016
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5077,452,5529,453,15,468,1121,7118,3884,454,4338,34,,0,34
,CANADA,10559,463,11022,16922,3000,19922,2249,33193,11557,373,11930,6421,,7,6428
,FRANCE,20954,840,21794,2316,672,2988,2190,26972,22729,806,23535,129,,35,164
,GERMANY,25045,367,25412,767,126,893,5726,32031,25136,106,25242,146,,9,155
,ITALY,7990,222,8212,1958,716,2674,1932,12818,8323,212,8535,217,,36,253
,JAPAN,12403,180,12583,17074,270,17344,1502,31429,11971,176,12147,1930,,0,1930
,LUXEMBOURG,9862,311,10173,2128,0,2128,1543,13844,13863,43,13906,227,,0,227
,NETHERLANDS,19079,69,19148,95,302,397,2687,22232,30478,54,30532,7,,0,7
,SWEDEN,4476,23,4499,13,0,13,188,4700,4732,27,4759,2,,0,2
,SWITZERLAND,11977,666,12643,2597,3521,6118,1946,20707,11691,660,12351,2503,,3074,5577
,UNITED KINGDOM,13376,4809,18185,58265,12185,70450,8488,97123,12119,4638,16757,11781,,1130,12911
,Total,140798,8402,149200,102588,20807,123395,29572,302167,156483,7549,164032,23397,,4291,27688
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6979,155,7134,8705,10532,19237,943,27314,7144,168,7312,2348,,0,2348
,AUSTRIA,2612,7,2619,0,0,0,135,2754,3411,6,3417,0,,0,0
,CYPRUS,381,6,387,0,0,0,7,394,886,6,892,0,,0,0
,DENMARK,2791,9,2800,3,0,3,1203,4006,2624,6,2630,3,,0,3
,FINLAND,2236,1,2237,1,1,2,180,2419,2598,2,2600,1,,0,1
,GREECE,352,21,373,4,0,4,3,380,576,18,594,0,,0,0
,IRELAND,12559,226,12785,2537,0,2537,1123,16445,12562,101,12663,281,,0,281
,ISRAEL,2295,349,2644,459,0,459,648,3751,1470,255,1725,231,,0,231
,NEW ZEALAND,348,39,387,291,0,291,78,756,472,38,510,8,,0,8
,NORWAY,2020,15,2035,1,1,2,289,2326,1910,11,1921,1,,0,1
,PORTUGAL,675,38,713,127,0,127,105,945,742,46,788,38,,0,38
,SLOVAKIA,329,0,329,155,0,155,31,515,219,0,219,15,,0,15
,SPAIN,13033,1313,14346,1362,14,1376,881,16603,13425,1346,14771,15,,0,15
,OTHER NON G-10 DEV.,217,57,274,0,0,0,102,376,396,57,453,0,,0,0
,Total,46827,2236,49063,13645,10548,24193,5728,78984,48435,2060,50495,2941,,0,2941
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,53,0,53,53,0,53,1,107,73,0,73,37,,0,37
,CZECH REPUBLIC,206,44,250,891,2,893,130,1273,325,45,370,370,,0,370
,HUNGARY,392,3,395,391,226,617,25,1037,254,3,257,171,,0,171
,POLAND,453,7,460,2579,1638,4217,63,4740,404,7,411,644,,22,666
,ROMANIA,86,3,89,264,0,264,3,356,111,3,114,98,,0,98
,RUSSIA,4304,231,4535,1403,736,2139,256,6930,3504,239,3743,449,,7,456
,TURKEY,3742,130,3872,1250,0,1250,249,5371,3441,110,3551,435,,0,435
,OTHER E. EUROPE,600,1,601,75,3,78,4,683,632,1,633,7,,0,7
,Total,9836,419,10255,6906,2605,9511,731,20497,8744,408,9152,2211,,29,2240
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,49,0,49,0,0,0,5,54,73,0,73,0,,0,0
,ARGENTINA,771,106,877,1084,707,1791,3,2671,893,134,1027,87,,41,128
,BRAZIL,21092,761,21853,5649,1148,6797,2488,31138,16600,662,17262,1275,,1,1276
,CHILE,2303,52,2355,73,1,74,269,2698,2374,56,2430,0,,0,0
,COLOMBIA,2387,85,2472,572,1587,2159,187,4818,2112,103,2215,12,,0,12
,COSTA RICA,302,10,312,21,0,21,29,362,262,18,280,3,,0,3
,DOMINICAN REPUBLIC,328,37,365,87,0,87,2,454,402,81,483,72,,0,72
,ECUADOR,174,51,225,256,0,256,0,481,286,62,348,299,,0,299
,EL SALVADOR,137,11,148,87,755,842,6,996,149,14,163,87,,755,842
,GUATEMALA,579,19,598,74,506,580,61,1239,538,16,554,64,,81,145
,HONDURAS,43,16,59,10,0,10,6,75,96,17,113,3,,0,3
,MEXICO,10286,2169,12455,13180,17430,30610,967,44032,12337,2521,14858,3578,,38,3616
,PERU,962,165,1127,507,1,508,68,1703,911,123,1034,201,,0,201
,URUGUAY,304,5,309,156,0,156,758,1223,396,49,445,131,,0,131
,VENEZUELA,185,229,414,23,0,23,0,437,210,353,563,1,,0,1
,OTHER LAT. AM. & CAR.,4963,598,5561,258,9,267,153,5981,14994,598,15592,174,,0,174
,Total,44865,4314,49179,22037,22144,44181,5002,98362,52633,4807,57440,5987,,916,6903
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,15823,728,16551,7402,3535,10937,272,27760,13104,885,13989,2083,,241,2324
,INDIA,16858,202,17060,7900,4382,12282,313,29655,14733,154,14887,3544,,0,3544
,INDONESIA,1792,1234,3026,1520,962,2482,96,5604,3029,1379,4408,1002,,115,1117
,"KOREA, SOUTH",11896,45,11941,6001,17852,23853,635,36429,9960,44,10004,2636,,110,2746
,KUWAIT,736,29,765,49,0,49,2,816,436,130,566,28,,0,28
,MALAYSIA,1261,280,1541,1352,4672,6024,158,7723,1223,290,1513,664,,1,665
,PAKISTAN,96,13,109,156,0,156,1,266,203,13,216,36,,0,36
,PHILIPPINES,720,217,937,475,1047,1522,62,2521,552,292,844,91,,0,91
,QATAR,1218,37,1255,2,0,2,691,1948,1198,85,1283,0,,0,0
,SAUDI ARABIA,672,214,886,983,0,983,62,1931,1224,206,1430,396,,0,396
,TAIWAN,8039,347,8386,4964,6476,11440,203,20029,7638,377,8015,2398,,0,2398
,THAILAND,944,119,1063,756,1782,2538,212,3813,944,165,1109,130,,0,130
,UNITED ARAB EMIRATES,1729,434,2163,1182,1299,2481,427,5071,1363,1144,2507,1193,,557,1750
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,2826,104,2930,761,2,763,143,3836,3927,157,4084,280,,0,280
,Total,64610,4003,68613,33503,42009,75512,3277,147402,59534,5321,64855,14481,,1024,15505
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,84,0,84,320,0,320,0,404,84,0,84,45,,0,45
,EGYPT,34,75,109,190,2,192,3,304,67,75,142,64,,0,64
,GHANA,179,1,180,0,0,0,0,180,61,18,79,0,,0,0
,KENYA,45,36,81,266,16,282,0,363,45,51,96,115,,0,115
,MOROCCO,39,4,43,64,0,64,13,120,52,4,56,0,,0,0
,NIGERIA,209,4,213,416,0,416,11,640,158,8,166,117,,0,117
,SOUTH AFRICA,2606,10,2616,1639,0,1639,62,4317,1117,14,1131,37,,0,37
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,814,48,862,474,5,479,244,1585,1519,61,1580,215,,0,215
,Total,4010,178,4188,3369,23,3392,333,7913,3103,231,3334,593,,0,593
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,528,94,622,520,1,521,10,1153,2671,101,2772,254,,1,255
,BAHRAIN,35,26,61,27,191,218,0,279,32,166,198,22,,22,44
,BERMUDA,7024,50,7074,23,0,23,234,7331,6014,18,6032,22,,0,22
,CAYMAN ISLANDS,14295,93,14388,365,91,456,401,15245,14404,41,14445,405,,0,405
,HONG KONG,5815,1437,7252,8051,8607,16658,1245,25155,5231,1660,6891,6090,,1256,7346
,LEBANON,50,24,74,143,0,143,0,217,41,27,68,135,,0,135
,MAURITIUS,269,14,283,24,0,24,4,311,1365,14,1379,24,,0,24
,PANAMA,789,19,808,215,0,215,347,1370,2008,20,2028,224,,0,224
,SINGAPORE,3447,357,3804,5945,10780,16725,1027,21556,3556,413,3969,5028,,2288,7316
,OTHER BANKING CENTERS,8412,198,8610,122,54,176,481,9267,9074,233,9307,256,,47,303
,Total,40664,2312,42976,15435,19724,35159,3749,81884,44396,2693,47089,12460,,3614,16074
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,45519,2481,48000,1132339,1718632,2850971,53805,2952776,29791,2076,31867,6245,,64,6309
,,,,,,,,,,,,,,,,
,Grand Total,397129,24345,421474,1329822,1836492,3166314,102197,3689985,403119,25145,428264,68315,,9938,78253
