,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2016
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,839,16,1,15,1,856,,772,15,25,25,25,,25,0
,CANADA,34027,17544,2103,15441,2703,54274,,42668,3594,251,309,120,,170,78
,FRANCE,6129,1222,17,1205,323,7674,,207,198,1773,1767,612,,606,79
,GERMANY,9925,276,4,272,129,10330,,674,358,1322,1320,738,,736,154
,ITALY,142,1219,24,1195,0,1361,,606,108,2712,2706,1083,,1077,26
,JAPAN,14555,3172,0,3172,70,17797,,2188,220,478,474,260,,256,18
,LUXEMBOURG,4007,1299,25,1274,65,5371,,2003,246,175,172,89,,87,0
,NETHERLANDS,5577,1026,913,113,48,6651,,1655,555,293,286,144,,137,74
,SWEDEN,3715,55,2,53,7,3777,,114,64,41,42,39,,40,7
,SWITZERLAND,4158,314,0,314,179,4651,,663,246,38,40,25,,27,127
,UNITED KINGDOM,20067,16002,754,15248,3293,39362,,23633,1081,400,402,258,,259,205
,Total,103141,42145,3843,38302,6818,152104,,75183,6685,7508,7543,3393,,3420,768
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,8098,4387,12,4375,198,12683,,6090,480,510,511,291,,292,32
,AUSTRIA,351,58,0,58,0,409,,104,0,29,24,11,,6,0
,CYPRUS,62,0,0,0,0,62,,13,0,0,0,0,,0,0
,DENMARK,563,22,0,22,0,585,,34,1,107,107,85,,85,0
,FINLAND,786,93,0,93,0,879,,5,2,76,76,42,,42,10
,GREECE,108,0,0,0,0,108,,3,8,0,0,0,,0,0
,IRELAND,3430,5113,1,5112,327,8870,,2186,91,35,32,25,,22,23
,ISRAEL,732,31,0,31,2,765,,664,250,155,156,87,,88,89
,NEW ZEALAND,299,256,0,256,1,556,,437,9,25,25,25,,25,1
,NORWAY,1724,32,0,32,4,1760,,57,31,100,101,93,,94,13
,PORTUGAL,159,0,0,0,3,162,,9,1,320,318,86,,83,4
,SLOVAKIA,6,0,0,0,0,6,,3,0,2,2,0,,0,0
,SPAIN,1947,672,0,672,91,2710,,197,146,1806,1796,693,,683,20
,OTHER NON G-10 DEV.,235,0,0,0,2,237,,0,14,0,0,0,,0,0
,Total,18500,10664,13,10651,628,29792,,9802,1033,3165,3148,1438,,1420,192
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,11,0,0,0,0,11,,8,0,25,25,25,,25,0
,CZECH REPUBLIC,37,0,0,0,0,37,,4,0,0,0,0,,0,0
,HUNGARY,49,12,0,12,0,61,,0,0,88,88,36,,36,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,198,88,0,88,0,286,,94,5,39,39,27,,27,0
,ROMANIA,9,0,0,0,0,9,,2,0,5,5,0,,0,0
,RUSSIA,95,29,0,29,0,124,,30,0,2024,2030,590,,596,3
,TURKEY,345,0,0,0,3,348,,63,55,951,953,268,,270,124
,OTHER E. EUROPE,80,0,0,0,0,80,,18,0,140,140,96,,96,3
,Total,824,129,0,129,3,956,,219,60,3272,3280,1042,,1050,130
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,43,0,0,0,0,43,,0,5,0,0,0,,0,0
,ARGENTINA,1326,631,122,509,19,1976,,244,26,0,0,0,,0,7
,BRAZIL,11197,26,4,22,5,11228,,1177,195,9066,9476,2843,,3252,258
,CHILE,1294,62,1,61,54,1410,,143,56,630,630,104,,104,38
,COLOMBIA,1433,1,1,0,5,1439,,276,41,1788,1790,396,,398,53
,COSTA RICA,163,0,0,0,0,163,,24,27,0,0,0,,0,34
,DOMINICAN REPUBLIC,284,0,0,0,0,284,,7,3,0,0,0,,0,26
,ECUADOR,209,25,0,25,0,234,,6,30,0,0,0,,0,13
,EL SALVADOR,95,0,0,0,0,95,,4,4,0,0,0,,0,21
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,151,0,0,0,0,151,,7,0,0,0,0,,0,86
,HONDURAS,99,0,0,0,0,99,,10,1,0,0,0,,0,5
,MEXICO,6720,2327,44,2283,73,9120,,2522,291,5679,6071,1123,,1515,166
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,676,0,0,0,2,678,,221,4,1159,1159,339,,339,30
,URUGUAY,50,49,1,48,0,99,,2,10,0,0,0,,0,0
,VENEZUELA,910,0,0,0,0,910,,47,41,1257,1180,261,,184,23
,OTHER LAT. AM. & CAR.,1116,522,300,222,41,1679,,221,45,7,7,7,,7,12
,Total,25766,3643,473,3170,199,29608,,4911,779,19586,20313,5073,,5799,772
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,2169,1307,266,1041,2,3478,,819,71,2649,2657,912,,914,520
,INDIA,188,868,0,868,0,1056,,554,67,5,5,5,,5,53
,INDONESIA,133,1,1,0,0,134,,27,2,1952,1952,358,,358,29
,"KOREA, SOUTH",819,3,1,2,2,824,,30,47,768,769,181,,182,57
,KUWAIT,254,0,0,0,0,254,,101,1,0,0,0,,0,61
,MALAYSIA,131,25,0,25,2,158,,5,4,965,968,262,,264,10
,PAKISTAN,13,0,0,0,1,14,,2,0,0,0,0,,0,0
,PHILIPPINES,62,63,1,62,0,125,,19,2,620,620,281,,281,0
,QATAR,169,0,0,0,0,169,,1,12,37,37,6,,6,20
,SAUDI ARABIA,611,19,0,19,57,687,,401,9,25,25,25,,25,29
,TAIWAN,356,164,0,164,0,520,,388,29,0,0,0,,0,39
,THAILAND,14,109,0,109,0,123,,350,8,94,94,65,,65,6
,UNITED ARAB EMIRATES,829,0,0,0,0,829,,192,17,40,40,21,,21,163
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,957,18,0,18,6,981,,313,44,39,39,39,,39,22
,Total,6705,2577,269,2308,70,9352,,3202,313,7194,7206,2155,,2160,1009
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EGYPT,17,0,0,0,0,17,,0,1,29,29,1,,1,0
,GHANA,2,0,0,0,0,2,,1,0,0,0,0,,0,0
,KENYA,4,0,0,0,0,4,,0,0,0,0,0,,0,0
,MOROCCO,2,0,0,0,0,2,,4,13,0,1,0,,1,13
,NIGERIA,12,0,0,0,9,21,,2,10,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,280,1,0,1,1,282,,62,3,893,893,220,,220,1
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,344,0,0,0,2,346,,3,2,0,0,0,,0,0
,Total,661,1,0,1,12,674,,72,29,922,923,221,,222,14
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,470,9,9,0,2,481,,11,24,0,0,0,,0,0
,BAHRAIN,78,0,0,0,0,78,,0,0,0,0,0,,0,0
,BERMUDA,2810,1,1,0,41,2852,,1208,206,137,151,47,,60,11
,CAYMAN ISLANDS,13334,66,53,13,50,13450,,3998,186,50,50,48,,48,21
,HONG KONG,3805,761,448,313,6,4572,,3503,160,84,84,40,,41,179
,LEBANON,14,0,0,0,0,14,,0,2,0,0,0,,0,0
,MAURITIUS,53,0,0,0,0,53,,87,1,0,0,0,,0,0
,PANAMA,642,0,0,0,0,642,,17,41,227,227,124,,124,130
,SINGAPORE,1447,402,13,389,31,1880,,2711,48,23,26,19,,22,36
,OTHER BANKING CENTERS,697,33,10,23,68,798,,193,113,0,0,0,,0,35
,Total,23350,1272,534,738,198,24820,,11728,781,521,538,278,,295,412
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,186,0,0,0,0,186,,0,0,0,0,0,,0,0
,ASIAN,1757,0,0,0,0,1757,,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,3361,0,0,0,0,3361,,0,0,0,0,0,,0,0
,INTERNATIONAL,3056,0,0,0,0,3056,,0,0,0,0,0,,0,0
,LATIN AMERICAN,1769,0,0,0,0,1769,,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,Total,10129,0,0,0,0,10129,,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,178128,4171076,1727,4169349,29299,4378503,,1906051,70300,44758,43243,28235,,27849,6554
,,,,,,,,,,,,,,,,
,Grand Total,367204,4231507,6859,4224648,37227,4635938,,2011168,79980,86926,86194,41835,,42215,9851
