,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2016
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1207,1,660,14,1222,156,733,1797
,CANADA,38599,1866,20837,15786,56251,10141,12750,58870
,FRANCE,7833,19,5212,1128,8980,492,3138,11527
,GERMANY,8491,36,6036,432,8959,787,52688,60668
,ITALY,184,35,170,1201,1420,30,106,1495
,JAPAN,20619,0,18743,2647,23266,769,7224,29717
,LUXEMBOURG,9161,14,6195,1935,11110,5276,1235,6684
,NETHERLANDS,7793,884,2298,111,8788,2473,1758,8040
,SWEDEN,2739,2,1391,160,2901,129,1336,4107
,SWITZERLAND,3970,50,3146,228,4248,375,43343,46969
,UNITED KINGDOM,152280,7227,140620,16701,176208,44819,6398,137577
,Total,252876,10134,205308,40343,303353,65447,130709,367451
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,9624,14,4958,6145,15783,1368,421,14830
,AUSTRIA,432,0,99,61,493,7,5,487
,CYPRUS,58,0,1,0,58,1,39,96
,DENMARK,537,0,476,21,558,30,88,617
,FINLAND,1053,0,827,79,1132,19,30,1143
,GREECE,113,0,87,0,113,32,25,106
,IRELAND,16594,203,11806,5049,21846,11208,2140,12718
,ISRAEL,1041,0,544,0,1041,219,467,1291
,NEW ZEALAND,493,0,153,275,768,194,6,580
,NORWAY,1959,0,1316,33,1992,106,339,2224
,PORTUGAL,319,0,133,0,319,139,10,190
,SLOVAKIA,5,0,5,0,5,2,2,5
,SPAIN,948,1,836,658,1607,80,1121,1224
,OTHER NON G-10 DEV.,296,0,122,0,296,186,195,304
,Total,33472,218,21363,12321,46011,13591,4888,35815
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,10,0,9,0,10,7,7,9
,CZECH REPUBLIC,46,0,45,0,46,14,4,36
,HUNGARY,37,1,33,15,53,18,8,43
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,132,0,57,95,227,27,61,261
,ROMANIA,35,0,33,0,35,20,17,32
,RUSSIA,92,0,66,31,123,1,99,221
,TURKEY,274,0,190,0,274,4,13,279
,OTHER E. EUROPE,66,0,49,0,66,37,36,65
,Total,692,1,482,141,834,128,245,946
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,1283,0,581,0,1283,8,54,1329
,ARGENTINA,466,129,347,505,1100,292,148,930
,BRAZIL,7525,25,5216,24,7574,662,2938,9712
,CHILE,1502,0,566,33,1535,288,113,1330
,COLOMBIA,1897,0,1055,1,1898,183,182,1870
,COSTA RICA,162,0,110,0,162,53,41,149
,DOMINICAN REPUBLIC,354,0,168,0,354,128,10,235
,ECUADOR,391,0,165,24,415,207,40,247
,EL SALVADOR,121,0,99,0,121,38,4,87
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,248,0,190,2,250,108,16,152
,HONDURAS,170,0,143,0,170,60,6,116
,MEXICO,11103,19,6006,2399,13521,2103,832,12079
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,808,0,294,0,808,136,21,682
,URUGUAY,163,10,116,45,218,123,7,100
,VENEZUELA,1300,0,618,13,1313,612,173,821
,OTHER LAT. AM. & CAR.,3149,311,2189,223,3683,1976,399,2088
,Total,30642,494,17863,3269,34405,6977,4984,31927
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,2316,206,1454,1050,3572,297,869,4136
,INDIA,351,8,302,914,1273,250,24,1046
,INDONESIA,157,2,117,2,161,61,124,224
,"KOREA, SOUTH",2060,1,1527,2,2063,102,523,2476
,KUWAIT,921,0,704,0,921,6,0,915
,MALAYSIA,67,0,51,27,94,5,78,167
,PAKISTAN,11,0,10,0,11,9,8,10
,PHILIPPINES,97,4,62,81,182,35,18,165
,QATAR,94,0,73,0,94,8,40,126
,SAUDI ARABIA,7534,0,6844,17,7551,233,85,7393
,TAIWAN,1287,0,1198,186,1473,23,108,1550
,THAILAND,161,1,54,106,268,27,1,242
,UNITED ARAB EMIRATES,610,0,532,0,610,10,177,769
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1352,0,187,18,1370,856,469,983
,Total,17018,222,13115,2403,19643,1922,2524,20202
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,48,0,47,0,48,42,15,21
,GHANA,3,0,2,0,3,1,0,2
,KENYA,9,0,4,0,9,2,0,7
,MOROCCO,10,0,4,0,10,2,1,9
,NIGERIA,89,0,52,0,89,33,0,56
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,301,0,70,2,303,6,62,359
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,694,0,40,0,694,470,101,325
,Total,1154,0,219,2,1156,556,179,779
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,4080,1,2455,0,4081,1984,161,2146
,BAHRAIN,70,0,5,0,70,3,2,69
,BERMUDA,4943,21,3277,0,4964,405,457,4993
,CAYMAN ISLANDS,74353,143,58168,0,74496,22789,2730,54138
,HONG KONG,4596,599,4657,327,5522,656,978,5845
,LEBANON,10,0,6,0,10,0,1,11
,MAURITIUS,33,0,33,0,33,9,42,66
,PANAMA,1230,1,704,0,1231,547,186,869
,SINGAPORE,4443,42,3667,456,4941,550,140,4511
,OTHER BANKING CENTERS,4951,55,4257,36,5042,3964,79,1150
,Total,98709,862,77229,819,100390,30907,4776,73798
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,182,0,0,0,182,0,0,182
,ASIAN,1773,0,149,0,1773,0,0,1773
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,3748,0,247,0,3748,0,0,3748
,INTERNATIONAL,4625,0,1406,0,4625,0,42,4667
,LATIN AMERICAN,1840,0,56,0,1840,0,31,1841
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,12168,0,1858,0,12168,0,73,12211
,,,,,,,,,
,UNITED STATES,182812,163243,159740,4767161,5113216,121899,93421,5078738
,,,,,,,,,
,Grand Total,629543,175174,497177,4826459,5631176,241427,241799,5621867
