,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2016
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,2646,304,1109,4059,2923,272,4184,3819,1012,9015,4761,0,2871,93,45,3009,,1969,52
,CANADA,13733,4782,3762,22277,12147,355,2795,13826,1704,18325,2695,200,12917,4260,4662,21839,,13325,882
,FRANCE,32640,101,13521,46262,22683,0,24858,6037,2754,33649,25564,0,82684,9,2926,85619,,83244,4
,GERMANY,24249,2245,10337,36831,17261,481,58467,75806,9353,143626,55560,5,16928,2427,6998,26353,,17853,41
,ITALY,14173,545,1827,16545,14329,19,17037,371,21373,38781,18130,2,7189,614,1030,8833,,7094,8
,JAPAN,52308,58992,4281,115581,39648,52251,8900,126252,1775,136927,10484,5900,7884,78836,3813,90533,,5838,2081
,LUXEMBOURG,2334,44,293,2671,3411,29,3414,5608,2,9024,3427,0,21682,1873,5152,28707,,22819,1093
,NETHERLANDS,7319,154,4003,11476,6223,3,9392,3388,585,13365,9282,0,16985,74,9682,26741,,17907,50
,SWEDEN,9058,24,752,9834,8469,0,2839,1173,72,4084,2648,0,4498,2,439,4939,,4573,2
,SWITZERLAND,9337,231,4403,13971,8178,60,3713,14099,222,18034,3647,0,4879,207,676,5762,,4758,171
,UNITED KINGDOM,7909,25979,21959,55847,10400,24663,5565,79487,15491,100543,5249,1145,49383,143538,41375,234296,,45535,63350
,Total,175706,93401,66247,335354,145672,78133,141164,329866,54343,525373,141447,7252,227900,231933,76798,536631,,224915,67734
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8364,8956,2815,20135,8038,157,1228,18641,135,20004,1102,0,9496,8479,1703,19678,,9898,428
,AUSTRIA,1910,1,761,2672,1752,0,5220,0,258,5478,5454,0,892,0,14,906,,527,0
,CYPRUS,132,0,3,135,132,0,37,0,0,37,48,0,854,0,113,967,,906,0
,DENMARK,3485,53,728,4266,3469,0,356,8,71,435,344,0,1515,33,1486,3034,,1469,6
,FINLAND,2206,7,922,3135,2260,0,4547,17,1116,5680,4476,0,725,0,170,895,,681,0
,GREECE,8934,0,218,9152,8935,0,158,199,1194,1551,174,0,34,59,0,93,,34,0
,IRELAND,2766,429,601,3796,2692,201,845,345,303,1493,950,0,45048,858,4025,49931,,49015,2235
,ISRAEL,286,52,387,725,285,7,748,800,49,1597,876,2,526,5,237,768,,459,0
,NEW ZEALAND,194,807,924,1925,452,0,213,231,84,528,213,0,526,124,167,817,,523,0
,NORWAY,2568,1,257,2826,2653,0,6976,58,368,7402,6976,0,2123,9,42,2174,,1916,8
,PORTUGAL,1544,5,38,1587,1576,4,1041,0,125,1166,1426,0,102,0,19,121,,95,0
,SLOVAKIA,0,1,1,2,0,0,95,51,24,170,94,0,5,8,0,13,,0,0
,SPAIN,7137,84,2423,9644,5654,26,8247,630,151,9028,9032,0,2779,58,419,3256,,2707,1
,OTHER NON G-10 DEV.,448,1,58,507,549,1,403,0,131,534,403,0,558,0,15,573,,209,0
,Total,39974,10397,10136,60507,38447,396,30114,20980,4009,55103,31568,2,65183,9633,8410,83226,,68439,2678
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,1,6,0,7,2,6,7,194,0,201,7,33,3,0,2,5,,3,0
,CZECH REPUBLIC,259,78,29,366,331,2,510,1641,24,2175,510,0,87,14,3,104,,87,0
,HUNGARY,280,12,38,330,289,15,1201,1569,351,3121,1533,48,67,32,5,104,,67,0
,POLAND,412,108,97,617,464,54,857,4679,0,5536,1144,507,151,423,16,590,,156,5
,ROMANIA,93,46,1,140,105,5,206,1045,0,1251,207,255,27,84,3,114,,27,51
,RUSSIA,1255,871,137,2263,1422,405,733,2363,60,3156,737,110,202,789,1,992,,165,360
,TURKEY,10832,716,1124,12672,10572,8,732,991,1,1724,884,300,461,83,7,551,,624,34
,OTHER E. EUROPE,90,6,1,97,176,3,1046,379,39,1464,1161,0,90,0,1,91,,89,0
,Total,13222,1843,1427,16492,13361,498,5292,12861,475,18628,6183,1253,1088,1425,38,2551,,1218,450
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,4038,0,22,4060,,4043,0
,ARGENTINA,162,81,0,243,189,0,887,1482,0,2369,978,389,215,18,0,233,,212,1
,BRAZIL,12151,9233,722,22106,4493,257,14193,17324,2,31519,16499,763,1587,1460,1102,4149,,1383,1194
,CHILE,4568,1955,760,7283,4377,0,353,458,0,811,339,0,238,0,233,471,,309,0
,COLOMBIA,2436,119,170,2725,2483,24,426,1279,1,1706,456,3,307,107,103,517,,369,0
,COSTA RICA,394,84,0,478,495,38,11,401,1,413,11,138,0,20,0,20,,1,20
,DOMINICAN REPUBLIC,255,31,1,287,323,0,80,311,0,391,145,40,36,0,0,36,,51,0
,ECUADOR,68,41,2,111,74,29,425,204,11,640,424,145,0,0,0,0,,13,0
,EL SALVADOR,122,46,0,168,160,46,30,260,0,290,30,260,0,0,0,0,,34,0
,GUATEMALA,723,93,0,816,788,33,12,306,0,318,12,30,0,1,0,1,,0,0
,HONDURAS,58,14,1,73,98,5,26,112,1,139,26,31,50,0,0,50,,51,0
,MEXICO,1491,5308,311,7110,1160,394,3642,21477,328,25447,4353,1674,1872,7156,392,9420,,2002,511
,PERU,1562,86,53,1701,1616,31,203,1107,19,1329,221,797,98,7,20,125,,69,15
,URUGUAY,247,8,14,269,248,1,31,186,64,281,39,71,0,79,4,83,,0,2
,VENEZUELA,0,1,0,1,0,0,254,34,1,289,2398,0,0,0,0,0,,5,0
,OTHER LAT. AM. & CAR.,190,124,0,314,284,78,27,808,80,915,42,85,9379,3,504,9886,,14020,4
,Total,24427,17224,2034,43685,16788,936,20600,45749,508,66857,25973,4426,17820,8851,2380,29051,,22562,1747
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,16734,6338,1359,24431,14793,1743,2979,14702,2800,20481,2644,3159,7085,2261,308,9654,,6216,133
,INDIA,12717,2430,140,15287,8950,253,4897,13945,0,18842,4850,5,4390,2565,786,7741,,4148,849
,INDONESIA,1216,259,37,1512,1531,613,2580,3371,3,5954,2707,1422,252,488,13,753,,294,30
,"KOREA, SOUTH",4684,2446,317,7447,3955,983,8666,17189,1011,26866,8067,1298,3749,1506,655,5910,,3635,202
,KUWAIT,390,20,174,584,414,0,6291,206,4,6501,6291,0,91,16,3,110,,89,16
,MALAYSIA,1299,258,247,1804,1194,44,2095,3756,1,5852,2450,319,686,226,20,932,,688,226
,PAKISTAN,112,5,3,120,114,3,75,895,0,970,79,8,0,0,2,2,,0,0
,PHILIPPINES,1348,1021,15,2384,1588,971,61,2843,126,3030,92,121,113,142,7,262,,123,0
,QATAR,1784,23,143,1950,1885,0,472,0,67,539,441,0,420,0,19,439,,39,0
,SAUDI ARABIA,1331,414,1018,2763,1324,53,7871,0,46,7917,7871,0,28,708,143,879,,28,108
,TAIWAN,1830,2221,485,4536,1574,749,5993,7530,152,13675,5992,15,4284,360,65,4709,,4313,170
,THAILAND,598,504,147,1249,377,30,1147,4150,119,5416,1166,0,184,65,61,310,,194,5
,UNITED ARAB EMIRATES,2931,1334,917,5182,3769,1246,1679,2539,248,4466,1753,833,2157,104,55,2316,,1994,94
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,1019,280,9,1308,1483,156,1210,2689,21,3920,1146,1432,423,72,11,506,,459,61
,Total,47993,17553,5011,70557,42951,6844,46016,73815,4598,124429,45549,8612,23862,8513,2148,34523,,22220,1894
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,51,279,0,330,51,0,0,419,0,419,0,168,0,12,0,12,,0,0
,EGYPT,378,159,6,543,388,36,15,1335,2,1352,15,26,6,15,2,23,,87,17
,GHANA,81,0,0,81,96,0,215,0,0,215,782,0,0,0,0,0,,0,0
,KENYA,66,29,0,95,67,20,200,499,0,699,200,10,1,0,0,1,,1,0
,MOROCCO,373,126,1,500,429,15,45,206,0,251,45,0,8,0,0,8,,0,0
,NIGERIA,431,118,4,553,556,16,477,921,46,1444,477,0,7,7,0,14,,7,7
,SOUTH AFRICA,2063,850,768,3681,2017,226,927,2058,38,3023,1083,0,1604,1047,412,3063,,1553,573
,SOUTH SUDAN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,143,130,1,274,140,37,969,582,32,1583,1175,57,149,21,5,175,,265,0
,Total,3586,1691,780,6057,3746,350,2848,6020,118,8986,3777,261,1775,1102,419,3296,,1913,597
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
