,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2016
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5647,496,6143,204,13,217,553,6913,6437,484,6921,50,,1,51
,CANADA,18311,2117,20428,22585,10354,32939,2714,56081,18031,1909,19940,8640,,18,8658
,FRANCE,21441,677,22118,2936,1245,4181,1405,27704,22129,661,22790,226,,5,231
,GERMANY,24960,974,25934,662,233,895,2975,29804,23015,725,23740,222,,7,229
,ITALY,5810,154,5964,2620,1025,3645,655,10264,6015,137,6152,277,,18,295
,JAPAN,17205,302,17507,18403,1752,20155,1697,39359,15418,287,15705,1425,,0,1425
,LUXEMBOURG,12946,279,13225,834,0,834,333,14392,16348,42,16390,711,,0,711
,NETHERLANDS,20632,170,20802,958,221,1179,2713,24694,31753,157,31910,849,,0,849
,SWEDEN,4585,246,4831,28,27,55,181,5067,4455,245,4700,5,,0,5
,SWITZERLAND,12830,608,13438,3476,3096,6572,1289,21299,10892,529,11421,3340,,2751,6091
,UNITED KINGDOM,20545,3383,23928,41602,17178,58780,12313,95021,21491,3022,24513,8840,,1151,9991
,Total,164912,9406,174318,94308,35144,129452,26828,330598,175984,8198,184182,24585,,3951,28536
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7349,613,7962,9185,10798,19983,781,28726,7139,623,7762,1620,,0,1620
,AUSTRIA,3077,16,3093,24,29,53,68,3214,4536,15,4551,0,,0,0
,CYPRUS,919,7,926,0,0,0,16,942,1386,7,1393,0,,0,0
,DENMARK,2418,11,2429,18,0,18,434,2881,2243,10,2253,0,,0,0
,FINLAND,2041,3,2044,81,1,82,86,2212,1911,2,1913,0,,0,0
,GREECE,290,54,344,9,0,9,1,354,479,52,531,0,,0,0
,IRELAND,12493,255,12748,2217,0,2217,335,15300,13106,132,13238,425,,0,425
,ISRAEL,3860,310,4170,240,0,240,1414,5824,2445,237,2682,222,,0,222
,NEW ZEALAND,434,51,485,463,107,570,103,1158,656,50,706,4,,0,4
,NORWAY,2220,22,2242,23,0,23,174,2439,2018,13,2031,0,,0,0
,PORTUGAL,806,44,850,51,0,51,72,973,646,48,694,18,,0,18
,SLOVAKIA,223,0,223,141,0,141,7,371,123,0,123,28,,0,28
,SPAIN,11872,812,12684,1412,293,1705,445,14834,11491,811,12302,127,,0,127
,OTHER NON G-10 DEV.,446,103,549,0,0,0,21,570,364,119,483,0,,0,0
,Total,48448,2301,50749,13864,11228,25092,3957,79798,48543,2119,50662,2444,,0,2444
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,38,1,39,71,0,71,3,113,55,1,56,46,,0,46
,CZECH REPUBLIC,199,64,263,665,0,665,94,1022,328,63,391,368,,0,368
,HUNGARY,199,9,208,397,191,588,6,802,191,8,199,171,,0,171
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,488,8,496,2354,1551,3905,33,4434,437,6,443,597,,20,617
,ROMANIA,91,12,103,287,0,287,3,393,112,12,124,140,,0,140
,RUSSIA,3649,295,3944,1102,818,1920,199,6063,3305,269,3574,220,,3,223
,TURKEY,3232,260,3492,959,0,959,75,4526,2969,234,3203,323,,0,323
,OTHER E. EUROPE,651,29,680,113,3,116,7,803,639,22,661,14,,0,14
,Total,8547,678,9225,5948,2563,8511,420,18156,8036,615,8651,1879,,23,1902
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,48,0,48,0,0,0,0,48,59,0,59,0,,0,0
,ARGENTINA,757,257,1014,1313,1097,2410,29,3453,1073,309,1382,260,,36,296
,BRAZIL,24509,1319,25828,5137,1821,6958,1811,34597,17896,1373,19269,1270,,0,1270
,CHILE,2897,58,2955,83,3,86,233,3274,3070,83,3153,0,,0,0
,COLOMBIA,3150,244,3394,650,1543,2193,146,5733,2897,204,3101,9,,0,9
,COSTA RICA,312,17,329,23,0,23,22,374,296,28,324,6,,0,6
,DOMINICAN REPUBLIC,497,85,582,96,0,96,1,679,680,169,849,15,,0,15
,ECUADOR,292,140,432,207,0,207,0,639,668,124,792,241,,0,241
,EL SALVADOR,133,45,178,18,0,18,0,196,220,52,272,25,,0,25
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,652,45,697,6,0,6,15,718,620,61,681,2,,0,2
,HONDURAS,105,25,130,13,0,13,4,147,157,38,195,3,,0,3
,MEXICO,11143,2789,13932,12744,17041,29785,989,44706,13840,3286,17126,3801,,0,3801
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1730,179,1909,502,0,502,60,2471,1617,183,1800,214,,0,214
,URUGUAY,390,44,434,120,9,129,635,1198,485,91,576,107,,9,116
,VENEZUELA,246,936,1182,13,0,13,0,1195,451,1292,1743,0,,0,0
,OTHER LAT. AM. & CAR.,11847,278,12125,391,353,744,286,13155,15666,442,16108,230,,204,434
,Total,58708,6461,65169,21316,21867,43183,4231,112583,59695,7735,67430,6183,,249,6432
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,17577,1453,19030,7057,3089,10146,238,29414,13888,1601,15489,1757,,196,1953
,INDIA,14104,88,14192,7710,4429,12139,372,26703,12387,80,12467,3389,,0,3389
,INDONESIA,1534,1146,2680,1553,922,2475,128,5283,2098,1186,3284,968,,54,1022
,"KOREA, SOUTH",12307,46,12353,4628,15768,20396,401,33150,9965,46,10011,2204,,67,2271
,KUWAIT,472,169,641,42,0,42,5,688,440,243,683,24,,0,24
,MALAYSIA,541,255,796,1243,4073,5316,150,6262,495,253,748,815,,0,815
,PAKISTAN,124,29,153,132,4,136,1,290,168,29,197,29,,0,29
