,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2016
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1926,1,560,12,1939,642,313,1610
,CANADA,39457,2205,24049,14328,55990,9297,13662,60350
,FRANCE,7350,31,4677,1220,8601,495,3534,11639
,GERMANY,7122,91,4505,275,7488,901,56020,62606
,ITALY,130,31,116,1193,1354,27,104,1431
,JAPAN,17610,1,16861,2693,20304,323,6041,26016
,LUXEMBOURG,7664,19,4821,2782,10465,4592,939,6811
,NETHERLANDS,7147,918,1848,100,8165,2470,1849,7543
,SWEDEN,3183,2,1524,51,3236,125,1319,4430
,SWITZERLAND,3029,5,2423,226,3260,257,47166,50157
,UNITED KINGDOM,131938,6943,122503,19337,158218,37862,7006,127300
,Total,226556,10247,183887,42217,279020,56991,137953,359893
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,8505,66,4256,5135,13706,949,412,13167
,AUSTRIA,363,0,36,55,418,4,4,418
,CYPRUS,3,0,2,0,3,0,60,63
,DENMARK,605,0,544,18,623,10,107,720
,FINLAND,801,0,578,84,885,3,28,910
,GREECE,117,0,89,0,117,37,24,103
,IRELAND,31992,240,27661,5429,37661,28035,939,10565
,ISRAEL,1174,0,740,0,1174,27,842,1989
,NEW ZEALAND,516,0,163,249,765,202,13,575
,NORWAY,1787,0,1176,23,1810,153,444,2101
,PORTUGAL,295,0,135,0,295,20,6,281
,SLOVAKIA,4,0,4,0,4,2,3,5
,SPAIN,361,1,283,616,978,86,820,1712
,OTHER NON G-10 DEV.,242,0,91,0,242,173,189,258
,Total,46765,307,35758,11609,58681,29701,3891,32867
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,7,0,5,0,7,3,1,5
,CZECH REPUBLIC,59,0,58,0,59,8,2,53
,HUNGARY,39,1,36,11,51,5,6,52
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,119,0,46,81,200,19,100,281
,ROMANIA,20,0,18,0,20,12,0,8
,RUSSIA,59,0,36,37,96,1,33,128
,TURKEY,279,0,229,0,279,2,6,283
,OTHER E. EUROPE,46,0,32,0,46,19,34,61
,Total,628,1,460,129,758,69,182,871
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,513,0,513,0,513,4,61,570
,ARGENTINA,463,167,359,573,1203,275,150,1078
,BRAZIL,6077,25,3797,24,6126,846,2877,8156
,CHILE,1506,0,586,67,1573,354,64,1283
,COLOMBIA,1204,0,406,1,1205,171,121,1154
,COSTA RICA,215,0,104,0,215,63,44,195
,DOMINICAN REPUBLIC,407,0,203,1,408,154,9,261
,ECUADOR,368,0,131,24,392,183,50,260
,EL SALVADOR,176,0,110,0,176,34,5,147
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,269,0,211,2,271,103,19,181
,HONDURAS,165,0,131,0,165,58,4,111
,MEXICO,6869,15,3417,2281,9165,1858,874,8181
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,727,0,264,0,727,125,23,615
,URUGUAY,211,9,163,3,223,88,6,141
,VENEZUELA,1228,0,578,13,1241,548,168,808
,OTHER LAT. AM. & CAR.,4149,311,2470,220,4680,1924,325,3081
,Total,24547,527,13443,3209,28283,6788,4800,26222
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,2091,222,1253,1163,3476,207,691,3959
,INDIA,206,4,168,923,1133,164,20,989
,INDONESIA,77,2,65,3,82,42,101,141
,"KOREA, SOUTH",1446,0,1414,2,1448,116,469,1801
,KUWAIT,369,0,340,0,369,2,0,367
,MALAYSIA,74,0,58,26,100,3,196,293
,PAKISTAN,11,0,10,0,11,9,8,10
,PHILIPPINES,242,8,182,74,324,36,12,299
,QATAR,84,0,64,0,84,9,1,76
,SAUDI ARABIA,6686,0,6304,18,6704,235,57,6526
,TAIWAN,865,0,754,186,1051,26,155,1181
,THAILAND,234,0,30,111,345,22,1,324
,UNITED ARAB EMIRATES,458,0,419,0,458,11,299,746
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1294,0,118,17,1311,813,442,940
,Total,14137,236,11179,2523,16896,1695,2452,17652
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,20,0,19,0,20,18,15,17
,GHANA,3,0,2,0,3,0,0,3
,KENYA,8,0,4,0,8,2,0,6
,MOROCCO,7,0,3,0,7,2,0,5
,NIGERIA,88,0,52,0,88,28,0,60
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,249,0,64,2,251,1,10,260
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,679,0,29,0,679,456,194,417
,Total,1054,0,173,2,1056,507,219,768
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,4268,0,4021,0,4268,1801,153,2620
,BAHRAIN,76,0,2,0,76,2,2,76
,BERMUDA,5540,20,3730,0,5560,465,391,5486
,CAYMAN ISLANDS,76001,142,55322,1,76144,22059,2737,56651
,HONG KONG,3702,586,3704,311,4599,561,627,4665
,LEBANON,11,0,7,0,11,0,1,12
,MAURITIUS,46,0,46,0,46,5,38,79
,PANAMA,1455,1,792,0,1456,560,181,1076
,SINGAPORE,4880,32,4215,430,5342,606,51,4783
,OTHER BANKING CENTERS,5079,44,4473,23,5146,4015,90,1222
,Total,101058,825,76312,765,102648,30074,4271,76670
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,178,0,0,0,178,0,0,178
,ASIAN,1680,0,79,0,1680,0,0,1680
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,3862,0,270,0,3862,0,0,3862
,INTERNATIONAL,3433,0,952,0,3433,0,42,3475
,LATIN AMERICAN,2390,0,109,0,2390,0,1,2391
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,11543,0,1410,0,11543,0,43,11586
,,,,,,,,,
,UNITED STATES,183703,153615,146184,4750889,5088207,122296,94443,5060240
,,,,,,,,,
,Grand Total,609991,165758,468806,4811343,5587092,248121,248254,5586769
