,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2016
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,3220,927,1165,5312,3464,757,3696,3123,845,7664,4247,3,2327,192,143,2662,,1793,87
,CANADA,12061,4800,4777,21638,10628,321,3055,13897,1816,18768,2953,203,16129,3194,4986,24309,,16515,1008
,FRANCE,30095,1541,8827,40463,21325,0,24616,5660,2213,32489,25030,0,89683,37,2893,92613,,89858,5
,GERMANY,18900,248,7035,26183,13581,12,57264,84138,9039,150441,54068,6,28398,1745,4754,34897,,28763,43
,ITALY,10835,586,1567,12988,11177,81,12228,227,17163,29618,13124,0,5177,453,1284,6914,,5071,10
,JAPAN,50938,65263,9013,125214,41929,55232,7967,124625,3945,136537,7954,5644,7162,86755,8479,102396,,5471,2090
,LUXEMBOURG,2511,4907,223,7641,3591,7,3177,2461,1,5639,3124,0,20828,1410,4979,27217,,22501,1015
,NETHERLANDS,6071,247,6336,12654,5024,8,8030,6073,539,14642,7855,0,17484,162,3358,21004,,17530,7
,SWEDEN,6452,22,492,6966,6115,0,2371,885,42,3298,2213,0,4476,6,291,4773,,4547,6
,SWITZERLAND,7037,1906,1757,10700,6005,76,2699,13833,74,16606,2660,0,4486,189,1473,6148,,4479,158
,UNITED KINGDOM,7821,26723,13674,48218,9287,22278,4732,84873,11647,101252,4422,1285,37941,149044,22314,209299,,33474,65362
,Total,155941,107170,54866,317977,132126,78772,129835,339795,47324,516954,127650,7141,234091,243187,54954,532232,,230002,69791
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8763,6194,2321,17278,7850,258,977,17684,106,18767,853,0,8869,7826,2819,19514,,9111,414
,AUSTRIA,2149,1,340,2490,1975,0,5033,0,212,5245,5289,0,1634,0,21,1655,,1300,0
,CYPRUS,122,0,3,125,122,0,42,0,0,42,47,0,1142,0,110,1252,,1182,0
,DENMARK,4552,2,472,5026,4440,0,312,102,102,516,288,0,2799,2,999,3800,,2745,1
,FINLAND,1131,2,171,1304,1103,0,3492,22,252,3766,3385,0,2179,1,65,2245,,2146,1
,GREECE,8581,0,166,8747,8584,0,117,39,803,959,125,0,317,62,0,379,,302,0
,IRELAND,2465,685,189,3339,2245,468,1365,68,259,1692,1511,0,41583,962,3570,46115,,44994,2272
,ISRAEL,381,35,293,709,379,5,355,907,3,1265,441,34,410,2,64,476,,411,1
,NEW ZEALAND,206,419,153,778,355,0,260,391,25,676,260,0,546,97,59,702,,530,0
,NORWAY,3052,23,114,3189,3205,22,8264,69,250,8583,8263,0,2021,1,29,2051,,1971,1
,PORTUGAL,2675,6,39,2720,2717,0,793,0,48,841,1117,0,75,0,12,87,,65,0
,SLOVAKIA,0,1,1,2,0,0,151,86,0,237,151,0,4,9,0,13,,0,0
,SPAIN,8644,360,1759,10763,6366,16,7071,362,91,7524,7836,0,2758,55,286,3099,,2796,0
,OTHER NON G-10 DEV.,441,1,6,448,544,0,1504,0,83,1587,1504,0,411,0,45,456,,80,0
,Total,43162,7729,6027,56918,39885,769,29736,19730,2234,51700,31070,34,64748,9017,8079,81844,,67633,2690
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,25,0,0,25,31,0,9,127,0,136,9,2,2,2,1,5,,2,0
,CZECH REPUBLIC,386,4,19,409,456,2,1043,3150,41,4234,1043,0,263,20,1,284,,263,4
,HUNGARY,118,7,18,143,231,5,932,1437,7,2376,1056,47,81,17,8,106,,81,0
,POLAND,260,151,105,516,312,49,914,5039,0,5953,1127,400,89,362,7,458,,103,4
,ROMANIA,63,13,6,82,76,4,224,743,0,967,226,109,41,35,6,82,,41,21
,RUSSIA,1186,936,111,2233,1431,159,775,2231,3,3009,776,120,252,1160,4,1416,,218,315
,TURKEY,10451,534,735,11720,10233,7,354,762,3,1119,479,300,469,93,14,576,,605,21
,OTHER E. EUROPE,153,5,1,159,228,3,724,414,22,1160,753,0,21,0,7,28,,23,0
,Total,12642,1650,995,15287,12998,229,4975,13903,76,18954,5469,978,1218,1689,48,2955,,1336,365
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,14,1914,,1905,0
,ARGENTINA,166,178,0,344,195,38,568,2107,0,2675,651,864,22,20,0,42,,17,1
,BRAZIL,10106,8867,379,19352,3738,1,13244,14633,4,27881,15550,646,1564,1400,868,3832,,1299,28
,CHILE,4774,1949,673,7396,4677,0,368,634,0,1002,338,230,94,0,359,453,,141,0
,COLOMBIA,2448,223,134,2805,2368,20,385,831,1,1217,403,117,268,107,47,422,,292,0
,COSTA RICA,376,78,11,465,475,45,12,413,0,425,12,143,0,23,0,23,,1,23
,DOMINICAN REPUBLIC,490,28,1,519,549,1,166,349,3,518,224,40,60,1,0,61,,75,0
,ECUADOR,56,39,2,97,62,42,451,218,2,671,450,218,0,0,0,0,,13,0
,EL SALVADOR,241,76,0,317,278,76,19,202,0,221,19,202,5,2,0,7,,30,2
,GUATEMALA,923,137,0,1060,950,131,3,339,0,342,3,88,25,0,0,25,,25,0
,HONDURAS,134,2,1,137,173,0,22,124,0,146,22,41,47,0,0,47,,48,0
,MEXICO,1703,6829,328,8860,1324,318,3496,17050,550,21096,4176,351,1075,6946,625,8646,,1232,475
,PERU,1459,159,48,1666,1489,5,348,1263,25,1636,373,1186,94,29,18,141,,101,15
,URUGUAY,209,5,13,227,210,0,43,253,83,379,45,40,17,17,3,37,,21,3
,VENEZUELA,0,1,0,1,0,0,267,38,1,306,2369,0,0,0,0,0,,5,0
,OTHER LAT. AM. & CAR.,248,145,1,394,328,73,116,843,23,982,31,326,9730,1,294,10025,,13451,2
,Total,23333,18716,1591,43640,16816,750,19508,39297,692,59497,24666,4492,14901,8546,2228,25675,,18656,549
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,16306,5901,2622,24829,13874,2044,2807,14174,801,17782,2471,2915,6157,2635,257,9049,,5771,44
,INDIA,14561,2322,149,17032,10052,43,3288,15729,0,19017,3242,2,3316,2117,414,5847,,3071,687
,INDONESIA,1344,331,35,1710,1489,705,1691,3313,6,5010,1751,982,189,390,8,587,,197,34
,"KOREA, SOUTH",4852,2894,966,8712,4288,634,12986,13732,785,27503,12387,1254,3143,1354,1507,6004,,3020,98
,KUWAIT,409,3,110,522,428,2,11294,202,2,11498,11294,0,93,17,4,114,,91,17
,MALAYSIA,1404,363,208,1975,1253,165,901,4788,2,5691,901,549,543,300,81,924,,545,277
,PAKISTAN,109,5,5,119,131,3,71,818,3,892,72,9,13,0,1,14,,13,0
,PHILIPPINES,1886,1007,5,2898,1988,952,42,2484,282,2808,61,82,61,137,7,205,,64,0
,QATAR,2920,20,88,3028,2705,0,445,0,57,502,413,0,400,0,7,407,,43,0
,SAUDI ARABIA,585,443,624,1652,563,8,10689,62,99,10850,10721,0,50,789,192,1031,,50,0
,TAIWAN,2165,881,395,3441,1957,516,7768,7110,72,14950,7771,16,5292,342,535,6169,,5313,102
,THAILAND,655,500,85,1240,541,21,92,3504,19,3615,96,0,199,45,25,269,,200,1
,UNITED ARAB EMIRATES,3087,698,797,4582,4044,702,1715,2544,96,4355,1790,727,1358,80,118,1556,,1504,70
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,1424,347,20,1791,1861,94,1050,2591,23,3664,987,1282,515,83,19,617,,469,60
,Total,51707,15715,6109,73531,45174,5889,54839,71051,2247,128137,53957,7818,21329,8289,3175,32793,,20351,1390
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,2,168,0,170,4,1,0,674,0,674,0,158,0,14,0,14,,0,0
,EGYPT,210,51,10,271,227,38,1147,743,6,1896,1147,28,5,15,0,20,,86,15
,GHANA,81,0,0,81,95,0,185,0,0,185,437,0,0,0,0,0,,0,0
,KENYA,56,70,0,126,56,18,193,448,0,641,193,4,4,0,0,4,,4,0
,MOROCCO,339,144,6,489,389,18,21,219,0,240,21,0,8,0,0,8,,0,0
,NIGERIA,423,128,22,573,501,12,577,1012,81,1670,577,0,8,8,2,18,,8,7
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2197,308,560,3065,2368,5,467,2142,21,2630,583,0,1233,599,336,2168,,1216,77
,SOUTH SUDAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,121,127,0,248,119,34,991,511,30,1532,1231,43,135,29,4,168,,295,0
,Total,3429,996,598,5023,3760,126,3581,5749,138,9468,4189,233,1393,665,342,2400,,1609,99
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
,BAHAMAS,3,3,1,7,2966,2,13,133,33,179,16,1,3173,4,42,3219,,3593,4
,BAHRAIN,300,52,46,398,917,25,124,197,0,321,123,0,3,0,0,3,,3,0
,BERMUDA,276,18,2,296,274,18,7,0,1,8,7,0,11208,50,597,11855,,11855,17
,CAYMAN ISLANDS,221,38,57,316,3610,38,18,0,15,33,18,0,251852,957,14900,267709,,273678,908
,HONG KONG,5743,1937,801,8481,7479,2466,512,15104,47,15663,508,46,5365,4201,512,10078,,5377,1104
,LEBANON,844,29,13,886,997,28,187,47,0,234,187,23,0,0,0,0,,0,0
,MAURITIUS,46,92,1,139,70,155,75,36,0,111,75,0,601,18,35,654,,608,17
,PANAMA,908,42,44,994,1160,102,88,598,93,779,391,473,166,1,5,172,,337,0
,SINGAPORE,5175,2407,527,8109,5475,1909,24028,14000,88,38116,23706,7,3679,2730,691,7100,,2643,2933
,OTHER BANKING CENTERS,397,34,8,439,546,25,113,87,0,200,154,0,6129,586,989,7704,,7480,556
,Total,13913,4652,1500,20065,23494,4768,25165,30202,277,55644,25185,550,282176,8547,17771,308494,,305574,5539
,,,,,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,523,0,46,569,546,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,1226,0,357,1583,986,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,13599,0,302,13901,13216,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,4202,0,1863,6065,3817,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,1214,0,421,1635,1210,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,32,0,0,32,32,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,20796,0,2989,23785,19807,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,
,UNITED STATES,24273,159808,20453,204534,12261,750,32302,1800051,15538,1847891,30644,130,45967,2030839,48478,2125284,,39539,5120
,,,,,,,,,,,,,,,,,,,,
,Grand Total,328400,316436,92139,736975,286514,92053,320737,2319778,71515,2712030,322637,21376,665823,2310779,135075,3111677,,684700,85543
