,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2017
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,17851,4732,967,3765,2345,24928,,3794,331,20475,22082,9429,,11038,147
,CANADA,48698,41601,9162,32439,16479,106778,,41463,10518,32321,32258,15305,,15255,182
,FRANCE,184830,6202,321,5881,14607,205639,,83426,5794,253582,257121,124627,,128168,634
,GERMANY,139031,91953,345,91608,23643,254627,,44869,5630,225793,232707,111034,,117946,1179
,ITALY,38576,2846,307,2539,18535,59957,,5735,1012,235747,245348,65718,,75321,365
,JAPAN,81792,263496,53764,209732,9172,354460,,107309,6996,134191,138518,62671,,67001,86
,LUXEMBOURG,41034,10440,2212,8228,4922,56396,,10726,2454,35217,35811,15675,,16269,927
,NETHERLANDS,51238,9705,25,9680,11932,72875,,20899,3356,128826,132686,60341,,64202,1106
,SWEDEN,22795,85,23,62,975,23855,,6876,365,40943,41019,21422,,21494,353
,SWITZERLAND,29890,20522,6396,14126,4175,54587,,14908,5168,77189,76581,41683,,41072,1876
,UNITED KINGDOM,67208,319531,99772,219759,52770,439509,,124618,13403,338211,341037,172014,,174359,1860
,Total,722943,771113,173294,597819,159555,1653611,,464623,55027,1522495,1555168,699919,,732125,8715
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,23722,54268,1326,52942,4670,82660,,20665,1436,60798,61508,29159,,29869,397
,AUSTRIA,11449,3,1,2,458,11910,,1476,86,14500,15295,6694,,7490,261
,CYPRUS,1966,0,0,0,247,2213,,529,9,924,683,357,,330,7
,DENMARK,9277,92,24,68,1838,11207,,3267,154,15418,15993,8214,,8788,35
,FINLAND,8678,28,1,27,406,9112,,1553,282,21070,21538,10205,,10672,62
,GREECE,9387,169,0,169,877,10433,,273,143,3982,3944,2266,,2227,31
,IRELAND,59338,3699,1239,2460,3547,66584,,6907,1457,17522,18060,9133,,9671,93
,ISRAEL,3816,1262,300,962,400,5478,,1474,310,4239,4184,2033,,1978,38
,NEW ZEALAND,1518,1264,4,1260,448,3230,,494,136,3268,3457,1786,,1975,9
,NORWAY,14702,99,21,78,554,15355,,2824,426,14834,15288,7640,,8094,89
,PORTUGAL,4134,59,18,41,135,4328,,314,78,27080,26432,11578,,10928,95
,SLOVAKIA,409,295,32,263,5,709,,46,33,1901,1954,710,,763,0
,SPAIN,31657,1766,158,1608,2825,36248,,7061,1472,89292,90503,37324,,38533,427
,OTHER NON G-10 DEV.,2558,1,0,1,227,2786,,438,2,1095,1013,544,,462,0
,Total,182611,63005,3124,59881,16637,262253,,47321,6024,275923,279852,127643,,131780,1544
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,57,136,41,95,5,198,,18,48,2913,2914,1192,,1191,9
,CZECH REPUBLIC,5020,3167,401,2766,87,8274,,196,307,1683,1759,823,,898,20
,HUNGARY,1230,1489,225,1264,44,2763,,413,261,5226,5116,1895,,1786,51
,POLAND,1852,9734,1119,8615,83,11669,,3692,397,5591,5720,2164,,2293,136
,ROMANIA,385,1303,273,1030,12,1700,,140,131,2103,2079,915,,892,40
,RUSSIA,6114,5941,882,5059,316,12371,,2126,279,46152,46112,17296,,17256,128
,TURKEY,14265,2520,654,1866,799,17584,,570,172,41335,39111,13891,,11666,3243
,OTHER E. EUROPE,1670,513,5,508,25,2208,,237,47,9968,10194,4109,,4331,148
,Total,30593,24803,3600,21203,1371,56767,,7392,1642,114971,113005,42285,,40313,3775
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,2575,0,0,0,42,2617,,525,0,0,0,0,,0,0
,ARGENTINA,2589,3258,306,2952,9,5856,,116,41,1461,1503,1002,,1042,216
,BRAZIL,45841,33598,1426,32172,3061,82500,,4965,1887,35611,39365,11801,,15555,6570
,CHILE,7071,2452,40,2412,1120,10643,,480,173,4546,4967,2054,,2474,3451
,COLOMBIA,5880,3881,196,3685,364,10125,,2415,488,7967,8728,2784,,3545,1094
,COSTA RICA,563,556,241,315,33,1152,,37,106,17,15,14,,11,283
,DOMINICAN REPUBLIC,1014,469,96,373,2,1485,,21,143,0,5,0,,5,486
,ECUADOR,471,518,517,1,7,996,,122,220,0,0,0,,0,169
,EL SALVADOR,364,264,264,0,0,628,,157,17,102,101,50,,49,226
,GUATEMALA,1724,332,87,245,14,2070,,35,156,0,20,0,,20,988
,HONDURAS,228,124,33,91,4,356,,11,39,0,50,0,,50,120
,MEXICO,16728,64962,4138,60824,2237,83927,,21823,1487,31027,31876,11926,,12776,1093
,PERU,3205,2007,1473,534,170,5382,,185,321,4781,5182,2041,,2442,848
,URUGUAY,811,507,125,382,101,1419,,65,97,79,134,79,,134,47
,VENEZUELA,669,61,0,61,3,733,,33,6,7142,7425,2812,,3094,0
,OTHER LAT. AM. & CAR.,21693,1222,487,735,460,23375,,882,590,701,288,635,,222,304
,Total,111426,114211,9429,104782,7627,233264,,31872,5771,93434,99659,35198,,41419,15895
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,51660,30443,6015,24428,2958,85061,,5070,1067,48228,48754,21491,,22016,5235
,INDIA,43632,33165,3379,29786,1843,78640,,7828,1846,7237,7223,4286,,4271,10429
,INDONESIA,7285,6911,2733,4178,158,14354,,2326,161,12564,12843,4190,,4467,749
,"KOREA, SOUTH",38490,43163,4423,38740,1950,83603,,16131,3622,48396,49808,22499,,22065,5214
,KUWAIT,9172,278,39,239,112,9562,,84,228,0,1,0,,1,548
,MALAYSIA,3020,11199,1971,9228,303,14522,,5153,945,14933,14091,7611,,6769,275
,PAKISTAN,396,1028,27,1001,6,1430,,172,15,48,50,25,,27,115
,PHILIPPINES,2561,5080,1111,3969,75,7716,,2726,269,9894,9731,3490,,3329,408
,QATAR,4347,38,0,38,1141,5526,,357,64,2768,3309,1730,,2270,471
,SAUDI ARABIA,10871,2276,760,1516,759,13906,,1795,382,2372,2366,929,,924,714
,TAIWAN,25082,22326,4249,18077,1078,48486,,13508,429,202,214,176,,189,170
,THAILAND,2529,7436,149,7287,363,10328,,4412,258,3836,3998,1949,,2111,142
,UNITED ARAB EMIRATES,8400,6345,3229,3116,1003,15748,,3334,1396,5751,7841,3246,,5338,1019
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,2,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,6128,3706,1607,2099,109,9943,,1869,448,5119,4700,2445,,2028,1501
,Total,213573,173394,29692,143702,11858,398825,,64765,11132,161348,164929,74067,,75805,26990
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,51,1126,152,974,0,1177,,274,194,0,0,0,,0,118
,EGYPT,3300,836,113,723,12,4148,,181,27,378,394,202,,217,182
,GHANA,614,0,0,0,2,616,,153,69,0,0,0,,0,162
,KENYA,501,708,164,544,2,1211,,238,214,0,0,0,,0,57
,MOROCCO,462,456,29,427,11,929,,217,47,225,230,141,,145,524
,NIGERIA,1391,1612,166,1446,119,3122,,3895,267,3,0,3,,0,320
,SOUTH AFRICA,6011,5798,412,5386,964,12773,,2682,214,22485,22856,8710,,9081,259
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,2029,1205,228,977,179,3413,,451,180,2039,2179,650,,789,158
,Total,14359,11741,1264,10477,1289,27389,,8091,1212,25130,25659,9706,,10232,1780
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,12790,341,11,330,106,13237,,524,83,14,0,14,,0,5
,BAHRAIN,503,423,73,350,48,974,,312,110,141,168,72,,98,55
,BERMUDA,17453,96,71,25,646,18195,,7059,3848,4880,4499,2479,,2106,103
,CAYMAN ISLANDS,271133,1899,1151,748,7325,280357,,35403,2163,17012,14998,11341,,9321,106
,HONG KONG,22003,34944,5711,29233,1261,58208,,14914,936,9120,8938,5446,,5256,869
,LEBANON,1213,181,149,32,10,1404,,85,115,521,317,326,,121,453
,MAURITIUS,1409,727,341,386,94,2230,,504,26,0,0,0,,0,80
