,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2017
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,19927,837,13783,4082,24846,1829,1823,24838
,CANADA,88206,10912,60542,48376,147494,12577,16207,151122
,FRANCE,155273,219,126304,14636,170128,1811,13042,181358
,GERMANY,137931,472,96614,97856,236259,6468,86127,312851
,ITALY,37041,772,27450,5438,43251,330,1558,44477
,JAPAN,92700,53398,129186,210954,357052,2150,29329,384227
,LUXEMBOURG,61644,2302,42065,11649,75595,13297,2941,65241
,NETHERLANDS,66767,906,30676,9813,77486,16918,8929,69497
,SWEDEN,23486,6,17406,1136,24628,1656,3591,26564
,SWITZERLAND,26538,6567,25696,17337,50442,2617,57950,105775
,UNITED KINGDOM,188319,108693,242713,255468,552480,82757,28528,498251
,Total,897832,185084,812435,676745,1759661,142410,250025,1864201
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,27649,3686,13547,64640,95975,5092,3590,94472
,AUSTRIA,13983,1,7523,62,14046,2066,335,12316
,CYPRUS,3056,0,2011,0,3056,552,73,2577
,DENMARK,8288,73,7517,188,8549,536,1807,9821
,FINLAND,11295,0,7513,125,11420,1134,565,10850
,GREECE,10416,0,10049,224,10640,245,49,10444
,IRELAND,110798,2680,90988,9033,122511,47009,3577,79075
,ISRAEL,4394,323,3225,1115,5832,1053,1758,6535
,NEW ZEALAND,2340,5,1459,1911,4256,706,209,3763
,NORWAY,19731,99,16976,115,19945,1054,1205,20097
,PORTUGAL,5221,18,4282,96,5335,186,101,5253
,SLOVAKIA,233,260,333,115,608,60,11,558
,SPAIN,31157,175,22556,3040,34372,825,3188,36731
,OTHER NON G-10 DEV.,4452,0,3829,1,4453,510,551,4493
,Total,253013,7320,191808,80665,340998,61028,17019,296985
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,75,100,168,179,354,64,5,295
,CZECH REPUBLIC,6549,368,6339,2648,9565,227,24,9360
,HUNGARY,1560,280,1112,1841,3681,217,141,3605
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3236,3,2163,10999,14238,428,134,13941
,ROMANIA,534,400,782,1260,2194,237,40,1997
,RUSSIA,5589,457,4438,5923,11969,786,1015,12202
,TURKEY,14219,691,12402,2757,17667,1109,1136,17693
,OTHER E. EUROPE,1872,7,1262,599,2478,484,65,2056
,Total,33634,2306,28666,26206,62146,3552,2560,61149
,,,,,,,,,
