,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2017
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,229,0,0,229,215,0,481,0,0,481,351,0,125,0,0,125,,274,0
,CANADA,12804,1851,1281,15936,14826,799,7347,582,193,8122,2561,0,8135,574,318,9027,,8410,14
,FRANCE,6230,20,211,6461,4141,0,1128,117,0,1245,608,0,939,6,0,945,,666,0
,GERMANY,67895,31,566,68492,3288,1,1980,3,44,2027,1677,0,785,1,0,786,,550,0
,ITALY,120,150,0,270,92,12,18,45,0,63,14,0,128,0,0,128,,123,0
,JAPAN,10311,544,158,11013,5361,1,2426,2,8,2436,2426,0,11080,119,22,11221,,11030,0
,LUXEMBOURG,523,237,0,760,543,6,4,5819,0,5823,2,0,1509,1,32,1542,,3990,0
,NETHERLANDS,855,61,10,926,696,31,526,1,0,527,476,0,618,7,9,634,,557,0
,SWEDEN,2967,1,1,2969,1979,0,902,0,0,902,1004,0,67,0,0,67,,67,0
,SWITZERLAND,54738,217,77,55032,1881,0,327,0,0,327,324,0,690,0,11,701,,360,0
