,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2017
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,18827,837,13268,4070,23734,1653,1492,23571
,CANADA,54366,8736,41338,33371,96473,4868,5540,97143
,FRANCE,148375,219,122391,13342,161936,1280,9654,170309
,GERMANY,129964,471,93381,96974,227409,5337,16751,238821
,ITALY,36725,748,27198,4031,41504,290,1377,42589
,JAPAN,73478,53397,110728,208160,335035,1906,22966,356092
,LUXEMBOURG,54037,2295,37312,5568,61900,9877,2217,54242
,NETHERLANDS,59317,32,29102,9437,68786,14290,7181,61675
,SWEDEN,20035,5,16246,871,20911,1497,2496,21910
,SWITZERLAND,22996,6567,22726,17071,46634,2185,4265,48717
,UNITED KINGDOM,63830,101105,126449,235382,400317,31826,21258,389747
,Total,681950,174412,640139,628277,1484639,75009,95197,1504816
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,21307,3660,11187,57324,82291,4148,3169,81311
,AUSTRIA,13493,1,7453,1,13495,2051,330,11775
,CYPRUS,3040,0,2008,0,3040,552,35,2523
,DENMARK,7646,73,7113,169,7888,517,1767,9139
,FINLAND,10444,0,7329,36,10480,1127,563,9915
,GREECE,10287,0,9953,224,10511,202,23,10332
,IRELAND,69304,2631,56339,2695,74630,11452,2797,65973
,ISRAEL,3800,323,2946,1115,5238,1028,838,5047
,NEW ZEALAND,1839,5,1382,1610,3454,507,201,3152
,NORWAY,17497,99,15836,83,17679,910,898,17668
,PORTUGAL,4881,18,4106,96,4995,175,87,4910
,SLOVAKIA,224,260,324,115,599,53,8,553
,SPAIN,30748,175,22241,2305,33228,750,2504,34979
,OTHER NON G-10 DEV.,4209,0,3745,1,4210,355,374,4228
,Total,198719,7245,151962,65774,271738,23827,13594,261505
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,60,100,154,179,339,52,0,287
,CZECH REPUBLIC,6459,368,6250,2648,9475,207,10,9276
,HUNGARY,1454,279,1009,1828,3561,184,132,3509
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3062,3,2083,10904,13969,409,60,13617
,ROMANIA,475,400,726,1260,2135,189,0,1946
,RUSSIA,5485,457,4354,5899,11841,785,849,11909
,TURKEY,14012,691,12250,2757,17460,1106,1129,17482
,OTHER E. EUROPE,1751,7,1160,599,2357,418,14,1951
,Total,32758,2305,27986,26074,61137,3350,2194,59977
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,3036,0,3033,0,3036,29,2,3009
,ARGENTINA,2705,406,2317,2919,6030,769,47,5309
,BRAZIL,30842,1602,21594,34301,66745,4014,12402,75138
,CHILE,7377,0,5306,2532,9909,194,255,9969
,COLOMBIA,4766,23,3283,3960,8749,844,612,8515
,COSTA RICA,603,250,653,281,1134,122,108,1121
,DOMINICAN REPUBLIC,975,74,871,332,1381,209,39,1210
,ECUADOR,544,0,311,537,1081,172,4,913
,EL SALVADOR,451,0,367,187,638,166,29,500
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1416,188,1227,297,1901,168,189,1920
,HONDURAS,349,34,270,92,475,116,0,358
,MEXICO,19239,4702,14497,65922,89863,4334,2363,87893
,MONTSERRAT,0,0,0,0,0,0,0,0
