,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2017
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,4605,529,5134,178,16,194,305,5633,4111,530,4641,59,,1,60
,CANADA,12095,476,12571,17524,1124,18648,1921,33140,11813,297,12110,7319,,0,7319
,FRANCE,19457,666,20123,8084,721,8805,1214,30142,18466,661,19127,204,,5,209
,GERMANY,22611,1052,23663,1094,110,1204,2428,27295,19024,860,19884,358,,8,366
,ITALY,6823,218,7041,3593,599,4192,553,11786,6014,220,6234,704,,18,722
,JAPAN,17863,135,17998,21546,180,21726,906,40630,16603,109,16712,1629,,0,1629
,LUXEMBOURG,10510,219,10729,1112,0,1112,1404,13245,13909,3,13912,48,,0,48
,NETHERLANDS,19558,58,19616,588,397,985,1789,22390,28613,65,28678,17,,0,17
,SWEDEN,4537,96,4633,4,0,4,116,4753,4300,98,4398,0,,0,0
,SWITZERLAND,9591,338,9929,3369,3137,6506,1250,17685,8658,255,8913,3463,,2779,6242
,UNITED KINGDOM,13995,2515,16510,55971,2503,58474,7695,82679,13454,2018,15472,12738,,1263,14001
,Total,141645,6302,147947,113063,8787,121850,19581,289378,144965,5116,150081,26539,,4074,30613
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5138,246,5384,11160,10706,21866,560,27810,4554,241,4795,2393,,0,2393
,AUSTRIA,2632,5,2637,0,0,0,19,2656,4567,5,4572,0,,0,0
,CYPRUS,977,8,985,0,0,0,20,1005,1462,8,1470,0,,0,0
,DENMARK,2324,5,2329,11,0,11,338,2678,2189,4,2193,0,,0,0
,FINLAND,2024,1,2025,7,0,7,44,2076,1652,2,1654,0,,0,0
,GREECE,404,82,486,92,0,92,6,584,557,80,637,0,,0,0
,IRELAND,10498,164,10662,2094,0,2094,551,13307,11756,38,11794,492,,0,492
,ISRAEL,2378,312,2690,204,0,204,283,3177,2263,224,2487,282,,0,282
,NEW ZEALAND,510,19,529,380,0,380,107,1016,539,19,558,5,,0,5
,NORWAY,1779,12,1791,2,0,2,141,1934,1514,8,1522,0,,0,0
,PORTUGAL,645,35,680,50,0,50,56,786,679,39,718,18,,0,18
,SLOVAKIA,128,0,128,198,0,198,6,332,130,0,130,247,,0,247
,SPAIN,11971,773,12744,1260,1,1261,635,14640,10752,747,11499,158,,0,158
,OTHER NON G-10 DEV.,245,164,409,0,0,0,18,427,349,164,513,0,,0,0
,Total,41653,1826,43479,15458,10707,26165,2784,72428,42963,1579,44542,3595,,0,3595
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,24,0,24,43,0,43,3,70,37,0,37,42,,0,42
,CZECH REPUBLIC,219,52,271,712,0,712,71,1054,262,52,314,346,,0,346
,HUNGARY,218,6,224,433,0,433,20,677,132,6,138,215,,0,215
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,492,2,494,2413,1824,4237,55,4786,495,2,497,1,,0,1
,ROMANIA,92,10,102,357,0,357,5,464,99,10,109,173,,0,173
,RUSSIA,3386,160,3546,1301,887,2188,138,5872,3157,165,3322,208,,6,214
,TURKEY,3098,238,3336,1029,0,1029,66,4431,2863,238,3101,273,,0,273
,OTHER E. EUROPE,388,10,398,109,2,111,1,510,644,10,654,4,,0,4
,Total,7917,478,8395,6397,2713,9110,359,17864,7689,483,8172,1262,,6,1268
