,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2017
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,536,12,548,12,0,12,0,560,346,6,352,0,,0,0
,CANADA,7756,1660,9416,6259,7890,14149,410,23975,6552,1616,8168,1230,,17,1247
,FRANCE,1393,66,1459,682,429,1111,18,2588,1423,60,1483,0,,0,0
,GERMANY,2522,451,2973,559,361,920,4,3897,2429,453,2882,1,,0,1
,ITALY,148,29,177,662,553,1215,0,1392,83,23,106,9,,0,9
,JAPAN,1330,155,1485,1079,1563,2642,1,4128,323,155,478,0,,0,0
,LUXEMBOURG,2575,56,2631,36,0,36,9,2676,2744,40,2784,10,,0,10
,NETHERLANDS,4297,42,4339,1032,126,1158,102,5599,5131,36,5167,860,,0,860
,SWEDEN,408,25,433,82,192,274,0,707,346,25,371,1,,0,1
,SWITZERLAND,817,98,915,214,1,215,12,1142,793,120,913,0,,0,0
,UNITED KINGDOM,6689,579,7268,3493,6543,10036,323,17627,6342,637,6979,572,,73,645
,Total,28471,3173,31644,14110,17658,31768,879,64291,26512,3171,29683,2683,,90,2773
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1438,83,1521,2523,1894,4417,6,5944,1503,89,1592,0,,0,0
,AUSTRIA,181,8,189,36,31,67,0,256,184,7,191,0,,0,0
,CYPRUS,39,1,40,0,0,0,0,40,1,1,2,0,,0,0
,DENMARK,31,3,34,20,0,20,0,54,44,3,47,0,,0,0
,FINLAND,52,1,53,87,1,88,0,141,55,1,56,0,,0,0
,GREECE,103,5,108,0,0,0,0,108,91,4,95,0,,0,0
,IRELAND,2282,50,2332,6,0,6,9,2347,2542,50,2592,0,,0,0
,ISRAEL,791,245,1036,0,0,0,1,1037,210,261,471,0,,0,0
,NEW ZEALAND,156,18,174,136,157,293,0,467,317,18,335,0,,0,0
,NORWAY,382,15,397,31,0,31,0,428,248,10,258,0,,0,0
,PORTUGAL,166,8,174,0,0,0,0,174,173,7,180,0,,0,0
,SLOVAKIA,2,0,2,0,0,0,0,2,6,0,6,0,,0,0
,SPAIN,303,24,327,292,335,627,0,954,228,35,263,0,,0,0
,OTHER NON G-10 DEV.,209,28,237,0,0,0,0,237,46,40,86,0,,0,0
,Total,6135,489,6624,3131,2418,5549,16,12189,5648,526,6174,0,,0,0
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,1,1,2,0,0,0,0,2,10,1,11,0,,0,0
,CZECH REPUBLIC,1,1,2,0,0,0,0,2,19,0,19,0,,0,0
