,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2017
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,32551,9308,41859,18744,-13020,,2047,7640,2224,1529,0,822,,1529
,CANADA,6081,27702,33783,40710,16083,,11873,17315,3148,23276,0,7307,,23276
,FRANCE,478,4854,5332,60412,8670,,13521,44598,11943,84000,14,44278,,84000
,GERMANY,20508,54752,75260,115922,46802,,24898,41045,12992,31014,18,13907,,31014
,ITALY,240,3159,3399,38591,1110,,2527,24822,9670,6009,18,1491,,6009
,JAPAN,4973,70236,75209,86541,207500,,5847,99426,28914,151149,0,65241,,151149
,LUXEMBOURG,20562,14006,34568,87069,-19958,,2259,10408,1323,12755,9,722,,12755
,NETHERLANDS,27880,7161,35041,59919,-31244,,8043,18424,2317,5870,0,1638,,5870
,SWEDEN,639,935,1574,10833,-915,,1955,6900,1423,6866,0,2638,,6866
,SWITZERLAND,8333,1946,10279,40146,14248,,1937,7904,193,4179,0,362,,4179
,UNITED KINGDOM,966877,251521,1218398,299376,226610,,25233,69304,14159,102094,0,48253,,102094
,Total,1089122,445580,1534702,858263,455886,,100140,347786,88306,428741,59,186659,,428741
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,2909,53211,56120,69813,10815,,12923,26109,3509,6746,3,3424,,6746
,AUSTRIA,4,81,85,7326,-128,,3628,5631,2886,1323,0,613,,1323
,CYPRUS,0,0,0,2293,-1,,0,1264,12,238,0,153,,238
,DENMARK,2276,1121,3397,9892,-3208,,28,2926,79,4873,0,408,,4873
,FINLAND,482,961,1443,5453,-1251,,2386,4618,1948,1368,0,766,,1368
,GREECE,68,1975,2043,4013,-1849,,0,2378,124,6905,94,1738,,6905
,IRELAND,10219,5859,16078,76169,15507,,3644,15059,507,29423,8,2930,,29423
,ISRAEL,990,1263,2253,4832,-489,,270,1464,186,202,0,200,,202
,NEW ZEALAND,13,896,909,2169,1050,,170,820,47,285,0,107,,285
,NORWAY,203,979,1182,7281,-1010,,844,2793,163,4664,0,779,,4664
,PORTUGAL,14,346,360,2935,-235,,56,2188,757,2225,0,140,,2225
,SLOVAKIA,119,599,718,834,-214,,119,48,30,164,0,155,,164
,SPAIN,340,2465,2805,14898,365,,2495,18593,4333,5289,0,3280,,5289
,OTHER NON G-10 DEV.,0,0,0,4043,0,,0,351,3,1776,0,1283,,1776
,Total,17637,69756,87393,211951,19352,,26563,84242,14584,65481,105,15976,,65481
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,179,247,426,1107,-232,,49,12,2,0,0,0,,0
,CZECH REPUBLIC,807,1683,2490,2356,1173,,36,952,222,7931,0,1570,,7931
,HUNGARY,599,1192,1791,2468,199,,800,1488,536,115,0,56,,115
,POLAND,2368,7132,9500,10849,2287,,5150,2152,803,34,0,34,,34
,ROMANIA,411,1258,1669,1572,-102,,505,318,134,94,0,94,,94
,RUSSIA,2504,4491,6995,12364,373,,737,3928,415,1110,0,1036,,1110
,TURKEY,618,1227,1845,3030,821,,414,3981,499,2586,0,2058,,2586
,OTHER E. EUROPE,209,473,682,2538,-111,,45,1074,399,191,0,145,,191
,Total,7695,17703,25398,36284,4408,,7736,13905,3010,12061,0,4993,,12061
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,1654,1,,0,0,0,3023,0,1146,,3023
,ARGENTINA,593,1745,2338,2116,1168,,462,3190,266,483,0,478,,483
,BRAZIL,496,18781,19277,22539,21363,,3724,27444,2100,14635,0,11197,,14635
,CHILE,4,50,54,931,2606,,701,1112,150,18,0,6,,18
,COLOMBIA,29,3535,3564,3673,651,,256,1062,140,371,0,344,,371
,COSTA RICA,221,225,446,480,295,,159,144,10,33,0,33,,33
,DOMINICAN REPUBLIC,62,283,345,306,111,,206,200,32,0,0,0,,0
,ECUADOR,495,0,495,519,94,,54,66,47,0,0,0,,0
,EL SALVADOR,171,0,171,177,101,,64,52,20,0,0,0,,0
,GUATEMALA,75,219,294,309,179,,301,8,3,75,0,75,,75
,HONDURAS,34,71,105,83,32,,42,101,0,0,0,0,,0
,MEXICO,5182,54218,59400,63262,15596,,14067,13123,850,3289,0,2732,,3289
,PERU,422,767,1189,1789,560,,353,573,94,142,0,127,,142
,URUGUAY,1822,243,2065,566,3383,,0,640,54,0,0,0,,0
,VENEZUELA,23,5,28,2803,40,,162,256,89,0,0,0,,0
,OTHER LAT. AM. & CAR.,614,616,1230,33759,830,,375,2123,159,4875,2,1162,,4875
,Total,10244,80758,91002,134966,47010,,20926,50094,4014,26944,2,17300,,26944
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6488,24267,30755,43278,7064,,4449,37549,342,16798,0,120,,16798
,INDIA,469,8525,8994,24741,13154,,11078,27890,648,3344,0,3336,,3344
,INDONESIA,1986,3248,5234,8577,2668,,1568,4674,273,328,0,327,,328
,"KOREA, SOUTH",5094,25351,30445,40639,17639,,7973,19242,1408,16399,0,9587,,16399
,KUWAIT,93,104,197,5267,56,,150,186,0,6555,0,1476,,6555
,MALAYSIA,4519,6190,10709,18103,1520,,883,2047,26,70,0,70,,70
,PAKISTAN,72,811,883,1399,356,,411,379,9,293,0,293,,293
,PHILIPPINES,2419,3045,5464,6264,1413,,241,911,108,1013,0,939,,1013
,QATAR,15,49,64,4120,184,,2,545,173,375,0,71,,375
,SAUDI ARABIA,424,241,665,15558,1806,,30,2221,64,6659,0,2626,,6659
,TAIWAN,13586,9665,23251,36509,7310,,1720,15280,161,9612,0,2382,,9612
,THAILAND,1530,5274,6804,9307,1362,,1984,4251,59,844,0,790,,844
,UNITED ARAB EMIRATES,4959,2433,7392,13975,3197,,9,679,173,963,0,375,,963
,WEST BANK AND GAZA,0,0,0,1,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,3631,1864,5495,11653,-1368,,612,2165,123,518,0,386,,518
,Total,45285,91067,136352,239391,56361,,31110,118019,3567,63771,0,22778,,63771
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,159,849,1008,767,274,,308,42,0,0,0,0,,0
,EGYPT,208,487,695,1059,174,,415,6586,46,804,0,504,,804
,GHANA,0,0,0,207,0,,0,288,43,0,0,0,,0
,KENYA,244,418,662,823,104,,370,132,16,0,0,0,,0
,MOROCCO,122,361,483,746,-135,,106,60,25,85,0,85,,85
,NIGERIA,583,849,1432,3802,-249,,184,897,50,4181,0,17,,4181
,SOUTH AFRICA,617,3811,4428,9223,2689,,1625,4837,673,503,0,377,,503
,SOUTH SUDAN,0,0,0,1,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,699,1085,1784,5615,62,,360,737,59,202,0,154,,202
,Total,2632,7860,10492,22243,2919,,3368,13579,912,5775,0,1137,,5775
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,3644,186,3830,6665,261,,53,502,3,5409,0,1025,,5409
,BAHRAIN,273,255,528,1162,-94,,179,185,32,238,0,238,,238
,BERMUDA,317,0,317,14897,2779,,237,6103,127,2089,2,681,,2089
,CAYMAN ISLANDS,91940,2,91942,184255,-60640,,72615,20728,640,109042,92,23745,,109042
,HONG KONG,48162,27091,75253,56787,350,,6788,12106,1977,2213,2,511,,2213
,LEBANON,151,32,183,2952,0,,0,1023,128,0,0,0,,0
,MAURITIUS,239,1,240,2732,11420,,65,474,2,51,0,40,,51
,PANAMA,1033,14,1047,1554,-34,,455,417,86,101,0,50,,101
,SINGAPORE,52637,19663,72300,58598,28379,,10334,8180,299,24219,0,10565,,24219
,OTHER BANKING CENTERS,19170,2628,21798,26764,-11174,,699,4297,196,1652,0,244,,1652
,Total,217566,49872,267438,356366,-28753,,91425,54015,3490,145014,96,37099,,145014
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,84,0,,141,256,8,0,0,0,,0
,ASIAN,0,0,0,126,0,,723,686,153,0,0,0,,0
,EUROPEAN,0,0,0,2664,0,,6468,5318,970,36,0,0,,36
,INTERNATIONAL,0,0,0,1524,0,,1730,2040,323,89,0,12,,89
,LATIN AMERICAN,0,0,0,64,0,,812,919,12,0,0,0,,0
,MIDDLE EASTERN,0,0,0,63,0,,0,0,0,31,0,0,,31
,Total,0,0,0,4525,0,,9874,9219,1466,156,0,12,,156
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,217988,-557362,,1446466,767588,95166,601678,26,463954,,601678
,,,,,,,,,,,,,,,
,Grand Total,1390181,762596,2152777,2081977,-179,,1737608,1458447,214515,1349621,288,749908,,1349621
