,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2017
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,3916,608,893,5417,4186,527,9234,11065,943,21242,8369,48,2697,54,27,2778,,2657,50
,CANADA,31104,9180,6410,46694,25363,2391,6904,10979,2183,20066,3974,923,38341,5725,6844,50910,,38519,674
,FRANCE,28729,432,7922,37083,21877,39,27322,2586,2887,32795,25965,0,77681,723,2234,80638,,77132,10
,GERMANY,56493,298,6453,63244,19265,10,64625,104320,10532,179477,58854,5,32637,1411,4620,38668,,32680,65
,ITALY,11782,205,1264,13251,11060,39,19974,284,15815,36073,19850,0,7089,593,780,8462,,6952,3
,JAPAN,76106,47758,3032,126896,55723,39675,24421,105932,1570,131923,24391,4728,26376,72280,3399,102055,,24849,2177
,LUXEMBOURG,1963,832,186,2981,3948,133,1255,11815,47,13117,1177,0,36470,2132,3604,42206,,46495,1818
,NETHERLANDS,7248,284,4907,12439,4598,11,7092,7577,424,15093,6663,0,18443,767,2799,22009,,17617,3
,SWEDEN,9755,48,594,10397,7904,0,3016,639,169,3824,2906,0,5815,5,336,6156,,5851,4
,SWITZERLAND,31482,252,1129,32863,6548,70,3911,17392,52,21355,3665,1,5017,112,2987,8116,,4774,162
,UNITED KINGDOM,49188,29046,14619,92853,79089,30749,9669,108349,11955,129973,7188,2547,50929,146817,19427,217173,,49478,62995
,Total,307766,88943,47409,444118,239561,73644,177423,380938,46577,604938,163002,8252,301495,230619,47057,579171,,307004,67961
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,12973,6926,2626,22525,11226,514,1240,20853,133,22226,1272,0,10900,10481,1052,22433,,11134,693
,AUSTRIA,1234,2,177,1413,1230,0,4708,0,392,5100,4631,0,876,1,5,882,,767,0
,CYPRUS,188,0,3,191,197,0,54,0,0,54,54,0,977,0,65,1042,,1318,0
,DENMARK,5070,349,578,5997,4487,0,444,50,161,655,350,0,3776,13,783,4572,,3769,9
,FINLAND,1493,64,17,1574,2150,22,5011,18,544,5573,4892,0,4573,0,88,4661,,4502,0
,GREECE,8553,0,142,8695,8504,0,751,31,711,1493,751,0,8,55,0,63,,31,0
,IRELAND,2329,474,99,2902,9210,213,3942,8903,288,13133,3856,0,54180,1125,2748,58053,,66642,1973
