,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2017
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1456,215,0,215,0,1671,,134,93,14,14,14,,14,112
,CANADA,35730,19723,3326,16397,1965,57418,,46652,4447,72,268,39,,225,14
,FRANCE,8010,1789,0,1789,182,9981,,671,300,398,411,265,,265,4
,GERMANY,43034,1063,0,1063,20,44117,,961,389,37,38,37,,38,72
,ITALY,592,1670,20,1650,0,2262,,760,257,1807,1807,517,,517,2
,JAPAN,34110,3889,2,3887,62,38061,,3453,162,136,577,113,,522,48
,LUXEMBOURG,3669,7277,0,7277,40,10986,,1505,87,21,25,21,,21,20
,NETHERLANDS,5533,1214,847,367,113,6860,,1795,676,30,16,25,,11,22
,SWEDEN,4380,305,1,304,2,4687,,510,41,5,5,5,,5,0
,SWITZERLAND,27211,344,0,344,89,27644,,328,108,12,21,12,,20,1
,UNITED KINGDOM,70116,33323,5617,27706,1771,105210,,32305,5359,84,72960,84,,104,303
,Total,233841,70812,9813,60999,4244,308897,,89074,11919,2616,76142,1132,,1742,598
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6224,7717,16,7701,81,14022,,7189,178,345,345,225,,225,1
,AUSTRIA,487,68,0,68,0,555,,27,14,9,4,9,,4,0
,CYPRUS,54,0,0,0,0,54,,5,0,0,0,0,,0,0
,DENMARK,544,17,0,17,4,565,,28,0,0,0,0,,0,0
,FINLAND,885,125,0,125,0,1010,,11,2,12,12,12,,12,0
,GREECE,114,0,0,0,0,114,,3,6,0,0,0,,0,0
,IRELAND,5306,8276,13,8263,121,13703,,1869,99,21,34,21,,31,0
,ISRAEL,1239,24,0,24,1,1264,,851,190,3,3,3,,3,32
,NEW ZEALAND,381,299,0,299,7,687,,479,11,0,3,0,,0,0
,NORWAY,2683,27,0,27,10,2720,,52,30,40,40,25,,25,0
,PORTUGAL,330,0,0,0,0,330,,6,18,29,29,16,,16,2
,SLOVAKIA,5,0,0,0,0,5,,5,0,1,1,1,,1,0
,SPAIN,1150,677,0,677,75,1902,,391,162,822,866,221,,245,30
,OTHER NON G-10 DEV.,213,0,0,0,0,213,,4,14,0,0,0,,0,0
,Total,19615,17230,29,17201,299,37144,,10920,724,1282,1337,533,,562,65
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,6,0,0,0,0,6,,2,0,0,0,0,,0,0
,CZECH REPUBLIC,71,0,0,0,0,71,,10,8,0,0,0,,0,0
,HUNGARY,37,10,0,10,0,47,,21,0,25,25,15,,15,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,230,158,0,158,0,388,,123,1,14,14,13,,13,0
,ROMANIA,14,0,0,0,0,14,,21,1,0,0,0,,0,0
,RUSSIA,185,38,0,38,0,223,,45,0,1211,1211,411,,411,0
,TURKEY,279,0,0,0,0,279,,81,31,1141,1141,214,,214,95
,OTHER E. EUROPE,53,0,0,0,0,53,,76,0,81,81,67,,67,0
,Total,875,206,0,206,0,1081,,379,41,2472,2472,720,,720,95
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,495,0,0,0,0,495,,0,0,0,0,0,,0,0
,ARGENTINA,911,873,319,554,25,1809,,492,7,243,463,28,,248,0
,BRAZIL,5869,315,0,315,3,6187,,803,133,7293,8047,2040,,2794,114
,CHILE,1010,65,1,64,39,1114,,227,4,623,623,77,,77,59
,COLOMBIA,742,10,0,10,8,760,,154,28,2534,2534,317,,317,16
,COSTA RICA,182,3,0,3,0,185,,25,39,0,0,0,,0,27
,DOMINICAN REPUBLIC,332,2,0,2,0,334,,7,0,0,0,0,,0,3
,ECUADOR,252,26,0,26,0,278,,7,5,0,0,0,,0,8
,EL SALVADOR,96,0,0,0,0,96,,6,7,0,0,0,,0,15
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,297,1,0,1,0,298,,2,0,0,0,0,,0,75
,HONDURAS,59,0,0,0,0,59,,3,1,0,0,0,,0,3
,MEXICO,4988,2706,78,2628,80,7774,,2739,247,5476,5630,1716,,1871,30
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,417,10,0,10,1,428,,240,2,1331,1331,288,,288,12
,URUGUAY,92,14,7,7,19,125,,3,67,0,0,0,,0,0
,VENEZUELA,879,6,0,6,0,885,,56,32,0,0,0,,0,32
,OTHER LAT. AM. & CAR.,1656,513,289,224,27,2196,,151,51,0,35,0,,0,13
,Total,18277,4544,694,3850,202,23023,,4915,623,17500,18663,4466,,5595,407
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,5948,1466,422,1044,7,7421,,569,215,2699,2699,1054,,1054,636
,INDIA,134,1189,0,1189,0,1323,,1296,41,0,0,0,,0,44
,INDONESIA,76,2,0,2,2,80,,17,27,1928,1928,331,,331,67
,"KOREA, SOUTH",1261,3,0,3,2,1266,,25,84,560,560,261,,261,69
,KUWAIT,1580,0,0,0,13,1593,,94,0,0,0,0,,0,0
,MALAYSIA,158,28,0,28,0,186,,3,3,1434,1434,281,,281,9
,PAKISTAN,18,0,0,0,3,21,,7,0,0,0,0,,0,0
,PHILIPPINES,93,63,33,30,0,156,,20,1,455,455,260,,260,1
,QATAR,97,0,0,0,0,97,,2,1,0,0,0,,0,56
,SAUDI ARABIA,5553,20,0,20,34,5607,,394,16,27,31,27,,27,25
,TAIWAN,1247,226,30,196,1,1474,,423,78,0,0,0,,0,33
,THAILAND,22,119,1,118,0,141,,390,6,124,124,75,,75,9
,UNITED ARAB EMIRATES,575,0,0,0,6,581,,49,11,0,0,0,,0,153
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,653,15,0,15,2,670,,192,36,10,10,10,,10,15
,Total,17415,3131,486,2645,70,20616,,3481,519,7237,7241,2299,,2299,1117
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,5,0,0,0,0,5,,1,0,0,0,0,,0,0
,EGYPT,17,0,0,0,0,17,,2,0,0,0,0,,0,0
,GHANA,3,0,0,0,0,3,,1,2,0,0,0,,0,0
,KENYA,2,0,0,0,0,2,,1,0,0,0,0,,0,0
,MOROCCO,5,0,0,0,0,5,,2,0,0,0,0,,0,0
,NIGERIA,15,0,0,0,0,15,,2,11,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,387,0,0,0,0,387,,79,1,1261,1261,230,,230,12
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,296,0,0,0,3,299,,2,26,0,5,0,,5,0
,Total,730,0,0,0,3,733,,90,40,1261,1266,230,,235,12
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,1807,5,0,5,2,1814,,39,3,0,0,0,,0,0
,BAHRAIN,102,0,0,0,0,102,,0,0,0,0,0,,0,0
,BERMUDA,3940,5,1,4,185,4130,,1681,780,2,20,1,,18,0
,CAYMAN ISLANDS,42248,14,0,14,78,42340,,6478,197,4,17,4,,11,33
,HONG KONG,2478,1487,408,1079,8,3973,,4393,126,0,26,0,,0,248
,LEBANON,17,0,0,0,0,17,,0,2,0,0,0,,0,0
,MAURITIUS,50,0,0,0,0,50,,62,0,0,0,0,,0,0
,PANAMA,615,14,0,14,24,653,,26,18,243,263,116,,136,136
,SINGAPORE,7988,755,111,644,50,8793,,3151,117,0,5,0,,0,48
,OTHER BANKING CENTERS,1007,35,21,14,2,1044,,360,141,0,2,0,,0,0
,Total,60252,2315,541,1774,349,62916,,16190,1384,249,333,121,,165,465
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,ASIAN,2299,0,0,0,0,2299,,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,4465,0,0,0,0,4465,,0,0,0,0,0,,0,0
,INTERNATIONAL,4711,0,0,0,0,4711,,0,0,0,0,0,,0,0
,LATIN AMERICAN,2515,0,0,0,0,2515,,2,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,Total,13990,0,0,0,0,13990,,2,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,189261,5132127,17397,5114730,18650,5340038,,2393036,66539,41559,65495,22230,,44902,3878
,,,,,,,,,,,,,,,,
,Grand Total,554256,5230365,28960,5201405,23817,5808438,,2518087,81789,74176,172949,31731,,56220,6637
