,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2017
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,6394,21,6415,138,17,155,213,6783,5873,33,5906,140,,0,140
,CANADA,12631,474,13105,17045,1207,18252,2689,34046,13098,310,13408,6945,,3,6948
,FRANCE,19620,616,20236,7386,948,8334,849,29419,18689,637,19326,187,,5,192
,GERMANY,33281,298,33579,1666,146,1812,2002,37393,28818,1098,29916,791,,10,801
,ITALY,8225,356,8581,2004,669,2673,487,11741,7203,355,7558,512,,26,538
,JAPAN,21616,154,21770,26242,143,26385,644,48799,19117,120,19237,1403,,0,1403
,LUXEMBOURG,13377,438,13815,1405,0,1405,1660,16880,16501,226,16727,35,,0,35
,NETHERLANDS,26181,52,26233,90,572,662,1563,28458,32002,66,32068,3,,0,3
,SWEDEN,4942,34,4976,5,3,8,147,5131,4888,40,4928,0,,0,0
,SWITZERLAND,13876,322,14198,2843,2044,4887,1445,20530,12763,254,13017,3517,,1841,5358
,UNITED KINGDOM,14949,4320,19269,47005,2249,49254,5629,74152,14332,4291,18623,12372,,440,12812
,Total,175092,7085,182177,105829,7998,113827,17328,313332,173284,7430,180714,25905,,2325,28230
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5362,151,5513,12301,10535,22836,354,28703,4900,179,5079,2091,,0,2091
,AUSTRIA,1385,7,1392,0,0,0,38,1430,3021,6,3027,0,,0,0
,CYPRUS,814,2,816,0,0,0,15,831,1106,4,1110,0,,0,0
,DENMARK,2904,15,2919,6,0,6,268,3193,2489,31,2520,0,,0,0
,FINLAND,2088,1,2089,9,0,9,136,2234,1727,1,1728,0,,0,0
,GREECE,498,27,525,159,0,159,5,689,635,24,659,0,,0,0
,IRELAND,10577,174,10751,1640,0,1640,430,12821,11464,58,11522,511,,0,511
,ISRAEL,2594,249,2843,180,0,180,195,3218,2753,196,2949,149,,0,149
,NEW ZEALAND,676,22,698,532,0,532,98,1328,691,22,713,4,,0,4
,NORWAY,1987,285,2272,1,1,2,108,2382,1818,284,2102,0,,0,0
,PORTUGAL,901,37,938,45,0,45,128,1111,719,40,759,18,,0,18
,SLOVAKIA,161,1,162,200,0,200,8,370,269,1,270,61,,0,61
,SPAIN,13654,310,13964,1203,0,1203,1046,16213,12031,272,12303,167,,0,167
,OTHER NON G-10 DEV.,230,190,420,0,0,0,17,437,367,78,445,0,,0,0
,Total,43831,1471,45302,16276,10536,26812,2846,74960,43990,1196,45186,3001,,0,3001
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,17,2,19,45,0,45,2,66,30,3,33,34,,0,34
