,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2018
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,24068,1015,16961,5940,31023,1310,2620,32337
,CANADA,89217,12131,62863,45871,147219,10105,16953,154066
,FRANCE,147572,227,120243,14641,162440,3457,15906,174877
,GERMANY,129904,829,98319,140177,270910,10404,62756,323250
,ITALY,45985,567,26572,5360,51912,936,2332,53304
,JAPAN,103995,56039,132508,232931,392965,4626,40924,429254
,LUXEMBOURG,69127,2865,43571,13082,85074,17422,3620,71269
,NETHERLANDS,69839,946,36058,9914,80699,13322,10859,78231
,SWEDEN,26630,27,20057,1049,27706,2184,3534,29050
,SWITZERLAND,29767,5903,30746,22704,58374,3580,24971,79764
,UNITED KINGDOM,163857,127584,231628,271265,562706,72850,31608,521458
,Total,899961,208133,819526,762934,1871028,140196,216083,1946860
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,30200,3423,21166,65926,99549,8449,4382,95479
,AUSTRIA,12530,0,7132,78,12608,2015,595,11188
,CYPRUS,2750,0,1538,0,2750,550,179,2379
,DENMARK,9331,7,8037,240,9578,851,2395,11121
,FINLAND,13132,19,8153,168,13319,151,523,13694
,GREECE,11191,0,9363,205,11396,275,281,11400
,IRELAND,85150,1436,60238,9199,95785,15606,4028,84208
,ISRAEL,4746,348,3157,1453,6547,703,798,6639
,NEW ZEALAND,3387,27,2172,1832,5246,1104,218,4360
,NORWAY,16959,22,13204,187,17168,1451,1579,17295
,PORTUGAL,5272,18,2993,107,5397,458,198,5135
,SLOVAKIA,493,69,481,251,813,56,12,770
,SPAIN,37691,271,19752,2328,40290,890,3202,42606
,OTHER NON G-10 DEV.,13806,0,2957,1,13807,327,482,13958
,Total,246638,5640,160343,81975,334253,32886,18872,320232
,,,,,,,,,
,Eastern Europe,,,,,,,,
