,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2018
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,0,42,42,52,197,,303,101,1,34,0,0,,34
,CANADA,1533,4377,5910,4129,12441,,11611,2583,294,6783,377,2747,,6044
,FRANCE,6,363,369,410,2096,,1632,558,52,845,0,695,,837
,GERMANY,0,492,492,612,998,,3708,756,16,31294,0,178,,31145
,ITALY,0,157,157,866,1445,,12,155,5,3,0,3,,0
,JAPAN,9,2936,2945,2988,78,,5477,4404,53,12486,54,364,,12480
,LUXEMBOURG,1786,1713,3499,2266,4820,,400,208,46,497,0,104,,396
,NETHERLANDS,75,179,254,3147,1555,,1866,589,103,106,0,91,,15
,SWEDEN,0,18,18,664,296,,2479,154,47,227,0,133,,94
,SWITZERLAND,1,28,29,689,306,,492,1006,88,2122,0,32,,2094
,UNITED KINGDOM,34838,23015,57853,22578,-4552,,7202,3350,127,28833,100,3846,,26563
,Total,38248,33320,71568,38401,19680,,35182,13864,832,83230,531,8193,,79702
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5153,3603,8756,8778,-404,,4276,821,116,149,0,71,,86
,AUSTRIA,0,34,34,34,38,,259,4,0,0,0,0,,0
,CYPRUS,0,0,0,10,0,,0,0,0,37,0,37,,0
,DENMARK,0,1,1,210,19,,220,33,26,209,0,6,,203
,FINLAND,0,13,13,801,78,,656,19,9,52,0,0,,52
,GREECE,0,0,0,0,1,,0,3,0,0,0,0,,0
,IRELAND,3,294,297,9497,5864,,152,1297,8,1884,0,243,,1706
,ISRAEL,0,0,0,18,0,,232,74,18,169,0,169,,0
,NEW ZEALAND,1,26,27,509,260,,169,39,6,6,0,5,,3
,NORWAY,0,296,296,1711,-165,,1205,53,15,296,0,24,,294
,PORTUGAL,0,0,0,3,0,,0,12,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,0,122,122,141,325,,22,154,20,32,0,32,,0
,OTHER NON G-10 DEV.,1,0,1,1,0,,13,23,0,0,0,0,,0
,Total,5158,4389,9547,21713,6016,,7204,2532,218,2834,0,587,,2344
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,0,0,0,0,2,,0,0,0,0,0,0,,0
,HUNGARY,0,4,4,5,15,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
