,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2018
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,27267,9276,36543,19729,-12431,,2837,6528,1348,1442,0,532,,1442
,CANADA,6640,31155,37795,43183,28326,,19751,20574,3043,28779,350,11315,,28089
,FRANCE,532,5773,6305,53949,10220,,13139,42451,5447,86833,672,44684,,86830
,GERMANY,19838,63392,83230,114027,68019,,26283,43279,8649,59941,302,14524,,59704
,ITALY,93,3921,4014,41458,1949,,3027,28282,7283,9613,11,2219,,9610
,JAPAN,4677,59830,64507,78905,229343,,12515,95638,18627,165210,2,86755,,165207
,LUXEMBOURG,25967,11977,37944,75375,-19989,,2350,10944,713,14058,10,773,,13897
,NETHERLANDS,27028,8262,35290,61769,-25285,,8871,18936,1427,3598,0,685,,3505
,SWEDEN,816,1276,2092,13591,-1734,,3521,5143,245,4743,1,2958,,4620
,SWITZERLAND,8221,1867,10088,34437,21179,,2269,7192,353,5639,1,276,,5621
,UNITED KINGDOM,1084030,229150,1313180,271028,194966,,29497,75346,10482,137345,627,60837,,135403
,Total,1205109,425879,1630988,807451,494563,,124060,354313,57617,517201,1976,225558,,513928
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,8594,50979,59573,69966,18000,,13684,29934,2105,5985,15,3542,,5937
,AUSTRIA,4,101,105,6524,-34,,2790,3780,660,542,0,130,,542
,CYPRUS,0,0,0,1922,-1,,0,884,3,398,0,154,,361
,DENMARK,1971,1513,3484,9833,-3000,,334,3353,118,3387,1,1033,,3381
,FINLAND,595,898,1493,6154,-1174,,2992,4285,607,1193,0,238,,1193
,GREECE,29,1903,1932,3078,-1747,,0,2305,27,7645,2,7158,,7645
,IRELAND,10594,6637,17231,96072,20882,,5587,14889,541,29822,65,2558,,29611
,ISRAEL,842,1424,2266,4594,-706,,560,2335,178,398,0,398,,188
,NEW ZEALAND,14,860,874,2925,1171,,287,752,38,538,0,134,,538
,NORWAY,187,1022,1209,7242,-976,,1740,2959,294,3917,2,1097,,3916
,PORTUGAL,10,294,304,3595,-178,,56,2995,1156,1964,23,679,,1964
,SLOVAKIA,112,389,501,825,-216,,47,98,15,207,0,199,,207
,SPAIN,221,2687,2908,19198,607,,2792,18675,3342,3729,19,2178,,3697
,OTHER NON G-10 DEV.,4,0,4,5577,1,,13,698,4,1809,0,1327,,1809
,Total,23177,68707,91884,237505,32629,,30882,87942,9088,61534,127,20825,,60989
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,201,249,450,1116,-180,,41,24,3,0,0,0,,0
,CZECH REPUBLIC,1195,1670,2865,2604,336,,0,1022,52,1347,0,1347,,1347
,HUNGARY,847,1180,2027,2993,156,,766,793,130,206,2,201,,206
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,2295,7210,9505,10208,2171,,4086,2262,441,286,0,286,,286
,ROMANIA,339,1397,1736,1634,-249,,605,377,124,62,0,62,,62
,RUSSIA,2275,4851,7126,11760,629,,727,3245,451,1657,0,1259,,1657
,TURKEY,705,909,1614,3542,1154,,217,3715,515,2530,0,2431,,2530
,OTHER E. EUROPE,213,471,684,2049,-117,,95,899,180,349,0,217,,349
,Total,8070,17937,26007,35906,3900,,6537,12337,1896,6437,2,5803,,6437
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,399,0,,0,0,0,160,0,45,,160
,ARGENTINA,932,1671,2603,2216,1433,,259,2274,148,1157,0,1142,,1157
,BRAZIL,382,12676,13058,14717,18755,,3340,26897,1358,13732,0,12630,,13732
,CHILE,3,44,47,664,3050,,454,1435,170,132,0,33,,132
,COLOMBIA,11,2088,2099,2212,754,,722,696,92,271,0,271,,271
,COSTA RICA,219,241,460,578,371,,207,189,8,34,0,34,,34
