,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2018
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,4171,27,4198,261,94,355,305,4858,3376,33,3409,128,,0,128
,CANADA,22517,2715,25232,22939,8382,31321,2882,59435,21391,2446,23837,8242,,22,8264
,FRANCE,22471,733,23204,4885,1690,6575,913,30692,21306,740,22046,39,,6,45
,GERMANY,33439,634,34073,896,563,1459,2825,38357,28282,1454,29736,10,,10,20
,ITALY,9039,267,9306,2607,1378,3985,658,13949,7590,258,7848,313,,35,348
,JAPAN,24921,365,25286,27430,1926,29356,648,55290,21833,321,22154,2687,,0,2687
,LUXEMBOURG,12440,240,12680,215,0,215,1331,14226,16631,25,16656,142,,0,142
,NETHERLANDS,23849,74,23923,2745,498,3243,1458,28624,28455,61,28516,1020,,0,1020
,SWEDEN,4929,53,4982,53,166,219,261,5462,4695,57,4752,1,,0,1
,SWITZERLAND,11759,501,12260,808,2280,3088,777,16125,10138,421,10559,599,,1790,2389
,UNITED KINGDOM,21656,3818,25474,54785,9694,64479,5609,95562,20814,3397,24211,16944,,725,17669
,Total,191191,9427,200618,117624,26671,144295,17667,362580,184511,9213,193724,30125,,2588,32713
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6302,248,6550,14245,12182,26427,304,33281,6071,259,6330,1735,,0,1735
,AUSTRIA,2260,21,2281,34,35,69,121,2471,3860,19,3879,0,,0,0
,CYPRUS,662,10,672,0,0,0,14,686,695,11,706,0,,0,0
,DENMARK,2751,11,2762,25,0,25,282,3069,2634,29,2663,2,,0,2
,FINLAND,1840,3,1843,31,65,96,139,2078,1559,2,1561,0,,0,0
,GREECE,527,24,551,110,0,110,14,675,577,22,599,0,,0,0
,IRELAND,12544,235,12779,1492,0,1492,267,14538,13923,108,14031,816,,0,816
,ISRAEL,3372,123,3495,141,0,141,266,3902,3214,146,3360,106,,0,106
,NEW ZEALAND,748,36,784,516,127,643,142,1569,922,37,959,21,,0,21
,NORWAY,2856,24,2880,58,1,59,146,3085,2665,22,2687,0,,0,0
,PORTUGAL,792,53,845,48,0,48,186,1079,816,55,871,18,,0,18
,SLOVAKIA,167,2,169,190,0,190,29,388,214,1,215,47,,0,47
,SPAIN,13199,595,13794,892,128,1020,696,15510,12253,592,12845,49,,0,49
,OTHER NON G-10 DEV.,297,202,499,0,0,0,10,509,330,90,420,0,,0,0
,Total,48317,1587,49904,17782,12538,30320,2616,82840,49733,1393,51126,2794,,0,2794
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,16,1,17,111,0,111,1,129,37,17,54,106,,0,106
,CZECH REPUBLIC,301,11,312,868,0,868,67,1247,348,10,358,527,,0,527
,HUNGARY,132,11,143,430,0,430,22,595,199,10,209,194,,0,194
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,828,7,835,2890,1889,4779,88,5702,859,7,866,707,,0,707
,ROMANIA,70,3,73,453,0,453,1,527,144,3,147,215,,0,215
,RUSSIA,3124,52,3176,1231,775,2006,72,5254,2894,51,2945,460,,0,460
,TURKEY,3181,97,3278,886,0,886,74,4238,2660,92,2752,424,,0,424
,OTHER E. EUROPE,438,13,451,157,2,159,8,618,668,8,676,10,,0,10
,Total,8090,195,8285,7026,2666,9692,333,18310,7809,198,8007,2643,,0,2643
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,43,0,43,0,0,0,0,43,47,0,47,0,,0,0
,ARGENTINA,1753,342,2095,1303,258,1561,46,3702,2115,489,2604,522,,37,559
,BRAZIL,16636,1459,18095,7063,79,7142,1469,26706,14066,1593,15659,979,,0,979
,CHILE,2047,117,2164,60,0,60,198,2422,2242,156,2398,13,,0,13
,COLOMBIA,1587,226,1813,711,6,717,74,2604,1703,215,1918,30,,0,30
,COSTA RICA,224,17,241,25,2,27,17,285,317,35,352,12,,0,12
,DOMINICAN REPUBLIC,217,69,286,123,1,124,2,412,414,143,557,99,,0,99
,ECUADOR,247,146,393,324,2,326,1,720,542,154,696,348,,0,348
,EL SALVADOR,176,32,208,27,0,27,0,235,278,59,337,34,,0,34
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,647,35,682,4,1,5,2,689,575,111,686,3,,0,3
,HONDURAS,56,18,74,16,0,16,2,92,149,42,191,5,,0,5
,MEXICO,9944,2790,12734,17980,18114,36094,596,49424,11774,4197,15971,674,,0,674
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1422,177,1599,423,2,425,74,2098,1309,196,1505,182,,0,182
,URUGUAY,245,67,312,114,9,123,22,457,432,111,543,82,,7,89
,VENEZUELA,160,819,979,3,5,8,0,987,370,1335,1705,2,,0,2
,OTHER LAT. AM. & CAR.,8694,430,9124,324,335,659,166,9949,11701,646,12347,164,,205,369
,Total,44098,6744,50842,28500,18814,47314,2669,100825,48034,9482,57516,3149,,249,3398
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,25465,2886,28351,9950,3086,13036,303,41690,17985,2602,20587,1568,,154,1722
