,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2018
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1602,0,909,184,1786,412,321,1695
,CANADA,29483,3944,15580,15304,48731,3845,7053,51934
,FRANCE,5102,0,2250,1644,6746,704,3704,9744
,GERMANY,9409,2,4023,1083,10494,1219,41117,50390
,ITALY,242,15,212,1592,1849,41,186,1993
,JAPAN,25714,2,23843,3350,29066,695,13388,41759
,LUXEMBOURG,7387,23,5241,7690,15100,4191,1025,11932
,NETHERLANDS,5567,943,1278,348,6858,1753,1733,6834
,SWEDEN,2873,1,749,228,3102,172,1802,4732
,SWITZERLAND,3270,0,2634,232,3502,189,45451,48759
,UNITED KINGDOM,99327,7158,90782,22348,128833,29934,7688,106491
,Total,189976,12088,147501,54003,256067,43155,123468,336263
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,5671,19,2354,7355,13045,965,268,12348
,AUSTRIA,750,0,204,74,824,22,12,814
,CYPRUS,3,0,3,0,3,0,59,62
,DENMARK,631,0,380,20,651,34,32,649
,FINLAND,913,0,326,104,1017,27,96,1086
,GREECE,51,0,25,0,51,25,32,58
,IRELAND,10351,41,3445,5901,16293,6358,953,10888
,ISRAEL,795,0,342,0,795,82,565,1279
,NEW ZEALAND,492,0,99,319,811,191,19,638
,NORWAY,2007,0,556,36,2043,147,1009,2906
,PORTUGAL,333,0,166,0,333,148,4,173
,SLOVAKIA,9,0,9,0,9,6,5,8
,SPAIN,955,0,504,474,1429,172,531,1788
,OTHER NON G-10 DEV.,146,0,73,0,146,74,74,146
,Total,23107,60,8486,14283,37450,8251,3659,32843
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,13,0,12,0,13,11,3,5
,CZECH REPUBLIC,135,0,135,0,135,17,10,128
,HUNGARY,75,0,70,14,89,36,11,64
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,166,0,96,104,270,25,98,342
,ROMANIA,74,0,73,0,74,65,1,10
,RUSSIA,165,0,147,38,203,1,30,232
,TURKEY,201,0,142,0,201,14,10,195
,OTHER E. EUROPE,129,0,125,0,129,99,44,74
,Total,958,0,800,156,1114,268,207,1050
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,39,0,39,0,39,12,56,83
,ARGENTINA,1499,364,1303,448,2311,324,201,2182
,BRAZIL,4489,37,3147,432,4958,708,2084,6320
,CHILE,1201,2,528,56,1259,251,56,1062
,COLOMBIA,1078,0,629,6,1084,254,119,946
,COSTA RICA,190,0,137,3,193,76,35,152
,DOMINICAN REPUBLIC,373,0,168,1,374,129,6,246
,ECUADOR,391,0,132,26,417,200,60,274
