,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2018
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,19927,5979,707,5272,2021,27927,,6270,306,17324,19172,9218,,11065,104
,CANADA,57504,38980,7630,31350,16748,113232,,39364,9640,28711,24971,17214,,13473,314
,FRANCE,157630,11975,205,11770,12508,182113,,106632,3769,212815,217719,102695,,107599,550
,GERMANY,151684,142177,201,141976,21879,315740,,38652,3606,177230,183390,87580,,93737,1169
,ITALY,49940,4128,688,3440,17318,71386,,8546,736,211049,218999,55361,,63311,121
,JAPAN,102863,292074,51715,240359,8501,403438,,76378,4627,102274,105419,44731,,47877,248
,LUXEMBOURG,48656,7790,2158,5632,5860,62306,,19251,2680,33682,34757,15476,,16550,861
,NETHERLANDS,53246,11584,232,11352,10447,75277,,26565,3646,112451,116962,56027,,60538,446
,SWEDEN,18736,113,23,90,1746,20595,,5731,282,30797,32161,16786,,18150,81
,SWITZERLAND,27611,26654,5571,21083,5221,59486,,14170,3301,63182,63776,34083,,34677,1063
,UNITED KINGDOM,63442,333764,105539,228225,50097,447303,,129544,8434,274395,279763,137424,,142882,996
,Total,751239,875218,174669,700549,152346,1778803,,471103,41027,1263910,1297089,576595,,609859,5953
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,20394,60153,1650,58503,4423,84970,,21704,1974,44124,43277,21834,,20989,223
,AUSTRIA,8239,0,0,0,485,8724,,1790,67,9239,9750,4332,,4842,90
,CYPRUS,2219,0,0,0,17,2236,,378,63,139,140,82,,83,32
,DENMARK,10633,453,8,445,1944,13030,,4934,70,15023,15631,8469,,9078,76
,FINLAND,10164,134,7,127,667,10965,,1791,231,13804,14189,7148,,7531,70
,GREECE,10504,186,0,186,773,11463,,540,357,3019,2966,1848,,1795,7
,IRELAND,66220,6138,1451,4687,3886,76244,,12599,1253,12219,13989,6953,,7775,30
,ISRAEL,3429,1440,145,1295,700,5569,,1097,289,2626,2592,1374,,1341,116
,NEW ZEALAND,2090,1499,22,1477,715,4304,,575,102,1693,1516,1161,,985,3
,NORWAY,10959,108,1,107,747,11814,,3087,135,10167,10887,5510,,6230,33
,PORTUGAL,5607,56,18,38,271,5934,,549,76,13964,13729,6128,,5892,66
,SLOVAKIA,469,250,47,203,58,777,,49,32,680,652,270,,242,0
,SPAIN,39415,2216,309,1907,2830,44461,,8146,1713,70430,73335,29553,,32458,416
,OTHER NON G-10 DEV.,13859,0,0,0,242,14101,,566,6,375,566,224,,414,0
,Total,204201,72633,3658,68975,17758,294592,,57805,6368,197502,203219,94886,,99655,1162
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,39,228,79,149,2,269,,11,73,381,327,215,,160,0
,CZECH REPUBLIC,1415,2904,463,2441,158,4477,,294,283,425,511,209,,296,6
,HUNGARY,721,1882,220,1662,120,2723,,759,130,2189,2109,911,,831,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,2636,10404,1499,8905,186,13226,,3935,580,1831,1882,765,,815,75
,ROMANIA,408,1432,489,943,15,1855,,87,132,585,511,351,,277,0
,RUSSIA,5466,6947,903,6044,128,12541,,1918,304,32611,32444,13185,,13018,140
,TURKEY,14015,2093,869,1224,812,16920,,772,176,32056,30195,13029,,10936,2625
,OTHER E. EUROPE,1685,519,4,515,41,2245,,107,47,3586,3634,1960,,2011,95
,Total,26385,26409,4526,21883,1462,54256,,7883,1725,73664,71613,30625,,28344,2941
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,226,0,0,0,3,229,,69,17,0,0,0,,0,0
,ARGENTINA,4573,2557,645,1912,38,7168,,122,59,8293,8030,5133,,4871,381
,BRAZIL,40539,31282,680,30602,2642,74463,,8348,1827,32906,34858,13412,,15362,5473
,CHILE,7885,2905,171,2734,1183,11973,,569,139,5150,5899,2527,,3277,2437
,COLOMBIA,3429,2535,176,2359,263,6227,,194,492,8645,9604,3954,,4914,642
,COSTA RICA,565,608,316,292,46,1219,,40,81,6,3,6,,3,207
,DOMINICAN REPUBLIC,675,510,112,398,2,1187,,36,149,7,6,7,,6,200
,ECUADOR,851,592,316,276,54,1497,,70,263,70,541,70,,541,177
,EL SALVADOR,351,187,187,0,2,540,,16,9,11,31,6,,26,143
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1609,318,82,236,2,1929,,20,125,0,20,0,,20,777
,HONDURAS,352,119,44,75,2,473,,24,35,93,0,93,,0,137
,MEXICO,15282,68431,1687,66744,2005,85718,,23932,1787,30253,32286,14096,,16130,996
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,3151,1668,718,950,126,4945,,122,379,4609,5183,2635,,3209,471
,URUGUAY,767,606,168,438,129,1502,,63,106,100,153,100,,153,102
,VENEZUELA,456,12,2,10,2,470,,22,12,375,406,324,,354,0
,OTHER LAT. AM. & CAR.,29775,1012,260,752,619,31406,,1360,463,296,471,222,,397,597
,Total,110486,113342,5564,107778,7118,230946,,35007,5943,90814,97491,42585,,49263,12740
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,57997,34900,5213,29687,3431,96328,,6254,1247,46583,44737,24314,,22464,5693
,INDIA,32975,35240,3456,31784,1106,69321,,9166,2432,6433,6361,3844,,3771,8249
,INDONESIA,5586,7537,2916,4621,177,13300,,2520,185,11639,11593,4949,,4901,590
,"KOREA, SOUTH",38698,45443,4562,40881,3707,87848,,14852,3394,44306,42882,22685,,19570,4454
,KUWAIT,10481,243,12,231,59,10783,,170,496,60,50,60,,50,411
,MALAYSIA,3910,11856,1783,10073,297,16063,,5101,981,14024,12733,8162,,6870,343
,PAKISTAN,216,776,53,723,25,1017,,159,28,21,28,21,,28,90
,PHILIPPINES,1849,5192,1691,3501,86,7127,,3005,251,7235,7389,3333,,3488,248
,QATAR,11089,432,400,32,626,12147,,141,155,3433,4329,1784,,2678,621
,SAUDI ARABIA,15481,2145,566,1579,449,18075,,2115,262,3878,3958,2465,,2544,452
,TAIWAN,25265,23092,5058,18034,1818,50175,,13343,386,142,115,122,,95,71
,THAILAND,2731,8130,112,8018,590,11451,,5197,179,3524,3456,1858,,1792,192
,UNITED ARAB EMIRATES,9730,6577,3015,3562,477,16784,,4160,920,2793,4189,1791,,3186,684
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,20,0,0,0,,0,2
,OTHER ASIA AND PACIFIC,6159,4009,1644,2365,140,10308,,1355,555,2426,2079,1351,,1005,921
,Total,222167,185572,30481,155091,12988,420727,,67538,11491,146497,143899,76739,,72442,23021
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,2,1146,139,1007,0,1148,,215,166,0,0,0,,0,48
,EGYPT,6155,1029,46,983,0,7184,,105,20,368,547,335,,515,130
,GHANA,375,0,0,0,18,393,,136,31,31,74,31,,74,60
,KENYA,314,700,171,529,1,1015,,60,136,50,15,50,,15,48
,MOROCCO,519,376,55,321,10,905,,213,42,78,77,67,,66,353
,NIGERIA,7174,1408,125,1283,97,8679,,306,97,91,202,91,,202,444
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,8891,7399,253,7146,680,16970,,2787,276,19283,19465,7921,,8102,178
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,2582,1318,229,1089,120,4020,,737,223,1840,2046,750,,955,164
,Total,26012,13376,1018,12358,926,40314,,4559,991,21741,22426,9245,,9929,1425
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,9688,235,90,145,132,10055,,806,55,10,0,10,,0,42
,BAHRAIN,776,457,69,388,12,1245,,134,81,309,408,192,,293,11
,BERMUDA,17981,79,52,27,595,18655,,7846,4096,2797,2920,1271,,1395,277
,CAYMAN ISLANDS,360255,761,441,320,11559,372575,,55894,3464,11846,9944,8526,,6626,435
,HONG KONG,28976,41148,10034,31114,7864,77988,,14940,915,6944,7302,4391,,4739,1188
,LEBANON,1389,166,124,42,32,1587,,110,116,1621,2173,1071,,1623,617
,MAURITIUS,1877,612,342,270,220,2709,,289,106,10,11,10,,11,224
,PANAMA,2789,755,741,14,139,3683,,741,377,3689,4234,1894,,2439,337
,SINGAPORE,39697,41091,13239,27852,1682,82470,,12571,1168,5242,5292,3342,,3386,1586
,OTHER BANKING CENTERS,20280,2133,1594,539,2268,24681,,7067,1623,4963,6469,1829,,3337,923
,Total,483708,87437,26726,60711,24503,595648,,100398,12001,37431,38753,22536,,23849,5640
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,446,0,0,0,383,829,,28,0,0,0,0,,0,31
,ASIAN,2239,0,0,0,1085,3324,,57,0,0,0,0,,0,343
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,12143,0,0,0,1644,13787,,3,103,165,245,165,,245,2
,INTERNATIONAL,5200,0,0,0,3361,8561,,380,490,0,0,0,,0,238
,LATIN AMERICAN,1542,0,0,0,901,2443,,12,3,0,0,0,,0,4
,MIDDLE EASTERN,20,0,0,0,0,20,,0,0,0,0,0,,0,0
,Total,21590,0,0,0,7374,28964,,480,596,165,245,165,,245,618
,,,,,,,,,,,,,,,,
,UNITED STATES,153376,7178365,35923,7142442,107663,7439404,,3273382,376860,735454,799517,407146,,470851,8346
,,,,,,,,,,,,,,,,
,Grand Total,1999164,8552352,282565,8269787,332138,10883654,,4018155,457002,2567178,2674252,1260522,,1364437,61846
