,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2018
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,19861,771,13334,4368,25000,1467,3111,26642
,CANADA,82702,12321,56816,48823,143846,9232,14357,148945
,FRANCE,158502,293,131058,15256,174051,3618,15871,186300
,GERMANY,124968,240,79359,144316,269524,8987,63225,323755
,ITALY,44184,876,27954,4436,49496,309,2311,51498
,JAPAN,125819,52126,146459,282497,460442,6623,39280,493086
,LUXEMBOURG,70638,2931,46751,14108,87677,18908,4048,72814
,NETHERLANDS,60372,969,29777,12296,73637,12894,10791,71529
,SWEDEN,21455,11,15239,295,21761,1667,3403,23495
,SWITZERLAND,26014,5953,26339,24264,56231,3137,47282,100373
,UNITED KINGDOM,172244,121504,235083,261917,555665,70828,27341,512172
,Total,906759,197995,808169,812576,1917330,137670,231020,2010609
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,25625,3014,17414,68466,97105,7314,3770,93562
,AUSTRIA,10473,0,3806,82,10555,1416,714,9853
,CYPRUS,3279,0,1500,0,3279,483,309,3105
,DENMARK,8950,5,7604,414,9369,603,1741,10509
,FINLAND,12000,0,6188,143,12143,544,989,12590
,GREECE,9231,0,8539,251,9482,292,230,9420
,IRELAND,84337,2047,59744,8513,94897,14485,3201,83611
,ISRAEL,5991,137,3711,1568,7696,876,848,7665
,NEW ZEALAND,3257,93,2206,1737,5087,1124,69,4029
,NORWAY,16003,39,12859,155,16197,1104,1823,16912
,PORTUGAL,5733,18,4032,108,5859,249,220,5828
,SLOVAKIA,413,42,283,196,651,64,13,600
,SPAIN,35300,285,18314,2007,37592,1764,3281,39105
,OTHER NON G-10 DEV.,17796,0,1486,0,17796,242,561,18115
,Total,238388,5680,147686,83640,327708,30560,17769,314904
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,96,72,99,128,296,51,3,247
,CZECH REPUBLIC,1520,587,1437,2885,4992,256,17,4754
,HUNGARY,729,239,649,1273,2241,192,69,2117
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,2598,2508,2195,8870,13976,522,284,13737
,ROMANIA,374,412,654,968,1754,108,2,1648
,RUSSIA,3969,856,3666,5765,10590,769,750,10576
,TURKEY,11127,1016,8082,1477,13620,957,970,13629
,OTHER E. EUROPE,1886,20,1261,518,2424,454,76,2046
,Total,22299,5710,18043,21884,49893,3309,2171,48754
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,932,0,931,0,932,45,61,949
,ARGENTINA,6078,743,4539,2114,8935,1235,290,7982
,BRAZIL,35751,1129,23744,33811,70691,5119,13952,79515
,CHILE,8837,27,6548,2634,11498,417,231,11309
,COLOMBIA,5373,35,3668,3333,8741,1202,695,8228
,COSTA RICA,883,312,883,302,1497,192,63,1369
,DOMINICAN REPUBLIC,1323,54,880,375,1752,479,50,1320
,ECUADOR,2777,622,892,26,3425,479,87,3028
,EL SALVADOR,584,223,638,0,807,171,49,683
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,1786,151,1646,183,2120,340,230,2009
,HONDURAS,495,40,334,83,618,166,21,473
,MEXICO,24482,8128,18593,65675,98285,9327,3510,92469
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3341,773,2221,1154,5268,570,669,5368
,URUGUAY,946,264,622,286,1496,304,64,1254
,VENEZUELA,3424,2,1837,8,3434,2594,236,1072
,OTHER LAT. AM. & CAR.,44931,586,31814,913,46430,15494,1088,32028
,Total,141944,13089,99791,110897,265930,38135,21296,249056
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,48727,6070,47131,33639,88436,5238,15237,98429
,INDIA,27304,3193,24344,35294,65791,4065,5121,66844
,INDONESIA,6149,3469,6778,4087,13705,2081,1164,12786
,"KOREA, SOUTH",31544,4072,32713,44590,80206,1710,5570,84066
,KUWAIT,12423,12,12129,303,12738,202,322,12860
,MALAYSIA,2685,2211,4224,10832,15728,976,549,15297
,PAKISTAN,228,48,250,915,1191,163,81,1110
,PHILIPPINES,1783,1529,2599,3701,7013,528,470,6951
,QATAR,9191,0,3146,63,9254,274,1935,10916
,SAUDI ARABIA,18388,394,12166,1689,20471,1408,1914,20976
,TAIWAN,24593,5070,28903,19305,48968,473,1431,49922
,THAILAND,3401,329,3312,8103,11833,562,223,11495
,UNITED ARAB EMIRATES,9984,3380,7405,3313,16677,1309,1433,16799
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,9803,2266,6931,2282,14351,3468,1176,12062
,Total,206203,32043,192031,168116,406362,22457,36626,420513
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,49,159,66,1212,1420,251,0,1169
,EGYPT,4341,40,3885,1026,5407,452,74,5029
,GHANA,833,0,513,0,833,494,53,391
,KENYA,347,177,355,527,1051,66,3,988
,MOROCCO,416,30,419,348,794,63,3,735
,NIGERIA,7232,152,6657,1353,8737,637,155,8255
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,7031,214,3769,7486,14731,605,1313,15440
,SOUTH SUDAN,1,0,1,0,1,0,0,1
,OTHER AFRICA,4413,289,3067,1125,5827,2130,289,3988
,Total,24663,1061,18732,13077,38801,4698,1890,35996
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,11939,59,9583,87,12085,4316,233,8001
,BAHRAIN,1528,210,1212,197,1935,704,4,1236
,BERMUDA,22901,74,15182,33,23008,4989,3383,21403
,CAYMAN ISLANDS,463793,859,332284,14,464666,68961,10472,406172
,HONG KONG,34150,14527,34201,33600,82277,12974,8310,77613
,LEBANON,1772,112,1124,45,1929,246,12,1695
,MAURITIUS,3163,326,1732,281,3770,1054,62,2777
,PANAMA,5830,920,3838,13,6763,2401,395,4755
,SINGAPORE,44424,16139,54803,28051,88614,7631,3420,84404
