,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2018
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,0,36,36,44,159,,282,69,1,31,0,0,,31
,CANADA,1527,4234,5761,10374,12567,,10029,2890,190,6783,806,2986,,6006
,FRANCE,0,335,335,428,2049,,1653,816,97,1333,0,965,,1330
,GERMANY,0,539,539,652,748,,3473,571,31,34801,0,585,,34624
,ITALY,0,131,131,663,1401,,16,95,12,3,0,3,,0
,JAPAN,12,3072,3084,3128,71,,6940,5001,56,11500,0,797,,11492
,LUXEMBOURG,7339,1517,8856,1777,1492,,510,273,49,756,0,156,,601
,NETHERLANDS,68,177,245,3218,1527,,1909,709,58,110,0,97,,13
,SWEDEN,0,17,17,675,200,,2073,135,20,136,0,124,,12
,SWITZERLAND,3,35,38,760,287,,333,808,64,247,0,33,,217
,UNITED KINGDOM,35921,22544,58465,22673,-9135,,7016,2049,230,38459,77,3104,,36256
,Total,44870,32637,77507,44392,11366,,34234,13416,808,94159,883,8850,,90582
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4595,3784,8379,8391,-72,,3908,306,52,70,0,57,,15
,AUSTRIA,0,38,38,38,35,,292,17,0,0,0,0,,0
,CYPRUS,0,0,0,9,0,,0,0,0,37,0,37,,0
,DENMARK,0,2,2,244,18,,317,26,2,25,0,18,,7
,FINLAND,0,13,13,335,78,,647,43,7,3,0,0,,3
,GREECE,0,0,0,0,1,,0,20,0,0,0,0,,0
,IRELAND,10,302,312,8502,5141,,120,371,8,1606,0,285,,1377
,ISRAEL,0,0,0,17,0,,205,87,0,276,0,276,,0
,NEW ZEALAND,2,27,29,545,252,,158,35,0,1,0,1,,0
,NORWAY,0,156,156,1259,-26,,1291,50,30,126,0,6,,124
,PORTUGAL,0,0,0,3,0,,0,11,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,0,132,132,168,315,,83,74,43,173,0,47,,126
,OTHER NON G-10 DEV.,4,0,4,2,0,,13,21,0,20,0,0,,20
,Total,4611,4454,9065,19513,5742,,7034,1061,142,2337,0,727,,1672
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,0,0,0,1,1,,0,0,0,0,0,0,,0
,HUNGARY,0,1,1,2,22,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,166,166,167,80,,2,1,0,0,0,0,,0
,ROMANIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,RUSSIA,0,9,9,9,44,,0,3,2,0,0,0,,0
,TURKEY,0,0,0,14,0,,13,1,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,0,0,,0,11,0,2,0,0,,2
,Total,0,176,176,193,147,,15,16,2,2,0,0,,2
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,,0,0,0,26,0,0,,26
,ARGENTINA,342,257,599,599,505,,0,19,5,0,0,0,,0
,BRAZIL,0,411,411,411,12,,49,1183,0,2,0,2,,0
,CHILE,0,6,6,6,83,,68,61,0,0,0,0,,0
,COLOMBIA,0,0,0,1,5,,0,4,0,0,0,0,,0
,COSTA RICA,0,0,0,0,2,,0,0,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,0,1,,0,1,0,0,0,0,,0
,ECUADOR,0,0,0,0,3,,0,7,5,0,0,0,,0
,EL SALVADOR,0,0,0,0,0,,0,0,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,0,0,0,0,1,,0,0,0,0,0,0,,0
,HONDURAS,0,0,0,0,0,,0,0,0,0,0,0,,0
,MEXICO,46,676,722,723,3173,,272,343,12,1228,0,57,,1226
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,0,0,0,0,9,,6,14,0,0,0,0,,0
,URUGUAY,2,0,2,1,7,,3,11,0,7,0,7,,0
,VENEZUELA,0,0,0,0,5,,0,4,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,386,232,618,1093,-135,,5,54,1,7,0,7,,0
,Total,776,1582,2358,2834,3671,,403,1701,23,1270,0,73,,1252
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,484,927,1411,1741,130,,23,288,2,2710,0,33,,2677
,INDIA,1,411,412,410,1097,,318,8,2,35,0,35,,0
,INDONESIA,6,2,8,3,-3,,0,1,0,0,0,0,,0
,"KOREA, SOUTH",0,2,2,11,5,,3,5,0,750,0,0,,750
,KUWAIT,0,0,0,1386,0,,1,0,0,752,0,0,,752
,MALAYSIA,1,4,5,203,33,,0,2,0,0,0,0,,0
,PAKISTAN,0,0,0,2,0,,8,0,0,0,0,0,,0
,PHILIPPINES,43,30,73,244,71,,74,0,0,0,0,0,,0
,QATAR,0,0,0,0,0,,16,1,0,0,0,0,,0
,SAUDI ARABIA,0,1,1,7361,22,,0,0,0,2584,0,0,,2584
,TAIWAN,3,38,41,122,147,,0,13,0,682,0,0,,682
,THAILAND,0,84,84,87,6,,0,1,0,1,0,0,,1
,UNITED ARAB EMIRATES,0,0,0,178,0,,0,0,0,41,0,35,,6
,WEST BANK AND GAZA,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,0,156,156,128,-141,,47,12,0,9,0,0,,9
,Total,538,1655,2193,11876,1367,,490,331,4,7564,0,103,,7461
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,EGYPT,0,0,0,0,0,,0,1,0,0,0,0,,0
,GHANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,KENYA,0,0,0,0,0,,0,0,0,0,0,0,,0
,MOROCCO,0,0,0,0,0,,0,0,0,0,0,0,,0
,NIGERIA,0,0,0,0,0,,0,1,0,0,0,0,,0
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,0,0,0,13,0,,0,61,0,1,0,1,,0
,SOUTH SUDAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,0,0,0,52,0,,44,39,8,0,0,0,,0
,Total,0,0,0,65,0,,44,102,8,1,0,1,,0
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,4438,0,4438,33,-9066,,65,0,0,170,0,0,,160
,BAHRAIN,0,0,0,0,0,,0,1,0,0,0,0,,0
,BERMUDA,19,5,24,857,1010,,235,416,9,311,0,91,,220
,CAYMAN ISLANDS,31435,9,31444,5579,4824,,839,2639,44,17659,120,3031,,14832
,HONG KONG,1148,601,1749,2134,690,,5,453,0,303,22,35,,268
,LEBANON,0,0,0,0,0,,0,0,0,0,0,0,,0
,MAURITIUS,0,0,0,36,0,,0,1,0,185,0,185,,0
,PANAMA,0,0,0,16,12,,23,5,2,0,0,0,,0
,SINGAPORE,639,498,1137,3069,293,,534,56,0,5541,0,23,,5518
,OTHER BANKING CENTERS,1550,621,2171,2404,7875,,164,141,23,506,0,456,,50
,Total,39229,1734,40963,14128,5638,,1865,3712,78,24675,142,3821,,21048
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,,239,0,0,0,0,0,,0
,ASIAN,0,0,0,8,0,,2504,0,0,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,0,0,,5245,0,0,0,0,0,,0
,INTERNATIONAL,0,0,0,306,0,,3943,0,0,664,0,0,,664
,LATIN AMERICAN,0,0,0,0,0,,3045,25,0,0,0,0,,0
,MIDDLE EASTERN,0,0,0,0,0,,0,0,0,0,0,0,,0
,Total,0,0,0,314,0,,14976,25,0,664,0,0,,664
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,34744,-26836,,1172668,204487,30629,369661,18502,240124,,307598
,,,,,,,,,,,,,,,
,Grand Total,90024,42238,132262,128059,1095,,1231729,224851,31694,500333,19527,253699,,430279
