,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2018
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,20069,4944,770,4174,1559,26572,,5833,295,17841,19779,9056,,10993,106
,CANADA,54566,39970,8027,31943,16540,111076,,37575,10129,26580,22548,14794,,10760,187
,FRANCE,159107,14463,293,14170,11970,185540,,118438,3100,223105,232697,101258,,110851,354
,GERMANY,129789,143511,263,143248,21205,294505,,34119,3202,181926,190706,84784,,93563,740
,ITALY,45915,3739,842,2897,16187,65841,,6761,640,213144,222745,55190,,64788,215
,JAPAN,118169,330331,48518,281813,12472,460972,,82706,4612,97571,99736,42925,,45091,207
,LUXEMBOURG,51171,8985,2798,6187,5472,65628,,17601,2950,34474,36173,15522,,17220,848
,NETHERLANDS,51852,12296,64,12232,9126,73274,,24306,3280,116946,123736,54529,,61319,499
,SWEDEN,19025,67,11,56,1023,20115,,5933,217,31777,32908,16379,,17510,66
,SWITZERLAND,26923,29734,5708,24026,5825,62482,,17641,3343,67976,70123,34513,,36660,1098
,UNITED KINGDOM,62603,338794,101878,236916,43974,445371,,125463,8408,291633,301629,139046,,149097,1689
,Total,739189,926834,169172,757662,145353,1811376,,476376,40176,1302973,1352780,567996,,617852,6009
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,21172,60079,1705,58374,3411,84662,,22250,2422,43539,42721,21914,,21097,258
,AUSTRIA,9180,0,0,0,364,9544,,2242,60,9075,9700,4183,,4809,56
,CYPRUS,3041,0,0,0,17,3058,,45,85,93,93,86,,86,89
,DENMARK,9554,398,6,392,1643,11595,,5164,169,16050,17060,8480,,9492,58
,FINLAND,11644,40,0,40,823,12507,,1571,222,14368,14777,7143,,7553,117
,GREECE,9117,244,0,244,644,10005,,1458,380,3395,3314,2020,,1941,0
,IRELAND,68637,4250,1798,2452,3355,76242,,10931,1306,11656,12328,6492,,7164,37
,ISRAEL,4632,1697,147,1550,397,6726,,1336,337,2341,2388,1201,,1248,119
,NEW ZEALAND,2236,1116,52,1064,467,3819,,495,90,1590,1490,1052,,951,1
,NORWAY,14074,115,39,76,538,14727,,3212,74,10641,11660,5190,,6210,30
,PORTUGAL,5588,68,18,50,343,5999,,530,79,13519,13373,6015,,5869,61
,SLOVAKIA,362,231,43,188,86,679,,49,38,509,526,239,,256,0
,SPAIN,35522,1674,264,1410,2885,40081,,7077,1710,72665,76303,28470,,32108,452
,OTHER NON G-10 DEV.,17899,0,0,0,334,18233,,896,6,377,566,239,,429,0
,Total,212658,69912,4072,65840,15307,297877,,57256,6978,199818,206299,92724,,99213,1278
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,31,182,55,127,3,216,,10,70,288,282,177,,170,0
,CZECH REPUBLIC,1329,3327,534,2793,161,4817,,231,289,381,441,187,,247,20
,HUNGARY,601,1454,220,1234,63,2118,,498,133,1899,1909,873,,883,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,2464,10924,2486,8438,250,13638,,4535,598,1396,1412,658,,674,172
,ROMANIA,262,1349,387,962,13,1624,,82,175,445,394,273,,224,0
,RUSSIA,4064,6267,887,5380,148,10479,,1853,317,33792,34353,12640,,13200,113
,TURKEY,11117,2355,994,1361,1175,14647,,495,165,34199,32657,12893,,11352,2075
,OTHER E. EUROPE,1492,482,5,477,38,2012,,35,56,3421,3420,1971,,1972,15
,Total,21360,26340,5568,20772,1851,49551,,7739,1803,75821,74868,29672,,28722,2395
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,345,0,0,0,2,347,,29,6,0,0,0,,0,0
,ARGENTINA,3807,1974,316,1658,7,5788,,91,48,9891,9724,5642,,5473,375
,BRAZIL,41032,33376,806,32570,1822,76230,,8116,1631,35736,38512,14312,,17088,6438
,CHILE,7878,2606,25,2581,1119,11603,,654,134,5453,6421,2536,,3505,2671
,COLOMBIA,4149,3018,36,2982,172,7339,,508,445,9502,10368,4280,,5143,603
,COSTA RICA,534,597,306,291,51,1182,,55,74,3,2,3,,2,192
,DOMINICAN REPUBLIC,642,419,53,366,1,1062,,35,155,7,3,7,,3,212
,ECUADOR,2195,582,582,0,39,2816,,58,173,274,1502,274,,1502,162
,EL SALVADOR,359,216,216,0,3,578,,26,11,6,22,1,,17,152
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1529,330,150,180,1,1860,,24,126,0,20,0,,20,734
,HONDURAS,309,116,41,75,3,428,,130,36,50,0,50,,0,152
,MEXICO,15799,68412,7249,61163,1993,86204,,24884,1841,33087,32761,15262,,14936,1030
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,3064,1740,736,1004,117,4921,,190,351,5038,5754,2605,,3322,485
,URUGUAY,672,510,232,278,131,1313,,34,113,99,151,99,,151,101
,VENEZUELA,369,4,2,2,1,374,,16,3,360,396,305,,341,0
,OTHER LAT. AM. & CAR.,27572,986,293,693,631,29189,,2039,517,340,461,257,,378,527
,Total,110255,114886,11043,103843,6093,231234,,36889,5664,99846,106097,45633,,51881,13834
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,55121,34647,5354,29293,4094,93862,,5923,1714,46704,45711,23949,,22254,6436
,INDIA,30411,34799,3086,31713,1395,66605,,9378,2362,6354,6297,3811,,3753,9057
,INDONESIA,5477,7176,3344,3832,166,12819,,2566,180,14176,14077,5791,,5692,525
,"KOREA, SOUTH",35277,47777,4102,43675,2390,85444,,15312,3071,45783,43431,22603,,19002,4411
,KUWAIT,11523,306,12,294,61,11890,,269,200,60,50,60,,50,397
,MALAYSIA,2850,12330,1724,10606,275,15455,,6321,887,14336,13787,7567,,7018,125
,PAKISTAN,230,869,46,823,15,1114,,163,25,10,20,10,,20,60
,PHILIPPINES,1852,4906,1455,3451,96,6854,,3239,229,7771,8124,3172,,3525,222
,QATAR,10740,51,0,51,435,11226,,200,149,4010,5007,2137,,3133,578
,SAUDI ARABIA,15638,2059,393,1666,335,18032,,5132,284,4081,4368,2166,,2453,563
,TAIWAN,24284,24143,5286,18857,865,49292,,13263,357,142,115,122,,95,778
