,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2018
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,4554,12,4566,359,18,377,225,5168,3507,22,3529,213,,1,214
,CANADA,12452,497,12949,17986,1041,19027,2428,34404,11708,308,12016,7885,,2,7887
,FRANCE,21700,456,22156,5122,1019,6141,908,29205,20289,455,20744,75,,5,80
,GERMANY,27726,77,27803,486,146,632,2739,31174,22923,898,23821,81,,85,166
,ITALY,8839,235,9074,1314,712,2026,654,11754,7468,240,7708,300,,31,331
,JAPAN,27055,136,27191,39931,80,40011,844,68046,25089,108,25197,1530,,0,1530
,LUXEMBOURG,10085,670,10755,329,57,386,1445,12586,14259,608,14867,204,,8,212
,NETHERLANDS,20009,54,20063,1644,380,2024,1594,23681,24347,83,24430,14,,0,14
,SWEDEN,5229,29,5258,6,0,6,206,5470,4886,33,4919,0,,0,0
,SWITZERLAND,11078,393,11471,709,2452,3161,812,15444,9903,267,10170,718,,1857,2575
,UNITED KINGDOM,14039,3130,17169,49432,2515,51947,5445,74561,13708,2420,16128,13191,,570,13761
,Total,162766,5689,168455,117318,8420,125738,17300,311493,158087,5442,163529,24211,,2559,26770
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5632,170,5802,13652,9605,23257,263,29322,4820,165,4985,1925,,0,1925
,AUSTRIA,2858,15,2873,0,0,0,79,2952,3862,15,3877,0,,0,0
,CYPRUS,608,9,617,0,0,0,14,631,718,10,728,0,,0,0
,DENMARK,2421,6,2427,6,0,6,321,2754,2316,25,2341,1,,0,1
,FINLAND,2252,1,2253,8,0,8,127,2388,1970,1,1971,0,,0,0
,GREECE,461,20,481,172,0,172,11,664,577,24,601,0,,0,0
,IRELAND,11438,162,11600,1966,0,1966,252,13818,12741,47,12788,1246,,0,1246
,ISRAEL,2543,144,2687,138,0,138,126,2951,2804,178,2982,126,,0,126
,NEW ZEALAND,436,19,455,299,0,299,140,894,506,19,525,90,,0,90
,NORWAY,3016,12,3028,1,1,2,181,3211,2855,13,2868,0,,0,0
,PORTUGAL,1097,34,1131,46,0,46,282,1459,984,37,1021,18,,0,18
,SLOVAKIA,158,1,159,172,0,172,71,402,207,1,208,42,,0,42
,SPAIN,10350,368,10718,848,1,849,584,12151,9528,388,9916,261,,0,261
,OTHER NON G-10 DEV.,159,207,366,0,0,0,2,368,246,93,339,0,,0,0
,Total,43429,1168,44597,17308,9607,26915,2453,73965,44134,1016,45150,3709,,0,3709
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,14,0,14,72,0,72,2,88,26,14,40,66,,0,66
,CZECH REPUBLIC,256,10,266,960,0,960,75,1301,289,10,299,582,,0,582
,HUNGARY,126,5,131,395,0,395,20,546,148,5,153,192,,0,192
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,820,2,822,3145,1963,5108,179,6109,757,2,759,1165,,0,1165
,ROMANIA,58,1,59,408,0,408,1,468,80,1,81,200,,0,200
,RUSSIA,2885,30,2915,1217,758,1975,89,4979,2592,33,2625,462,,0,462
,TURKEY,3334,41,3375,756,0,756,139,4270,2968,41,3009,452,,0,452
,OTHER E. EUROPE,311,65,376,172,2,174,6,556,591,29,620,17,,0,17
,Total,7804,154,7958,7125,2723,9848,511,18317,7451,135,7586,3136,,0,3136
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,45,0,45,0,0,0,0,45,47,0,47,0,,0,0
,ARGENTINA,1483,130,1613,681,0,681,6,2300,1957,311,2268,172,,0,172
,BRAZIL,15365,753,16118,6885,66,6951,1191,24260,13866,870,14736,993,,0,993
,CHILE,1400,77,1477,27,0,27,176,1680,1382,105,1487,0,,0,0
,COLOMBIA,1275,28,1303,697,0,697,72,2072,1383,102,1485,1,,0,1
,COSTA RICA,80,6,86,17,1,18,17,121,139,30,169,10,,0,10
,DOMINICAN REPUBLIC,166,22,188,84,0,84,0,272,312,53,365,26,,0,26
,ECUADOR,139,33,172,319,0,319,1,492,301,56,357,359,,0,359
,EL SALVADOR,143,12,155,29,0,29,0,184,189,38,227,36,,0,36
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,587,8,595,4,0,4,1,600,558,59,617,3,,0,3
,HONDURAS,50,2,52,15,0,15,3,70,120,11,131,8,,0,8
,MEXICO,7838,2054,9892,18714,16925,35639,737,46268,8672,2986,11658,5780,,54,5834
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1073,136,1209,517,0,517,64,1790,861,143,1004,178,,0,178
,URUGUAY,214,59,273,134,0,134,1,408,249,83,332,119,,0,119
,VENEZUELA,92,192,284,2,0,2,0,286,138,528,666,1,,0,1
,OTHER LAT. AM. & CAR.,6922,233,7155,212,12,224,175,7554,8627,338,8965,95,,0,95
,Total,36872,3745,40617,28337,17004,45341,2444,88402,38801,5713,44514,7781,,54,7835
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,18230,1510,19740,9304,2987,12291,213,32244,12869,1093,13962,1678,,148,1826
,INDIA,14050,80,14130,8984,3562,12546,475,27151,12371,84,12455,2800,,0,2800
,INDONESIA,1518,1331,2849,1893,825,2718,102,5669,1825,1113,2938,999,,0,999
,"KOREA, SOUTH",13731,24,13755,5367,16522,21889,715,36359,10374,24,10398,2180,,50,2230
,KUWAIT,281,71,352,31,0,31,0,383,280,75,355,12,,0,12
,MALAYSIA,723,321,1044,1665,4319,5984,68,7096,663,310,973,1719,,1,1720
,PAKISTAN,31,11,42,237,0,237,0,279,46,11,57,36,,0,36
,PHILIPPINES,629,308,937,500,1225,1725,61,2723,307,413,720,204,,0,204
,QATAR,896,106,1002,3,0,3,363,1368,763,69,832,0,,0,0
,SAUDI ARABIA,3587,264,3851,1115,0,1115,19,4985,2984,169,3153,378,,0,378
,TAIWAN,9884,449,10333,6437,7375,13812,48,24193,9422,358,9780,4315,,0,4315
,THAILAND,1515,167,1682,1256,2309,3565,108,5355,1448,174,1622,203,,0,203
,UNITED ARAB EMIRATES,2769,1421,4190,2114,768,2882,59,7131,2564,1087,3651,1861,,0,1861
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,3355,128,3483,831,176,1007,33,4523,3978,134,4112,319,,0,319
,Total,71199,6191,77390,39737,40068,79805,2264,159459,59894,5114,65008,16704,,199,16903
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,408,0,408,0,408,0,0,0,17,,0,17
,EGYPT,51,49,100,107,0,107,0,207,290,57,347,2,,0,2
,GHANA,53,2,55,0,0,0,20,75,38,2,40,0,,0,0
,KENYA,68,8,76,320,0,320,1,397,68,8,76,148,,0,148
,MOROCCO,70,6,76,62,0,62,3,141,77,6,83,0,,0,0
,NIGERIA,159,1,160,307,0,307,26,493,590,1,591,149,,0,149
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,3586,7,3593,3642,0,3642,48,7283,2825,23,2848,124,,0,124
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,1213,36,1249,657,2,659,47,1955,2814,23,2837,171,,0,171
,Total,5200,109,5309,5503,2,5505,145,10959,6702,120,6822,611,,0,611
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,501,44,545,13,0,13,4,562,668,105,773,7,,0,7
,BAHRAIN,42,84,126,17,163,180,1,307,142,84,226,6,,0,6
,BERMUDA,7229,35,7264,30,0,30,45,7339,6880,23,6903,0,,0,0
,CAYMAN ISLANDS,18709,104,18813,55,78,133,2193,21139,17586,49,17635,15,,0,15
,HONG KONG,11695,3981,15676,9011,9520,18531,433,34640,10352,2472,12824,7591,,930,8521
,LEBANON,69,7,76,74,0,74,0,150,89,12,101,70,,0,70
,MAURITIUS,339,7,346,303,0,303,1,650,950,7,957,113,,0,113
,PANAMA,1042,38,1080,212,0,212,33,1325,1765,45,1810,221,,0,221
,SINGAPORE,3649,622,4271,7133,10663,17796,489,22556,2995,788,3783,7119,,2367,9486
,OTHER BANKING CENTERS,9195,548,9743,515,411,926,644,11313,9424,383,9807,596,,295,891
,Total,52470,5470,57940,17363,20835,38198,3843,99981,50851,3968,54819,15738,,3592,19330
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,38983,1499,40482,1272546,1728220,3000766,46127,3087375,25124,1220,26344,5255,,720,5975
,,,,,,,,,,,,,,,,
,Grand Total,418723,24025,442748,1505237,1826879,3332116,75087,3849951,391044,22728,413772,77145,,7124,84269
