,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2019
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,6940,324,652,7916,7072,209,8028,7508,659,16195,6872,0,3540,144,102,3786,,3558,44
,CANADA,31642,9903,4668,46213,25095,1387,11003,10562,3016,24581,10734,636,29502,7774,7352,44628,,30326,614
,FRANCE,26347,407,6659,33413,17441,150,29726,6561,3868,40155,26984,0,80661,3495,1865,86021,,80256,585
,GERMANY,76268,435,6217,82920,20986,32,43575,140744,7355,191674,34789,3,31651,4339,6075,42065,,33521,87
,ITALY,11705,308,1232,13245,11310,15,25151,224,14540,39915,25082,0,7217,1537,1006,9760,,7055,660
,JAPAN,89732,49357,2120,141209,60935,39769,33043,120991,1003,155037,33038,0,16522,113178,2270,131970,,14900,422
,LUXEMBOURG,2675,338,78,3091,5437,113,1073,12557,13,13643,1065,0,49859,3049,4239,57147,,59661,1964
,NETHERLANDS,10346,71,4923,15340,7660,35,5930,9873,466,16269,5363,1,16494,230,1430,18154,,16616,1
,SWEDEN,12844,24,97,12965,13385,0,2632,40,138,2810,2602,0,5373,0,400,5773,,5197,0
,SWITZERLAND,51218,193,1092,52503,5840,68,3962,21386,49,25397,3748,0,6822,2857,3323,13002,,6709,3066
,UNITED KINGDOM,46697,32361,13619,92677,96536,38467,7919,132263,12720,152902,5065,631,60810,127280,15462,203552,,58324,54120
,Total,366414,93721,41357,501492,271697,80245,172042,462709,43827,678578,155342,1271,308451,263883,43524,615858,,316123,61563
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8322,7238,1389,16949,7780,586,1280,21077,116,22473,1280,1,8163,13580,1259,23002,,8505,1507
,AUSTRIA,1285,0,120,1405,1064,0,5236,0,132,5368,5149,0,386,1,14,401,,421,0
,CYPRUS,137,0,9,146,137,0,121,0,0,121,121,0,1452,0,3,1455,,1522,0
,DENMARK,5572,1,552,6125,3433,0,486,389,98,973,300,0,2089,0,819,2908,,2028,0
,FINLAND,4858,43,322,5223,4582,0,3998,19,239,4256,3828,0,2458,0,160,2618,,2457,0
,GREECE,6806,0,645,7451,6784,0,471,33,761,1265,471,2,16,59,0,75,,67,0
,IRELAND,2093,455,67,2615,8818,202,3006,5386,190,8582,3003,0,54763,1877,3545,60185,,60260,1303
,ISRAEL,698,55,74,827,691,10,670,1116,10,1796,971,2,371,6,109,486,,373,0
,NEW ZEALAND,577,423,74,1074,671,6,476,685,52,1213,471,0,1072,73,72,1217,,1384,0
,NORWAY,3917,1,131,4049,3325,0,5602,55,155,5812,5113,0,1778,4,22,1804,,2049,0
,PORTUGAL,1578,0,22,1600,1540,0,834,2,59,895,834,0,183,0,54,237,,184,0
,SLOVAKIA,44,1,0,45,39,0,248,57,4,309,248,0,9,8,0,17,,6,0
,SPAIN,8153,304,1967,10424,7536,14,10033,522,123,10678,9908,1,7385,132,459,7976,,7029,3
,OTHER NON G-10 DEV.,391,0,10,401,385,0,17130,0,297,17427,17130,0,949,0,131,1080,,655,0
,Total,44431,8521,5382,58334,46785,818,49591,29341,2236,81168,48827,6,81074,15740,6647,103461,,86940,2813
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,28,8,0,36,21,0,20,103,0,123,20,14,0,23,1,24,,0,22
,CZECH REPUBLIC,1214,111,25,1350,1265,2,335,1817,25,2177,332,0,32,24,1,57,,32,7
,HUNGARY,317,25,14,356,337,14,931,976,0,1907,929,47,62,43,24,129,,62,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1363,312,33,1708,1220,178,1177,5732,0,6909,1175,794,344,461,24,829,,348,12
,ROMANIA,35,12,11,58,67,4,263,1525,0,1788,263,324,41,4,7,52,,41,7
,RUSSIA,1222,382,15,1619,1200,39,947,2377,25,3349,947,0,233,1529,20,1782,,238,183
,TURKEY,5508,88,715,6311,5706,34,682,1545,0,2227,682,469,452,67,18,537,,582,13
,OTHER E. EUROPE,137,4,3,144,157,3,1857,425,23,2305,1867,0,52,0,6,58,,52,0
,Total,9824,942,816,11582,9973,274,6212,14500,73,20785,6215,1648,1216,2151,101,3468,,1355,244
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,27,0,0,0,0,0,0,0,398,0,22,420,,345,0
,ARGENTINA,308,575,9,892,421,76,3214,1933,7,5154,3188,305,199,41,0,240,,196,0
,BRAZIL,13153,7225,301,20679,6061,76,18967,21293,1,40261,18954,85,3897,1382,428,5707,,3264,62
,CHILE,6017,36,517,6570,5902,0,271,644,0,915,270,48,885,2196,335,3416,,941,3
,COLOMBIA,2253,166,45,2464,2106,33,289,1319,3,1611,287,0,217,118,61,396,,286,0
