,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2019
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1527,194,0,194,0,1721,,91,97,9,9,9,,9,144
,CANADA,38840,18147,3304,14843,1357,58344,,41340,4374,128,813,0,,675,3
,FRANCE,10339,1698,45,1653,190,12227,,646,612,312,366,254,,306,206
,GERMANY,67982,1138,0,1138,653,69773,,906,531,11,92,11,,92,46
,ITALY,302,1494,14,1480,0,1796,,777,253,1227,1228,347,,304,31
,JAPAN,41439,4369,43,4326,72,45880,,5990,182,92,107,48,,86,32
,LUXEMBOURG,11290,6294,1,6293,112,17696,,2166,87,13,17,8,,9,108
,NETHERLANDS,5467,1183,841,342,129,6779,,2826,790,3,0,3,,0,24
,SWEDEN,3598,185,2,183,2,3785,,1215,36,4,4,4,,4,0
,SWITZERLAND,44663,320,24,296,89,45072,,211,202,0,11,0,,11,0
,UNITED KINGDOM,74472,36296,10674,25622,1193,111961,,33723,4535,50,54604,50,,858,157
,Total,299919,71318,14948,56370,3797,375034,,89891,11699,1849,57251,734,,2354,751
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5563,7442,7,7435,148,13153,,7529,410,525,526,425,,425,2
,AUSTRIA,869,79,0,79,6,954,,33,4,0,0,0,,0,0
,CYPRUS,52,0,0,0,0,52,,5,25,0,0,0,,0,0
