,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2019
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,368,13,381,74,86,160,0,541,325,7,332,0,,0,0
,CANADA,8397,2612,11009,5867,7126,12993,528,24530,7494,2488,9982,1451,,20,1471
,FRANCE,1409,89,1498,856,645,1501,0,2999,1707,72,1779,0,,1,1
,GERMANY,3162,547,3709,639,477,1116,22,4847,3289,550,3839,0,,0,0
,ITALY,95,34,129,761,621,1382,0,1511,68,25,93,0,,0,0
,JAPAN,1470,320,1790,1493,2077,3570,3,5363,467,316,783,0,,0,0
,LUXEMBOURG,2280,42,2322,21,1,22,9,2353,2013,16,2029,13,,1,14
,NETHERLANDS,3134,22,3156,1025,142,1167,89,4412,3896,17,3913,839,,0,839
,SWEDEN,283,230,513,47,128,175,0,688,286,229,515,2,,0,2
,SWITZERLAND,696,76,772,1,25,26,23,821,518,135,653,0,,24,24
,UNITED KINGDOM,9142,590,9732,5179,7337,12516,36,22284,8789,617,9406,893,,30,923
,Total,30436,4575,35011,15963,18665,34628,710,70349,28852,4472,33324,3198,,76,3274
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1709,100,1809,2879,2240,5119,3,6931,1782,106,1888,7,,0,7
,AUSTRIA,246,8,254,41,37,78,0,332,262,6,268,0,,0,0
,CYPRUS,49,0,49,0,0,0,0,49,0,0,0,0,,0,0
,DENMARK,80,3,83,17,0,17,0,100,81,3,84,0,,0,0
,FINLAND,59,1,60,25,45,70,0,130,67,1,68,0,,0,0
,GREECE,39,2,41,0,1,1,0,42,16,2,18,0,,1,1
,IRELAND,2592,67,2659,0,0,0,12,2671,2998,58,3056,0,,0,0
,ISRAEL,888,46,934,0,1,1,0,935,513,32,545,0,,1,1
,NEW ZEALAND,171,8,179,152,132,284,0,463,317,8,325,0,,0,0
,NORWAY,188,68,256,26,0,26,0,282,234,63,297,0,,0,0
,PORTUGAL,23,5,28,0,1,1,0,29,166,6,172,0,,0,0
,SLOVAKIA,2,1,3,0,0,0,0,3,9,0,9,0,,0,0
,SPAIN,272,300,572,346,121,467,2,1041,276,350,626,28,,0,28
,OTHER NON G-10 DEV.,95,36,131,0,3,3,0,134,94,46,140,0,,3,3
,Total,6413,645,7058,3486,2581,6067,17,13142,6815,681,7496,35,,5,40
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,5,1,6,0,0,0,0,6,23,1,24,0,,0,0
,CZECH REPUBLIC,13,3,16,0,0,0,0,16,30,0,30,0,,0,0
,HUNGARY,42,4,46,12,0,12,35,93,80,3,83,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,25,4,29,58,0,58,0,87,78,4,82,0,,0,0
,ROMANIA,3,3,6,1,0,1,0,7,48,3,51,1,,0,1
,RUSSIA,22,17,39,27,1,28,0,67,17,14,31,2,,1,3
,TURKEY,19,61,80,0,1,1,0,81,19,51,70,0,,1,1
,OTHER E. EUROPE,16,6,22,0,0,0,0,22,76,6,82,0,,0,0
,Total,145,99,244,98,2,100,35,379,371,82,453,3,,2,5
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,23,0,23,0,0,0,0,23,23,0,23,0,,0,0
,ARGENTINA,140,203,343,477,179,656,6,1005,261,151,412,369,,29,398
,BRAZIL,1343,817,2160,13,6,19,6,2185,981,784,1765,35,,1,36
,CHILE,404,35,439,22,0,22,24,485,597,64,661,1,,0,1
,COLOMBIA,301,193,494,2,3,5,4,503,435,122,557,0,,0,0
,COSTA RICA,62,11,73,1,1,2,0,75,101,16,117,0,,0,0
,DOMINICAN REPUBLIC,11,34,45,1,1,2,0,47,174,63,237,0,,0,0
,ECUADOR,71,120,191,1,2,3,0,194,238,113,351,0,,0,0
,EL SALVADOR,7,19,26,0,0,0,0,26,23,20,43,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,17,19,36,0,1,1,0,37,55,44,99,0,,0,0
,HONDURAS,7,16,23,0,0,0,0,23,33,27,60,0,,0,0
,MEXICO,2416,770,3186,906,1988,2894,80,6160,3267,1151,4418,26,,1,27
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,328,50,378,7,2,9,0,387,367,57,424,0,,0,0
,URUGUAY,21,13,34,1,7,8,9,51,167,22,189,0,,5,5
,VENEZUELA,58,544,602,0,4,4,0,606,192,709,901,0,,0,0
,OTHER LAT. AM. & CAR.,873,212,1085,102,309,411,10,1506,2265,313,2578,58,,198,256
,Total,6082,3056,9138,1533,2503,4036,139,13313,9179,3656,12835,489,,234,723
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,615,1547,2162,555,1,556,0,2718,451,1537,1988,124,,1,125
,INDIA,45,33,78,389,462,851,0,929,71,32,103,0,,0,0
,INDONESIA,4,15,19,1,1,2,0,21,11,14,25,0,,1,1
,"KOREA, SOUTH",63,23,86,0,0,0,0,86,38,23,61,0,,0,0
,KUWAIT,71,6,77,0,0,0,0,77,71,6,77,0,,0,0
,MALAYSIA,0,6,6,3,0,3,0,9,1,6,7,0,,0,0
,PAKISTAN,0,2,2,0,0,0,0,2,0,2,2,0,,0,0
,PHILIPPINES,10,46,56,32,0,32,0,88,2,40,42,0,,0,0
,QATAR,18,5,23,0,0,0,44,67,18,4,22,0,,0,0
,SAUDI ARABIA,430,15,445,0,2,2,1,448,659,14,673,0,,2,2
,TAIWAN,29,171,200,30,122,152,0,352,64,171,235,0,,1,1
,THAILAND,2,7,9,1,111,112,0,121,3,8,11,0,,1,1
