,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2019
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,24560,10336,563,9773,1593,36489,,5281,460,14928,17176,7126,,9375,281
,CANADA,101874,65408,10950,54458,17591,184873,,84316,14304,23590,22684,13992,,13020,497
,FRANCE,152790,24984,1080,23904,14149,191923,,179777,3088,197460,213005,87705,,104139,763
,GERMANY,178700,161757,1131,160626,22664,363121,,42950,3881,157545,167423,72345,,82224,1755
,ITALY,56259,5693,851,4842,18513,80465,,7845,907,181318,190245,46853,,55779,817
,JAPAN,145894,325089,48997,276092,5222,476205,,70700,3933,99992,107136,40861,,47995,1741
,LUXEMBOURG,63305,15101,1824,13277,3968,82374,,18835,2663,32259,34669,15615,,18022,1123
,NETHERLANDS,52281,12192,929,11263,8209,72682,,25063,5208,105608,115819,50096,,60307,849
,SWEDEN,22911,233,12,221,546,23690,,7536,325,26660,28441,14457,,16238,147
,SWITZERLAND,78697,29584,5299,24285,5286,113567,,16514,3744,56262,58074,27689,,29516,1105
,UNITED KINGDOM,142888,337552,94741,242811,49966,530406,,116418,11589,260995,322230,128060,,140673,2531
,Total,1020159,987929,166377,821552,147707,2155795,,575235,50102,1156617,1276902,504799,,577288,11609
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,26791,70593,2535,68058,3855,101239,,29129,2239,37773,37136,19594,,18956,373
,AUSTRIA,9088,74,0,74,394,9556,,1201,66,5829,6924,2632,,3727,35
,CYPRUS,3162,0,0,0,37,3199,,116,65,29,26,27,,25,25
,DENMARK,9946,466,0,466,1940,12352,,3621,171,14196,15410,7776,,8797,153
