,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2019
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,7317,706,836,8859,7500,382,8518,9124,532,18174,7490,0,3806,99,27,3932,,3834,68
,CANADA,32818,9854,4776,47448,26391,1559,10570,11966,2643,25179,10423,512,33740,10504,8064,52308,,34028,666
,FRANCE,26893,586,7639,35118,19586,44,32215,6114,3669,41998,29342,0,71019,8963,1916,81898,,70496,893
,GERMANY,70282,865,6828,77975,20206,135,51025,152796,8370,212191,43180,3,24555,5340,5456,35351,,25222,665
,ITALY,8826,253,1520,10599,8063,24,27873,238,15657,43768,27800,0,7779,1596,920,10295,,7585,573
,JAPAN,75385,52775,1234,129394,51502,46011,29263,155248,1030,185541,29238,6,16862,93127,2510,112499,,13803,425
,LUXEMBOURG,2869,395,89,3353,5763,300,559,11876,0,12435,553,0,47990,2613,2620,53223,,57628,1620
,NETHERLANDS,10085,85,4819,14989,7311,42,5708,10311,584,16603,5131,1,16541,398,839,17778,,16721,10
,SWEDEN,8604,26,174,8804,9766,10,2828,43,31,2902,2880,0,5113,0,214,5327,,4967,0
,SWITZERLAND,54140,201,747,55088,5578,68,4286,23681,71,28038,4055,11,5937,2773,3608,12318,,5664,2970
,UNITED KINGDOM,41176,29532,13813,84521,89152,36868,8248,127157,12743,148148,5262,809,61584,125917,17950,205451,,58971,58552
,Total,338395,95278,42475,476148,250818,85443,181093,508554,45330,734977,165354,1342,294926,251330,44124,590380,,298919,66442
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8590,7637,1809,18036,8781,635,1652,21533,178,23363,1644,1,7643,15414,1389,24446,,8222,1317
,AUSTRIA,1484,0,145,1629,1351,0,4851,0,152,5003,4814,0,711,1,11,723,,703,0
,CYPRUS,162,0,14,176,162,0,86,0,0,86,86,0,1607,0,5,1612,,1484,0
,DENMARK,4592,1,539,5132,3207,0,853,448,201,1502,439,0,2199,0,891,3090,,2196,0
,FINLAND,4588,39,515,5142,3168,0,3748,4,436,4188,3661,0,2176,0,41,2217,,2175,0
,GREECE,5700,0,719,6419,5697,0,398,34,1287,1719,397,3,35,56,0,91,,83,0
,IRELAND,1597,474,77,2148,10865,256,2801,6010,122,8933,2801,0,61697,2395,2609,66701,,69795,1262
,ISRAEL,774,60,99,933,769,9,950,1252,61,2263,1259,4,253,13,89,355,,248,0
,NEW ZEALAND,459,39,122,620,607,0,210,793,83,1086,210,0,862,67,59,988,,1146,0
,NORWAY,4150,0,98,4248,3840,0,4992,75,140,5207,4477,0,1700,4,10,1714,,1937,0
,PORTUGAL,1254,2,26,1282,1239,0,625,2,90,717,625,0,84,0,22,106,,87,0
,SLOVAKIA,30,1,1,32,21,0,873,16,7,896,873,0,5,8,0,13,,2,0
,SPAIN,8685,344,1752,10781,8114,19,9756,561,142,10459,9632,1,7923,170,445,8538,,7692,2
,OTHER NON G-10 DEV.,284,0,2,286,280,0,20471,0,329,20800,20471,0,931,0,26,957,,591,0
,Total,42349,8597,5918,56864,48101,919,52266,30728,3228,86222,51389,9,87826,18128,5597,111551,,96361,2581
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,27,10,3,40,19,0,15,133,0,148,15,26,8,14,0,22,,8,14
,CZECH REPUBLIC,1051,6,28,1085,1087,2,181,2552,71,2804,181,0,51,23,0,74,,51,11
,HUNGARY,317,16,14,347,399,9,757,1192,0,1949,754,47,30,17,26,73,,28,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1312,361,40,1713,1163,187,1265,6287,0,7552,1263,1295,279,646,18,943,,283,2
,ROMANIA,44,14,11,69,84,12,280,1353,0,1633,280,289,63,47,2,112,,62,10
,RUSSIA,1128,427,96,1651,1113,46,1309,2219,42,3570,1298,0,304,1585,35,1924,,308,231
,TURKEY,4714,91,718,5523,4997,47,855,1696,0,2551,855,493,461,44,9,514,,607,10
,OTHER E. EUROPE,200,4,7,211,175,3,2755,476,19,3250,2814,0,46,0,0,46,,40,0
,Total,8793,929,917,10639,9037,306,7417,15908,132,23457,7460,2150,1242,2376,90,3708,,1387,278
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,7,0,7,1,3,11,7,0,480,0,30,510,,432,0
,ARGENTINA,624,246,4,874,719,85,2463,1954,48,4465,2437,384,158,34,0,192,,148,0
,BRAZIL,14055,7080,201,21336,6900,55,17837,21021,15,38873,17840,107,4341,2168,465,6974,,3659,35
,CHILE,5889,53,566,6508,5926,15,340,531,0,871,330,0,1034,2183,237,3454,,1093,6
,COLOMBIA,2216,87,38,2341,2035,30,477,1615,8,2100,475,337,267,155,61,483,,377,1
,COSTA RICA,277,90,4,371,305,85,22,585,0,607,21,243,32,33,0,65,,53,33
,DOMINICAN REPUBLIC,288,10,0,298,316,1,312,326,0,638,343,24,40,0,0,40,,82,0
,ECUADOR,144,99,0,243,164,89,1730,212,9,1951,1732,212,36,0,0,36,,36,0
,EL SALVADOR,138,31,0,169,169,31,115,170,0,285,116,170,16,0,0,16,,26,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,995,81,0,1076,1002,78,40,215,0,255,40,33,6,23,0,29,,8,0
,HONDURAS,227,1,3,231,285,0,1,123,0,124,8,51,23,0,2,25,,23,0
,MEXICO,2071,3968,401,6440,1780,864,2065,29021,794,31880,2439,561,2377,8651,478,11506,,3102,173
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1772,142,34,1948,1709,12,632,843,22,1497,632,297,246,57,25,328,,152,1
,URUGUAY,246,7,3,256,248,4,239,580,88,907,226,318,180,1,1,182,,182,0
,VENEZUELA,4,0,0,4,8,0,47,5,1,53,71,4,8,0,2,10,,9,0
,OTHER LAT. AM. & CAR.,425,87,8,520,510,33,160,624,131,915,224,126,25988,26,492,26506,,36013,14
,Total,29371,11982,1262,42615,22083,1382,26487,57826,1119,85432,26941,2867,35232,13331,1793,50356,,45395,263
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,21339,6358,1722,29419,16617,1055,9306,13015,398,22719,9273,2391,9771,2915,443,13129,,9108,347
,INDIA,9434,3356,131,12921,7892,227,1053,22895,14,23962,914,0,4596,4526,605,9727,,4381,216
,INDONESIA,1775,775,13,2563,1992,940,2659,3114,5,5778,2684,1277,259,654,25,938,,500,123
,"KOREA, SOUTH",5799,2955,374,9128,4803,904,12880,18061,253,31194,11725,989,9386,4688,1467,15541,,9582,970
,KUWAIT,665,55,97,817,711,0,9840,139,12,9991,9835,0,670,0,24,694,,618,0
,MALAYSIA,2683,1252,172,4107,2537,107,36,4923,2,4961,36,526,382,294,11,687,,405,179
,PAKISTAN,56,5,28,89,51,1,15,380,0,395,15,13,8,0,1,9,,8,0
,PHILIPPINES,1797,1002,18,2817,1857,1046,811,2412,3,3226,700,55,127,132,18,277,,129,30
,QATAR,6212,64,44,6320,5063,0,5794,0,6,5800,5778,0,512,2,34,548,,100,0
,SAUDI ARABIA,3529,481,327,4337,3642,32,15589,235,52,15876,14260,0,2091,24,90,2205,,3437,0
,TAIWAN,3514,2107,202,5823,3070,1059,5396,7589,45,13030,5397,12,10208,326,381,10915,,9994,118
,THAILAND,979,456,139,1574,1025,6,735,5599,163,6497,735,20,282,141,60,483,,281,31
,UNITED ARAB EMIRATES,4107,1091,195,5393,4543,673,1687,3510,153,5350,1713,857,1030,85,98,1213,,1035,98
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
