,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2019
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,27755,10059,661,9398,1847,39661,,4384,543,14866,16946,7024,,9105,384
,CANADA,90238,65370,11434,53936,17882,173490,,82640,15022,26272,25263,13806,,12784,587
,FRANCE,146877,25493,452,25041,17086,189456,,174175,3750,201045,215417,89114,,104368,881
,GERMANY,158591,124568,1817,122751,29412,312571,,43692,3732,162064,170948,73804,,82688,1145
,ITALY,55589,6823,1102,5721,19520,81932,,7394,602,175557,184432,45543,,54435,609
,JAPAN,143517,334221,49603,284618,6384,484122,,68895,4748,103765,111608,41381,,49203,1146
,LUXEMBOURG,60385,16814,3424,13390,6368,83567,,20133,2658,29989,32210,15107,,17325,1154
,NETHERLANDS,55277,13396,931,12465,10538,79211,,24717,4335,110286,119833,51635,,61181,1024
,SWEDEN,22259,272,11,261,774,23305,,6478,297,27307,28695,14703,,16091,111
,SWITZERLAND,69500,30007,5193,24814,5715,105222,,15920,4107,58502,60546,27731,,29772,878
,UNITED KINGDOM,151550,348059,88121,259938,54587,554196,,125284,12427,264183,322867,127213,,138727,2971
,Total,981538,975082,162749,812333,170113,2126733,,573712,52221,1173836,1288765,507061,,575679,10890
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,30389,73893,2509,71384,5012,109294,,27707,2420,37212,37047,19112,,18946,447
,AUSTRIA,10200,73,0,73,497,10770,,1996,60,5951,6918,2725,,3690,17
,CYPRUS,2240,0,0,0,49,2289,,122,58,28,26,26,,25,1
,DENMARK,9569,362,1,361,2222,12153,,3124,166,14572,15883,7696,,9006,173
,FINLAND,14935,109,0,109,1100,16144,,2244,264,12403,13257,6454,,7306,143
,GREECE,6248,213,0,213,2649,9110,,217,119,4929,5536,2820,,3427,3
,IRELAND,84749,10042,688,9354,4506,99297,,17843,1900,9229,9756,5534,,6057,242
,ISRAEL,6113,1214,115,1099,573,7900,,1686,333,2530,2574,1188,,1231,125
,NEW ZEALAND,2287,1494,54,1440,806,4587,,938,49,1168,1137,727,,697,5
,NORWAY,14016,142,0,142,496,14654,,3453,104,9539,10839,4550,,5850,46
,PORTUGAL,3635,32,0,32,448,4115,,789,125,10077,9142,5328,,4392,110
,SLOVAKIA,536,187,8,179,30,753,,27,44,226,329,139,,241,2
,SPAIN,39590,2293,236,2057,2601,44484,,6766,1923,63837,66101,26040,,28262,794
,OTHER NON G-10 DEV.,19321,0,0,0,412,19733,,918,11,331,523,216,,408,0
,Total,243828,90054,3611,86443,21401,355283,,67830,7576,172032,179068,82555,,89538,2108
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,70,252,106,146,10,332,,23,60,144,100,139,,96,0
,CZECH REPUBLIC,4423,3131,309,2822,189,7743,,2046,262,188,219,138,,168,0
,HUNGARY,1427,1364,269,1095,109,2900,,460,387,1318,1288,612,,583,52
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,3236,11136,1513,9623,120,14492,,3758,545,734,811,369,,445,26
,ROMANIA,319,2054,472,1582,15,2388,,150,183,399,290,243,,134,0
,RUSSIA,5167,6356,562,5794,180,11703,,2066,528,27132,27560,10939,,11367,259
,TURKEY,8646,2245,788,1457,1082,11973,,345,228,35664,35069,12519,,11913,896
,OTHER E. EUROPE,3493,724,3,721,35,4252,,173,119,2140,4046,1296,,3202,13
,Total,26781,27262,4022,23240,1740,55783,,9021,2312,67719,69383,26255,,27908,1246
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1099,0,0,0,3,1102,,36,31,0,0,0,,0,72
,ARGENTINA,2892,3454,915,2539,26,6372,,406,104,12006,12202,5091,,5287,359
,BRAZIL,59663,36604,837,35767,1413,97680,,4579,2013,42584,43054,17303,,17775,7005
,CHILE,10237,2799,18,2781,1044,14080,,733,136,5888,6441,2466,,3019,3589
,COLOMBIA,4651,2652,318,2334,202,7505,,267,381,14232,14868,5154,,5790,755
,COSTA RICA,442,799,311,488,35,1276,,51,63,7,5,6,,4,146
,DOMINICAN REPUBLIC,834,403,44,359,9,1246,,17,153,18,11,18,,11,157
,ECUADOR,2203,596,573,23,21,2820,,81,159,248,1149,248,,1149,152
,EL SALVADOR,311,251,251,0,0,562,,20,9,8,9,3,,4,124
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1479,258,71,187,14,1751,,26,162,20,20,0,,0,687
,HONDURAS,352,150,36,114,2,504,,15,40,0,0,0,,0,162
,MEXICO,17789,77679,7155,70524,2788,98256,,28082,1715,45871,47833,18930,,20891,1349
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,4906,1646,709,937,125,6677,,139,376,5950,6231,2555,,2836,962
,URUGUAY,1107,449,221,228,90,1646,,79,85,139,185,139,,185,199
,VENEZUELA,789,5,3,2,1,795,,77,39,323,323,270,,270,31
,OTHER LAT. AM. & CAR.,33960,1823,1048,775,707,36490,,1414,548,230,598,152,,519,330
,Total,142714,129568,12510,117058,6480,278762,,36022,6014,127524,132929,52335,,57740,16079
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,72252,34709,5254,29455,3733,110694,,6047,2092,40744,42520,17606,,19383,8296
,INDIA,25845,46226,3389,42837,1080,73151,,12308,2458,5469,5753,3051,,3333,6112
,INDONESIA,7304,7813,3026,4787,111,15228,,2552,236,18883,18973,7259,,7347,434
,"KOREA, SOUTH",45277,43988,3825,40163,2920,92185,,12546,2695,41292,40731,18604,,18042,5447
,KUWAIT,11015,268,4,264,65,11348,,459,169,65,53,65,,53,574
,MALAYSIA,4312,12536,2664,9872,228,17076,,4830,798,18852,17624,7820,,6592,469
,PAKISTAN,277,809,35,774,4,1090,,190,25,19,24,18,,22,128
,PHILIPPINES,3771,5515,1288,4227,92,9378,,3822,250,8000,8118,3344,,3462,377
,QATAR,14276,56,0,56,384,14716,,168,245,4795,4590,2740,,2534,1600
,SAUDI ARABIA,25975,1711,346,1365,471,28157,,4664,271,7482,8151,3184,,3850,881
,TAIWAN,28827,24411,5858,18553,679,53917,,13275,414,74,91,54,,71,1532
,THAILAND,3275,9350,131,9219,496,13121,,7310,204,3140,3275,1665,,1799,228
,UNITED ARAB EMIRATES,15289,7087,2671,4416,553,22929,,4642,918,2359,3663,1441,,2746,1865
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,6543,4586,2013,2573,244,11373,,2168,552,1181,1323,834,,978,1548
,Total,264238,199065,30504,168561,11060,474363,,74981,11327,152355,154889,67685,,70212,29491
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,15,1032,183,849,20,1067,,164,269,0,0,0,,0,35
,EGYPT,9649,1568,52,1516,0,11217,,444,37,179,1350,138,,1308,727
,GHANA,1611,0,0,0,25,1636,,20,38,52,70,52,,70,77
,KENYA,344,776,183,593,3,1123,,44,156,7,45,7,,45,83
,MOROCCO,502,457,46,411,5,964,,263,29,34,49,33,,49,491
,NIGERIA,8196,1528,126,1402,99,9823,,424,109,208,312,208,,312,498
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,7637,8672,234,8438,970,17279,,2373,148,25294,25476,10681,,10863,479
,SOUTH SUDAN,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,OTHER AFRICA,2845,1435,262,1173,211,4491,,876,197,2514,2909,1073,,1468,186
,Total,30800,15468,1086,14382,1333,47601,,4608,983,28288,30211,12192,,14115,2576
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,10724,39,13,26,154,10917,,245,84,0,0,0,,0,31
,BAHRAIN,2194,420,16,404,59,2673,,135,37,506,502,296,,291,3
,BERMUDA,27573,72,38,34,610,28255,,13058,5863,1014,1567,582,,1131,204
,CAYMAN ISLANDS,505881,1105,608,497,9403,516389,,80777,73782,10679,10378,7568,,7263,119
,HONG KONG,32004,50723,12817,37906,1140,83867,,20436,907,6098,6575,3464,,3904,1052
,LEBANON,1630,179,127,52,32,1841,,131,62,2028,3330,998,,2301,623
,MAURITIUS,2670,347,272,75,232,3249,,216,21,10,23,10,,23,16
,PANAMA,3663,749,618,131,252,4664,,865,636,4821,5116,2270,,2565,502
,SINGAPORE,37803,47742,13914,33828,2403,87948,,17657,1229,4815,4854,2712,,2741,1157
,OTHER BANKING CENTERS,22701,1264,1020,244,1501,25466,,7751,1419,6996,7894,2444,,3339,928
,Total,646843,102640,29443,73197,15786,765269,,141271,84040,36967,40239,20344,,23558,4635
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,961,0,0,0,77,1038,,33,0,0,0,0,,0,137
,ASIAN,5815,0,0,0,116,5931,,1,0,0,0,0,,0,121
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,20283,0,0,0,1062,21345,,2,136,219,239,219,,239,11
,INTERNATIONAL,11171,0,0,0,515,11686,,214,105,0,0,0,,0,293
,LATIN AMERICAN,5923,0,0,0,447,6370,,2,1,0,0,0,,0,86
,MIDDLE EASTERN,7,0,0,0,0,7,,2,0,0,0,0,,0,2
,Total,44160,0,0,0,2217,46377,,254,242,219,239,219,,239,650
,,,,,,,,,,,,,,,,
,UNITED STATES,266275,13025973,48115,12977858,152573,13444821,,6088582,517246,776111,892320,405710,,520348,19753
,,,,,,,,,,,,,,,,
,Grand Total,2647177,14565112,292040,14273072,382703,17594992,,6996281,681961,2535051,2788043,1174356,,1379337,87428
