,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2019
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,8208,874,740,9822,8553,614,9974,8620,725,19319,8305,0,4292,78,92,4462,,4160,2
,CANADA,24847,9875,4324,39046,22289,1546,8194,10976,4439,23609,8079,507,31398,11118,6901,49417,,31882,1004
,FRANCE,33519,648,8395,42562,29265,102,27045,7233,3186,37464,24901,0,62781,8203,3672,74656,,62654,241
,GERMANY,55720,1472,7556,64748,22629,644,47951,115153,9147,172251,39823,2,21046,4311,6000,31357,,22599,335
,ITALY,8384,211,1725,10320,8015,93,29542,389,16336,46267,29501,0,7750,1858,1002,10610,,7600,736
,JAPAN,67218,57140,1715,126073,50401,47163,34597,138300,1482,174379,34476,3,18737,96531,2627,117895,,16062,522
,LUXEMBOURG,2329,430,82,2841,4394,199,386,10980,5,11371,381,0,45965,4467,5736,56168,,55696,2793
,NETHERLANDS,10251,108,5668,16027,7542,55,5426,10084,727,16237,4841,1,17552,201,1933,19686,,17251,11
,SWEDEN,8867,28,128,9023,10010,0,2257,44,66,2367,2319,1,4387,0,434,4821,,4290,0
,SWITZERLAND,44858,230,953,46041,6033,69,3021,24191,84,27296,2942,11,6797,2894,4030,13721,,5917,3011
,UNITED KINGDOM,57201,38311,12644,108156,88226,40276,8390,128290,15760,152440,5634,476,54111,122081,19779,195971,,52448,44183
,Total,321402,109327,43930,474659,257357,90761,176783,454260,51957,683000,161202,1001,274816,251742,52206,578764,,280559,52838
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,9997,7235,1425,18657,9843,459,3078,25017,154,28249,3078,1,9262,16178,2865,28305,,9763,1283
,AUSTRIA,1663,0,208,1871,1545,0,6150,0,144,6294,6083,0,517,1,38,556,,497,0
,CYPRUS,195,0,15,210,195,0,56,0,0,56,56,0,1359,0,16,1375,,1233,0
,DENMARK,3759,0,751,4510,2847,0,853,341,110,1304,454,0,2553,1,1070,3624,,2542,0
,FINLAND,4580,19,606,5205,3320,0,3882,3,225,4110,3737,0,2322,0,208,2530,,2383,0
,GREECE,5461,0,805,6266,5476,0,460,24,1832,2316,460,0,28,51,0,79,,43,0
,IRELAND,1697,189,71,1957,5982,180,2227,5870,40,8137,2219,0,64545,1464,4039,70048,,72263,732
,ISRAEL,601,49,165,815,599,17,1731,1013,110,2854,1988,3,335,10,132,477,,327,0
,NEW ZEALAND,369,110,106,585,540,0,309,779,332,1420,301,0,999,72,282,1353,,1424,0
,NORWAY,3442,0,118,3560,3004,0,5467,109,72,5648,4801,0,1700,3,85,1788,,1837,0
,PORTUGAL,1152,8,26,1186,1108,0,1033,2,150,1185,1030,0,121,0,57,178,,124,0
,SLOVAKIA,56,1,1,58,51,0,326,8,9,343,326,0,0,7,0,7,,1,0
,SPAIN,7820,309,1725,9854,7241,18,10714,508,145,11367,10433,5,6512,205,353,7070,,6390,68
,OTHER NON G-10 DEV.,267,0,42,309,270,0,17649,0,182,17831,17649,0,817,0,178,995,,519,0
,Total,41059,7920,6064,55043,42021,674,53935,33674,3505,91114,52615,9,91070,17992,9323,118385,,99346,2083
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,13,8,0,21,14,0,9,146,0,155,9,31,4,22,6,32,,4,22
,CZECH REPUBLIC,1053,7,22,1082,1111,1,392,2458,54,2904,392,0,45,24,0,69,,63,8
,HUNGARY,218,89,28,335,321,6,1014,844,11,1869,1001,53,36,28,7,71,,40,4
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,941,339,36,1316,823,219,1200,5670,0,6870,1193,662,467,508,53,1028,,465,6
,ROMANIA,17,5,11,33,76,2,125,1657,0,1782,125,314,63,38,1,102,,62,9
,RUSSIA,672,508,56,1236,652,101,921,2639,0,3560,920,0,308,1173,31,1512,,317,199
,TURKEY,3865,100,952,4917,4048,46,1413,1407,0,2820,1410,450,594,64,4,662,,677,4
