,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2019
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1504,171,0,171,0,1675,,822,90,9,9,9,,9,156
,CANADA,31669,18913,3073,15840,1656,52238,,41902,3984,384,1271,0,,874,6
,FRANCE,12653,1675,41,1634,297,14625,,668,619,318,372,282,,331,179
,GERMANY,45658,1275,14,1261,572,47505,,822,482,11,69,11,,69,7
,ITALY,387,1463,13,1450,0,1850,,791,37,646,646,156,,156,23
,JAPAN,38921,4953,20,4933,77,43951,,6964,183,98,7116,92,,7091,5
,LUXEMBOURG,11853,4986,60,4926,151,16990,,1971,215,10,13,5,,5,0
,NETHERLANDS,5686,1227,868,359,178,7091,,2901,597,1,0,1,,0,60
,SWEDEN,2928,204,0,204,3,3135,,1378,45,4,4,4,,4,4
,SWITZERLAND,40172,289,0,289,121,40582,,408,210,2,29,0,,27,0
,UNITED KINGDOM,81609,38886,10385,28501,1508,122003,,33937,5135,297,47548,206,,280,160
,Total,273040,74042,14474,59568,4563,351645,,92564,11597,1780,57077,766,,8846,600
