,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2019
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,16170,174,12689,9150,25494,861,3327,27959
,CANADA,95538,12716,73710,55575,163829,11291,16365,168883
,FRANCE,124469,378,104224,20188,145035,2919,10914,153018
,GERMANY,117837,887,85498,98799,217523,13186,56115,260512
,ITALY,47581,1106,38458,6428,55115,310,2580,57407
,JAPAN,102254,45252,112152,239289,386795,5432,29649,410460
,LUXEMBOURG,73783,2741,49619,14823,91347,19103,4121,76361
,NETHERLANDS,55925,982,31562,10707,67614,12141,8753,64224
,SWEDEN,22015,0,17287,848,22863,3609,1571,20829
,SWITZERLAND,26417,5661,25242,24034,56112,4209,39931,91762
,UNITED KINGDOM,164279,76413,185785,265258,505950,59553,28236,474569
,Total,846268,146310,736226,745099,1737677,132614,201562,1805984
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,28350,3886,20393,71525,103761,8841,4054,98982
,AUSTRIA,10576,2,6293,92,10670,1182,621,10109
,CYPRUS,2149,0,1701,0,2149,252,326,2223
,DENMARK,6419,3,5448,497,6919,649,2334,8602
,FINLAND,10097,0,7650,116,10213,107,1960,12063
,GREECE,6057,0,4918,242,6299,321,84,6062
,IRELAND,96153,2329,77097,11994,110476,20054,4589,95016
,ISRAEL,6229,227,4830,1129,7585,711,825,7697
,NEW ZEALAND,2881,114,2042,1860,4855,979,154,4031
,NORWAY,13171,0,10438,109,13280,456,1337,14158
,PORTUGAL,2727,0,2019,40,2767,173,250,2846
,SLOVAKIA,371,3,270,164,538,53,1,487
,SPAIN,35084,260,23467,1914,37258,1099,2690,38850
,OTHER NON G-10 DEV.,14124,0,2156,0,14124,348,657,14434
,Total,234388,6824,168722,89682,330894,35225,19882,315560
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,64,130,121,201,395,33,4,366
,CZECH REPUBLIC,2816,351,2919,3100,6267,364,32,5934
,HUNGARY,1371,384,1640,1376,3131,220,25,2935
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3303,1584,4187,10415,15302,614,211,14901
,ROMANIA,484,417,687,1857,2758,146,13,2623
,RUSSIA,5339,770,4805,6762,12871,491,566,12987
,TURKEY,7918,651,6518,1583,10152,368,618,10401
,OTHER E. EUROPE,3141,60,2924,943,4144,187,131,4090
,Total,24436,4347,23801,26237,55020,2423,1600,54237
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,869,0,783,0,869,132,66,803
,ARGENTINA,3775,775,2910,3564,8114,1182,215,7136
,BRAZIL,48610,1436,38341,36033,86079,5264,12658,93483
,CHILE,11650,5,9662,2773,14428,584,353,14197
,COLOMBIA,5096,64,3312,2780,7940,1221,463,7175
,COSTA RICA,540,219,526,584,1343,228,18,1135
,DOMINICAN REPUBLIC,1798,26,1293,344,2168,395,59,1830
,ECUADOR,2600,602,2616,22,3224,596,62,2685
,EL SALVADOR,547,251,671,0,798,210,44,633
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1631,146,1322,214,1991,230,152,1912
,HONDURAS,606,37,533,128,771,130,16,654
,MEXICO,22140,7905,16747,73591,103636,7758,2908,98781
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3831,594,3372,638,5063,291,511,5282
,URUGUAY,1075,253,821,173,1501,223,101,1379
,VENEZUELA,1337,0,654,4,1341,794,189,733
,OTHER LAT. AM. & CAR.,43865,1076,32725,685,45626,12810,1277,34086
,Total,149970,13389,116288,121533,284892,32048,19092,271904
,,,,,,,,,
