,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2019
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3696,2866,6562,20119,11822,,2338,7135,1239,641,0,5,,641
,CANADA,7782,28906,36688,48298,37193,,18103,21183,1783,45286,1343,17678,,44529
,FRANCE,1384,16895,18279,57097,18759,,13296,33935,6701,61923,142,34471,,61919
,GERMANY,18499,33210,51709,96182,85838,,26457,31679,5549,47325,132,10159,,47031
,ITALY,5366,6157,11523,45145,-1806,,2998,34084,6508,5278,171,2179,,5275
,JAPAN,5869,65901,71770,90325,211672,,12497,82695,22655,133967,0,73302,,133959
,LUXEMBOURG,70203,27098,97301,88168,-76741,,2017,10643,3700,18220,1,2027,,17711
,NETHERLANDS,34430,10532,44962,54319,-32785,,7892,17087,1309,2923,10,784,,2842
,SWEDEN,12,475,487,13810,391,,3163,6406,362,1768,6,1330,,1667
,SWITZERLAND,7381,2273,9654,34752,24824,,2436,8401,288,19999,0,11665,,19945
,UNITED KINGDOM,949690,224963,1174653,277993,267895,,25742,73813,11020,89331,1155,43298,,85626
,Total,1104312,419276,1523588,826208,547062,,116939,327061,61114,426661,2960,196898,,421145
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,8188,45422,53610,63248,30768,,12887,28305,1043,8486,26,5865,,8420
,AUSTRIA,130,173,303,5537,-199,,3237,3435,799,1822,1,1717,,1822
,CYPRUS,0,0,0,2292,-2,,0,897,11,354,10,168,,322
,DENMARK,10,215,225,10027,320,,194,2947,89,2641,0,366,,2621
,FINLAND,0,147,147,4894,63,,2601,2928,240,2823,254,124,,2820
,GREECE,22,1136,1158,4399,-897,,0,1465,122,4007,11,2720,,4007
,IRELAND,24378,15768,40146,104483,37305,,6807,21876,473,26882,26,3999,,26648
,ISRAEL,1002,1557,2559,4555,-1056,,488,3188,143,292,0,292,,68
,NEW ZEALAND,28,909,937,3832,997,,412,793,31,156,1,86,,156
,NORWAY,0,446,446,7262,-233,,1779,3164,199,3479,0,647,,3476
,PORTUGAL,17,175,192,2219,-150,,65,2181,460,37,0,15,,37
,SLOVAKIA,151,383,534,577,-318,,0,115,5,74,1,61,,74
,SPAIN,385,2471,2856,22763,207,,3587,17943,2658,2094,0,1269,,2052
,OTHER NON G-10 DEV.,0,1,1,5705,6,,13,339,2,1120,0,524,,1120
,Total,34311,68803,103114,241793,66811,,32070,89576,6275,54267,330,17853,,53643
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,278,266,544,1448,-216,,51,22,6,0,0,0,,0
,CZECH REPUBLIC,911,1338,2249,2671,1331,,0,547,84,4287,8,4240,,4287
,HUNGARY,702,1047,1749,3251,316,,766,883,124,124,0,120,,124
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
