,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2019
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,15255,174,12100,8956,24385,419,3012,26979
,CANADA,60731,9380,51282,38789,108900,7741,8620,109774
,FRANCE,113745,378,97777,18404,132527,2187,4825,135165
,GERMANY,105729,884,77941,97364,203977,10542,20007,213509
,ITALY,47393,1092,38287,4619,53104,282,2494,55338
,JAPAN,80430,45248,92020,233584,359262,4620,16043,370133
,LUXEMBOURG,62987,2657,40571,10623,76267,18162,2465,60569
,NETHERLANDS,49868,107,30347,10362,60337,10038,7218,57516
,SWEDEN,19294,0,16173,644,19938,3467,1149,17625
,SWITZERLAND,22764,5660,21890,23717,52141,4037,4552,52658
,UNITED KINGDOM,64278,65021,94922,237102,366401,24403,18907,360916
,Total,642474,130601,573310,684164,1457239,85898,89292,1460182
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,23121,3866,18039,63305,90292,7251,3609,86655
,AUSTRIA,9795,2,6150,1,9798,1155,542,9185
,CYPRUS,2148,0,1700,0,2148,252,244,2140
,DENMARK,5999,3,5267,481,6483,629,2312,8164
,FINLAND,8886,0,7081,21,8907,94,1773,10584
,GREECE,6023,0,4887,242,6265,306,72,6031
,IRELAND,82125,2274,65721,5977,90376,10414,3505,83471
,ISRAEL,5259,227,4380,1129,6615,575,381,6419
,NEW ZEALAND,2411,114,1907,1544,4069,827,140,3384
,NORWAY,11342,0,9569,80,11422,301,815,11934
,PORTUGAL,2417,0,1883,40,2457,37,246,2668
,SLOVAKIA,368,3,267,164,535,52,0,484
,SPAIN,33040,252,21775,1312,34604,901,2022,35727
,OTHER NON G-10 DEV.,13908,0,2052,0,13908,262,602,14248
,Total,206842,6741,150678,74296,287879,23056,16263,281094
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,32,130,90,201,363,24,0,339
,CZECH REPUBLIC,2732,351,2836,3100,6183,356,4,5830
,HUNGARY,1322,384,1595,1368,3074,217,21,2877
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3221,1584,4111,10304,15109,566,140,14685
,ROMANIA,446,417,649,1857,2720,118,13,2613
,RUSSIA,5143,770,4620,6721,12634,489,551,12739
,TURKEY,7775,651,6460,1583,10009,350,594,10254
,OTHER E. EUROPE,3083,60,2868,943,4086,139,110,4057
,Total,23754,4347,23229,26077,54178,2259,1433,53394
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,541,0,455,0,541,90,0,452
,ARGENTINA,3304,325,2553,3199,6828,893,42,5977
,BRAZIL,41481,1410,32589,35561,78452,4445,10696,84728
,CHILE,9592,4,7888,2738,12334,245,298,12388
,COLOMBIA,4473,64,3054,2780,7317,1046,325,6592
,COSTA RICA,352,219,389,584,1155,124,12,1044
,DOMINICAN REPUBLIC,1329,26,1029,344,1699,229,49,1518
,ECUADOR,2163,602,2356,0,2765,343,8,2429
,EL SALVADOR,437,251,573,0,688,137,41,592
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1418,146,1162,214,1778,137,141,1781
,HONDURAS,467,37,421,128,632,51,8,588
,MEXICO,16902,7876,13824,69994,94772,5771,1984,90988
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3438,594,3234,638,4670,228,478,4919
,URUGUAY,857,249,654,173,1279,91,94,1282
,VENEZUELA,479,0,208,4,483,306,46,225
,OTHER LAT. AM. & CAR.,40126,650,30063,685,41461,10495,991,31962
,Total,127359,12453,100452,117042,256854,24631,15213,247465
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,56494,4998,58935,33854,95346,3748,13881,105525
,INDIA,22722,3471,22112,42027,68220,3527,4400,69103
,INDONESIA,8862,3722,10117,4153,16737,1674,1284,16348
,"KOREA, SOUTH",37540,3752,38445,42043,83335,1172,5118,87868
,KUWAIT,9517,1,9200,281,9799,90,265,9974
,MALAYSIA,4229,1969,5084,10614,16812,802,699,16709
,PAKISTAN,575,29,604,922,1526,142,58,1442
,PHILIPPINES,3823,1562,4659,4918,10303,209,265,10365
,QATAR,13113,0,8397,50,13163,116,1711,14763
