,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2019
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3696,2835,6531,20068,11655,,2285,7116,1237,613,0,5,,613
,CANADA,6336,24757,31093,35052,23936,,9189,19067,1583,31638,0,14541,,31638
,FRANCE,1384,16741,18125,56876,17047,,11650,33691,6629,58483,142,33027,,58483
,GERMANY,18466,32464,50930,95191,84498,,22435,31466,5526,16670,132,9482,,16670
,ITALY,5366,5962,11328,44454,-3326,,2976,33996,6488,5275,171,2176,,5275
,JAPAN,5852,61130,66982,85364,211291,,7729,76642,22583,126894,0,72997,,126894
,LUXEMBOURG,66648,24412,91060,84346,-61881,,1874,10394,3658,10245,1,1517,,10245
,NETHERLANDS,34370,10407,44777,52199,-34075,,5773,16815,1270,2809,10,703,,2809
,SWEDEN,12,415,427,12698,255,,1398,6385,355,1626,6,1189,,1626
,SWITZERLAND,7380,2243,9623,34427,24517,,1895,7631,226,3036,0,746,,3036
,UNITED KINGDOM,916157,202787,1118944,253955,265769,,18878,72317,10775,52277,1060,36354,,52277
,Total,1065667,384153,1449820,774630,539686,,86082,315520,60330,309566,1522,172737,,309566
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,3936,41099,45035,55083,29692,,9481,28115,1020,8396,26,5793,,8396
