,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,32460,12033,701,11332,1557,46050,,4019,448,15967,17311,5830,,7170,350
,CANADA,108642,76795,16956,59839,25652,211089,,75954,14263,28955,29146,11190,,11871,357
,FRANCE,235120,25009,691,24318,20426,280555,,217047,3228,230712,235998,77843,,83894,1287
,GERMANY,162996,152907,2041,150866,34779,350682,,43846,3647,182465,184863,64806,,67179,1570
,ITALY,49612,6960,1294,5666,18761,75333,,5996,632,172903,179130,40622,,46838,406
,JAPAN,143135,344214,42546,301668,11080,498429,,84451,5294,104481,111887,38541,,45945,631
,LUXEMBOURG,72003,21693,4743,16950,8234,101930,,21443,2599,32897,33386,13467,,13940,538
,NETHERLANDS,58113,10704,31,10673,10299,79116,,27526,3539,128310,132527,44417,,48611,1057
,SWEDEN,23392,1048,1,1047,1367,25807,,7215,258,30960,31348,12185,,12567,101
,SWITZERLAND,75801,33393,6459,26934,7444,116638,,15993,3839,63836,64169,22110,,22424,1229
,UNITED KINGDOM,146497,385821,93426,292395,79760,612078,,125885,13522,295926,342864,110544,,113754,2974
,Total,1107771,1070577,168889,901688,219359,2397707,,629375,51269,1287412,1362629,441555,,474193,10500
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,30350,91298,3441,87857,14891,136539,,24960,1599,35804,35344,17897,,17441,536
,AUSTRIA,12415,151,0,151,481,13047,,3047,151,6948,7848,2408,,3306,38
,CYPRUS,2238,0,0,0,32,2270,,137,79,12,11,10,,9,25
,DENMARK,11733,446,1,445,2512,14691,,3912,117,16857,17478,6291,,6920,340
,FINLAND,16290,225,0,225,607,17122,,1951,245,14252,14763,5069,,5574,85
,GREECE,4373,242,0,242,2117,6732,,228,434,6392,7120,2589,,3316,32
,IRELAND,88999,15710,2087,13623,9192,113901,,17513,2055,9165,9602,4266,,4673,466
,ISRAEL,7973,1671,245,1426,1195,10839,,1491,233,3049,3169,1403,,1523,62
,NEW ZEALAND,2703,1534,50,1484,1263,5500,,846,36,988,974,545,,531,13
,NORWAY,14329,81,0,81,1175,15585,,3446,142,11151,11755,3603,,4204,112
,PORTUGAL,3071,26,0,26,606,3703,,554,137,8413,7306,4510,,3403,73
,SLOVAKIA,453,293,4,289,44,790,,79,48,122,168,77,,123,0
,SPAIN,35393,2269,225,2044,3609,41271,,6847,1733,69931,70385,24213,,24627,535
,OTHER NON G-10 DEV.,12960,0,0,0,315,13275,,569,11,355,362,229,,236,1
,Total,243280,113946,6053,107893,38039,395265,,65580,7020,183439,186285,73110,,75886,2318
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,141,591,303,288,24,756,,15,59,113,85,110,,82,2
,CZECH REPUBLIC,4155,3273,340,2933,293,7721,,559,243,143,116,95,,67,4
,HUNGARY,1532,1437,333,1104,374,3343,,170,223,1055,1113,598,,656,35
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,3692,12523,1375,11148,750,16965,,3152,558,639,731,318,,412,2
,ROMANIA,339,2352,653,1699,20,2711,,109,141,359,295,202,,138,0
,RUSSIA,3680,6173,792,5381,384,10237,,2594,487,24129,24764,9476,,10111,190
,TURKEY,7123,2439,725,1714,843,10405,,381,244,35593,35143,12667,,12184,583
,OTHER E. EUROPE,3759,759,2,757,54,4572,,100,197,2025,2426,1242,,1649,16
,Total,24421,29547,4523,25024,2742,56710,,7080,2152,64056,64673,24708,,25299,832
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1490,0,0,0,101,1591,,426,11,0,0,0,,0,58
,ARGENTINA,2424,4615,963,3652,40,7079,,504,115,11942,11774,4118,,3954,224
,BRAZIL,48305,38229,3040,35189,4340,90874,,1398,1889,38163,40041,13396,,15251,5248
,CHILE,10263,2669,11,2658,1113,14045,,483,181,5959,6691,2412,,3128,2377
,COLOMBIA,5514,2455,71,2384,397,8366,,410,314,13671,14624,4483,,5469,544
,COSTA RICA,519,883,243,640,37,1439,,58,112,4,5,4,,5,135
,DOMINICAN REPUBLIC,941,420,24,396,20,1381,,41,106,10,14,10,,14,187
,ECUADOR,1264,548,526,22,173,1985,,60,169,287,856,265,,834,138
,EL SALVADOR,611,260,260,0,2,873,,36,9,1,2,1,,2,162
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1864,316,89,227,70,2250,,43,173,20,20,0,,0,687
,HONDURAS,527,161,33,128,2,690,,29,91,0,0,0,,0,173
,MEXICO,21711,67286,7461,59825,4834,93831,,22169,2321,43387,44108,18154,,18870,719
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,4054,1723,411,1312,172,5949,,774,454,5404,5860,2105,,2562,672
,URUGUAY,875,502,228,274,140,1517,,41,84,139,196,130,,187,166
,VENEZUELA,1062,4,0,4,2,1068,,568,20,247,258,212,,223,17
,OTHER LAT. AM. & CAR.,38489,1857,1086,771,1754,42100,,3358,7137,434,850,317,,723,342
,Total,139913,121928,14446,107482,13197,275038,,30398,13186,119668,125299,45607,,51222,11849
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,71836,40029,5814,34215,5351,117216,,7170,2135,38166,40367,17571,,19788,5772
,INDIA,20907,49553,4561,44992,1520,71980,,12270,3461,5239,5685,2707,,3151,5800
,INDONESIA,7251,7949,3114,4835,578,15778,,2487,303,17948,18254,6438,,6754,828
,"KOREA, SOUTH",45730,45420,3791,41629,5759,96909,,12751,2636,41064,40351,17708,,16123,5369
,KUWAIT,13041,333,1,332,132,13506,,746,147,87,85,87,,85,593
,MALAYSIA,4982,12810,6032,6778,799,18591,,4733,841,17577,16155,7482,,6061,281
,PAKISTAN,512,865,175,690,25,1402,,82,162,16,76,14,,75,162
,PHILIPPINES,3176,6208,1337,4871,152,9536,,476,273,7328,7424,3274,,3371,257
,QATAR,12884,63,0,63,339,13286,,156,148,4706,5487,2414,,3193,1465
,SAUDI ARABIA,30566,1257,288,969,927,32750,,2662,214,8330,9043,3081,,3793,1372
,TAIWAN,29581,27093,7147,19946,1247,57921,,14139,462,74,100,54,,80,1182
,THAILAND,2772,9644,2735,6909,981,13397,,10537,222,3124,3178,1613,,1666,156
,UNITED ARAB EMIRATES,14975,7148,3645,3503,2194,24317,,5870,613,3241,4468,2040,,3267,1376
,WEST BANK AND GAZA,0,0,0,0,0,0,,1,3,0,0,0,,0,3
