,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,4638,2906,7544,24445,11841,,2268,9045,1570,1721,0,405,,1721
,CANADA,8385,29547,37932,41863,32692,,19805,20266,2891,38824,433,11777,,38606
,FRANCE,3033,11746,14779,76693,27479,,13973,42994,9202,127876,80,41043,,127876
,GERMANY,17845,51507,69352,120336,133574,,26985,36897,9352,40089,22,11790,,40089
,ITALY,1476,10456,11932,54436,-2931,,2881,33693,8348,5087,46,1568,,5087
,JAPAN,6771,79154,85925,107891,261921,,14811,93652,15961,161154,9,100671,,161154
,LUXEMBOURG,71614,40361,111975,105974,-67139,,2775,11734,585,17275,7,1357,,17248
,NETHERLANDS,31024,11659,42683,68024,-34499,,7366,16276,2428,1855,11,748,,1818
,SWEDEN,7,448,455,15949,-54,,3416,7646,469,1725,0,1205,,1725
,SWITZERLAND,9233,2697,11930,42318,26519,,2439,6324,409,27022,71,20282,,26998
,UNITED KINGDOM,1134294,268228,1402522,356764,212668,,22591,75567,13100,84793,534,47221,,84752
,Total,1288320,508709,1797029,1014693,602071,,119310,354094,64315,507421,1213,238067,,507074
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,10861,64424,75285,93262,26848,,13233,29501,1096,9030,269,5592,,9030
,AUSTRIA,82,368,450,8337,-367,,3311,5141,1577,1444,67,1243,,1444
,CYPRUS,0,0,0,2504,-2,,0,727,18,365,0,170,,365
,DENMARK,4,233,237,11693,248,,192,3007,157,3221,2,324,,3221
,FINLAND,0,156,156,7381,23,,2932,4811,1096,3085,0,419,,3085
,GREECE,39,1055,1094,4477,-844,,0,629,109,2714,0,1796,,2714
,IRELAND,17133,16877,34010,123480,57681,,7855,18480,780,27518,53,2097,,27477
,ISRAEL,1122,1501,2623,6814,-637,,698,4779,78,130,0,117,,130
,NEW ZEALAND,23,776,799,6133,978,,451,1154,39,128,0,76,,128
,NORWAY,0,441,441,9960,-297,,2018,2905,153,2927,2,305,,2927
,PORTUGAL,12,197,209,2511,-174,,36,2165,463,124,0,1,,124
,SLOVAKIA,177,346,523,1126,-150,,44,143,3,110,0,96,,110
,SPAIN,456,2170,2626,24007,440,,3700,15934,3585,1352,1,732,,1352
,OTHER NON G-10 DEV.,1,1,2,6736,0,,13,263,0,1751,0,704,,1751
,Total,29910,88545,118455,308421,83747,,34483,89639,9154,53899,394,13672,,53858
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,297,312,609,1415,29,,49,27,0,28,0,0,,28
,CZECH REPUBLIC,971,1341,2312,3121,1197,,243,290,55,5716,0,5603,,5716
,HUNGARY,894,901,1795,3149,39,,686,924,73,267,0,267,,267
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3471,9178,12649,14383,1946,,5446,3491,499,351,0,335,,351
,ROMANIA,452,1716,2168,2151,254,,1291,667,55,75,0,71,,75
,RUSSIA,2407,4701,7108,16050,-290,,860,2208,704,1268,0,1082,,1268
,TURKEY,697,1232,1929,4030,711,,489,2262,154,1208,0,1205,,1208
,OTHER E. EUROPE,388,642,1030,5543,-213,,58,1745,293,1429,3,238,,1429
,Total,9577,20023,29600,49842,3673,,9122,11614,1833,10342,3,8801,,10342
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,32,0,32,640,0,,0,0,0,1123,0,11,,1123
,ARGENTINA,1404,2108,3512,3726,1772,,46,1653,59,132,12,132,,120
,BRAZIL,946,12676,13622,14474,21980,,4573,26731,1042,16434,0,16186,,16434
,CHILE,13,134,147,1118,2505,,389,1569,151,13,0,10,,13
,COLOMBIA,28,2065,2093,2740,618,,971,932,174,125,0,124,,125
,COSTA RICA,243,450,693,732,414,,167,155,4,36,0,35,,36
,DOMINICAN REPUBLIC,81,254,335,359,52,,160,135,14,1,0,0,,1
,ECUADOR,568,9,577,1090,86,,38,625,4,0,0,0,,0
,EL SALVADOR,237,1,238,235,86,,133,13,0,40,0,40,,40
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,174,214,388,391,7,,217,3,2,0,0,0,,0
,HONDURAS,30,94,124,114,46,,89,30,0,0,0,0,,0
,MEXICO,6431,50488,56919,60148,17862,,14112,8759,740,3960,0,1635,,3936
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,448,1002,1450,1345,465,,379,563,90,388,0,194,,388
,URUGUAY,844,158,1002,566,2425,,14,353,10,0,0,0,,0
,VENEZUELA,2,1,3,67,19,,0,15,2,1,0,0,,1
,OTHER LAT. AM. & CAR.,1103,604,1707,39508,773,,448,4823,90,6276,3,1821,,6276
,Total,12584,70258,82842,127253,49110,,21736,46359,2382,28529,15,20188,,28493
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6613,25807,32420,55421,10171,,7918,39588,213,6673,0,1286,,6672
,INDIA,3035,34237,37272,34253,19282,,13450,16279,1290,1938,0,1677,,1938
,INDONESIA,1860,4294,6154,9239,2736,,1045,4131,289,339,0,128,,339
,"KOREA, SOUTH",5041,26955,31996,46071,17876,,11861,16028,93,17122,1,5612,,17122
,KUWAIT,94,179,273,6933,46,,91,881,1,10129,0,1135,,10129
,MALAYSIA,3859,7150,11009,15635,3009,,1537,2354,9,783,0,545,,783
,PAKISTAN,44,727,771,720,184,,483,508,4,65,0,65,,65
,PHILIPPINES,2945,3935,6880,8830,1990,,766,641,36,1745,0,1015,,1745
,QATAR,20,66,86,4396,-19,,17,6202,165,2420,0,1977,,2420
,SAUDI ARABIA,382,161,543,44956,737,,298,1766,220,14617,0,1393,,14617
,TAIWAN,12897,12299,25196,44750,6916,,1477,10851,95,13661,0,1705,,13661
,THAILAND,1763,6664,8427,12375,1915,,3147,1958,35,1175,0,1153,,1175
,UNITED ARAB EMIRATES,9538,2654,12192,15237,2290,,143,1703,112,4682,2,1658,,4682
,WEST BANK AND GAZA,0,0,0,93,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,3710,2494,6204,15815,-998,,665,1663,98,409,0,14,,409
,Total,51801,127622,179423,314724,66135,,42898,104553,2660,75758,3,19363,,75757
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,218,1085,1303,1154,233,,409,36,0,0,0,0,,0
,EGYPT,230,1068,1298,1225,446,,588,5672,78,1812,0,1579,,1812
,GHANA,0,0,0,255,0,,0,211,53,1051,0,0,,1051
,KENYA,218,417,635,792,254,,432,81,48,0,0,0,,0
,MOROCCO,224,497,721,1025,-146,,224,37,2,50,0,50,,50
,NIGERIA,513,721,1234,3888,612,,334,1573,49,6350,0,450,,6350
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,689,3490,4179,10401,2183,,1836,4269,541,995,19,666,,995
,SOUTH SUDAN,0,0,0,2,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,771,1510,2281,7531,25,,408,689,86,163,0,117,,163
,Total,2863,8788,11651,26273,3607,,4231,12568,857,10421,19,2862,,10421
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,10120,146,10266,7043,-15602,,35,21,0,5763,20,1807,,5763
,BAHRAIN,229,232,461,1208,-8,,152,229,4,611,3,353,,611
,BERMUDA,880,7,887,18804,2682,,230,4704,357,2241,0,143,,2240
,CAYMAN ISLANDS,53194,3698,56892,179014,18244,,76374,32786,984,259029,7074,66490,,258818
,HONG KONG,70463,35548,106011,76901,4772,,10537,14246,89,5736,17,577,,5713
,LEBANON,156,60,216,1188,-19,,0,336,13,0,0,0,,0
,MAURITIUS,536,1,537,2528,3386,,0,597,6,73,0,41,,73
,PANAMA,824,12,836,1490,-103,,404,309,54,229,0,162,,229
,SINGAPORE,66860,22332,89192,70907,22954,,13564,5290,41,29869,18,9716,,29869
,OTHER BANKING CENTERS,34771,3534,38305,21879,-24678,,683,4046,94,2093,0,164,,2093
,Total,238033,65570,303603,380962,11628,,101979,62564,1642,305644,7132,79453,,305409
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,320,0,,706,398,9,0,0,0,,0
,ASIAN,0,0,0,199,0,,5013,978,84,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,6161,0,,15172,6763,1965,141,0,0,,141
,INTERNATIONAL,0,0,0,1915,0,,8562,3179,418,1647,0,959,,1568
,LATIN AMERICAN,0,0,0,127,0,,4285,951,40,125,0,125,,125
,MIDDLE EASTERN,0,0,0,240,0,,0,50,1,3,0,0,,3
,Total,0,0,0,8962,0,,33738,12319,2517,1916,0,1084,,1837
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,191690,-820702,,3175519,1185348,86858,804105,10455,616768,,792741
,,,,,,,,,,,,,,,
