,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,2034,690,2216,8449,11173,285,498,11383
,CANADA,42360,3690,26875,17946,63996,2608,6300,67646
,FRANCE,50656,0,44586,954,51610,800,15877,66673
,GERMANY,18543,40,9691,18157,36740,2267,33476,67943
,ITALY,1628,13,1090,1283,2924,80,698,3542
,JAPAN,26581,6730,26288,23798,57109,1623,15754,71239
,LUXEMBOURG,12235,362,9994,6551,19148,1412,1697,19433
,NETHERLANDS,8820,22,1957,375,9217,2454,1830,8551
,SWEDEN,4116,2,2112,737,4855,161,1289,5982
,SWITZERLAND,3710,21,3067,609,4340,140,42790,46946
,UNITED KINGDOM,101859,13316,91834,45597,160772,36037,7810,132538
,Total,272542,24886,219710,124456,421884,47867,128019,501876
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,6668,36,3074,10789,17493,1839,1036,16690
,AUSTRIA,1365,0,278,158,1523,28,203,1699
,CYPRUS,12,0,12,0,12,0,79,90
,DENMARK,1700,0,1302,8,1708,747,85,1034
,FINLAND,1299,2,493,189,1490,18,421,1893
,GREECE,29,0,25,0,29,16,4,17
,IRELAND,15002,157,11706,6892,22051,6598,1314,16765
,ISRAEL,1403,0,747,1,1404,146,419,1677
,NEW ZEALAND,532,0,211,306,838,176,33,693
,NORWAY,3187,0,1601,22,3209,304,475,3379
,PORTUGAL,316,5,110,0,321,109,2,214
,SLOVAKIA,9,0,9,0,9,7,2,5
,SPAIN,4136,32,2070,504,4672,219,735,5185
,OTHER NON G-10 DEV.,262,0,149,0,262,127,53,187
,Total,35920,232,21787,18869,55021,10334,4861,49528
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,52,0,22,0,52,16,10,46
,CZECH REPUBLIC,180,0,179,0,180,51,45,174
,HUNGARY,169,0,163,4,173,100,12,85
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,275,0,266,79,354,67,64,351
,ROMANIA,81,0,81,0,81,74,0,7
,RUSSIA,202,0,189,31,233,1,16,246
,TURKEY,192,0,83,0,192,44,18,164
,OTHER E. EUROPE,134,20,129,0,154,76,20,98
,Total,1285,20,1112,114,1419,429,185,1171
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,1108,0,1096,0,1108,57,56,1107
,ARGENTINA,577,475,464,317,1369,384,153,1126
,BRAZIL,6235,106,4887,412,6753,898,2372,8169
,CHILE,1699,0,1368,31,1730,330,56,1457
,COLOMBIA,940,0,575,0,940,186,137,880
,COSTA RICA,222,0,179,0,222,104,8,118
,DOMINICAN REPUBLIC,486,0,262,0,486,171,8,157
,ECUADOR,383,0,221,22,405,235,58,212
,EL SALVADOR,213,0,205,0,213,77,17,151
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,352,0,288,0,352,120,16,241
,HONDURAS,127,1,110,0,128,70,2,55
,MEXICO,5768,25,3353,2800,8593,1996,781,7364
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,535,0,267,0,535,64,29,500
,URUGUAY,221,3,168,0,224,151,6,77
,VENEZUELA,818,0,433,0,818,468,123,461
,OTHER LAT. AM. & CAR.,3612,416,2397,0,4028,1840,287,2376
,Total,23296,1026,16273,3582,27904,7151,4109,24451
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,4488,775,3444,1420,6683,764,3336,9241
,INDIA,955,6,832,1691,2652,736,194,2111
,INDONESIA,593,1,549,8,602,322,58,338
,"KOREA, SOUTH",2803,71,2792,237,3111,832,1027,3306
,KUWAIT,1062,70,1009,0,1132,76,154,1210
,MALAYSIA,977,0,965,35,1012,2,239,1249
,PAKISTAN,38,0,36,0,38,34,14,18
,PHILIPPINES,317,47,321,96,460,80,8,385
,QATAR,898,0,875,0,898,41,42,899
,SAUDI ARABIA,2506,0,2165,34,2540,291,54,2303
,TAIWAN,1787,89,1577,287,2163,64,619,2717
,THAILAND,104,0,49,79,183,26,12,169
,UNITED ARAB EMIRATES,1200,32,1045,1,1233,270,49,1012
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1414,0,320,14,1428,938,185,671
,Total,19142,1091,15979,3902,24135,4476,5991,25629
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0
,EGYPT,212,0,210,0,212,65,0,147
,GHANA,20,0,20,0,20,2,0,18
,KENYA,15,0,13,0,15,2,0,13
,MOROCCO,8,0,7,0,8,2,0,6
,NIGERIA,325,0,319,0,325,55,0,269
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,244,11,221,0,255,32,10,233
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,473,17,97,0,490,185,212,517
,Total,1297,28,887,0,1325,343,222,1203
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,8662,0,8389,0,8662,7875,48,822
,BAHRAIN,211,0,152,0,211,131,2,82
