,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1301,837,1,2139,1222,689,246,8195,12,8453,54,0,118,1,0,119,,180,0
,CANADA,22247,7199,1024,30470,19480,1438,2307,1112,500,3919,2284,517,10023,1115,736,11874,,10321,69
,FRANCE,59559,9,442,60010,45642,0,2640,134,58,2832,1786,0,1736,141,10,1887,,1431,0
,GERMANY,39262,223,1796,41281,9626,27,5014,17013,16,22043,3901,0,1374,105,22,1501,,1008,10
,ITALY,719,121,0,840,80,13,1404,216,0,1620,1404,0,34,0,2,36,,80,0
,JAPAN,20179,7424,163,27766,7761,6616,11579,19634,0,31213,11579,0,6445,200,70,6715,,6341,0
,LUXEMBOURG,570,529,34,1133,670,214,31,5996,0,6027,29,0,9305,282,321,9908,,9155,122
,NETHERLANDS,1965,8,2,1975,1445,5,1065,202,6,1273,849,1,780,99,14,893,,589,9
,SWEDEN,3638,629,0,4267,2359,0,843,10,0,853,956,0,256,2,1,259,,256,2
,SWITZERLAND,44338,380,218,44936,2194,1,288,0,1,289,288,0,627,251,24,902,,465,20
,UNITED KINGDOM,39254,10261,947,50462,68353,8171,3024,29901,2,32927,791,0,22904,6206,2981,32091,,23438,4001
,Total,233032,27620,4627,265279,158832,17174,28441,82413,595,111449,23921,518,53602,8402,4181,66185,,53264,4233
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,3681,5798,158,9637,4165,9,9,384,39,432,2,0,658,73,2489,3220,,684,21
,AUSTRIA,1024,1,5,1030,836,0,381,98,0,479,381,0,29,1,7,37,,21,0
,CYPRUS,2,0,0,2,3,0,0,0,0,0,0,0,8,0,0,8,,8,0
,DENMARK,808,0,21,829,1472,0,93,0,0,93,93,0,34,0,0,34,,34,0
,FINLAND,797,131,0,928,446,0,408,0,0,408,355,0,452,2,0,454,,450,2
,GREECE,9,0,0,9,11,0,2,0,0,2,2,0,0,0,0,0,,0,0
,IRELAND,574,127,1,702,2732,28,295,6723,3,7021,295,0,3482,198,443,4123,,6819,129
,ISRAEL,330,0,2,332,329,0,518,1,0,519,516,0,15,0,0,15,,15,0
,NEW ZEALAND,80,6,0,86,134,0,0,5,0,5,0,0,126,50,27,203,,123,0
,NORWAY,1571,1,26,1598,1690,0,1015,0,0,1015,746,0,500,7,103,610,,500,0
,PORTUGAL,0,0,0,0,0,0,179,0,0,179,179,0,1,5,1,7,,1,5
,SLOVAKIA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,2017,215,93,2325,1435,0,1459,46,0,1505,1459,0,143,0,0,143,,142,0
,OTHER NON G-10 DEV.,10,0,0,10,15,0,0,0,0,0,0,0,43,0,5,48,,92,0
,Total,10905,6279,306,17490,13268,37,4359,7257,42,11658,4028,0,5491,336,3075,8902,,8889,157
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,10,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,146,0,0,146,144,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HUNGARY,41,0,0,41,74,0,0,0,0,0,0,0,3,0,0,3,,3,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,231,32,0,263,200,0,1,5,0,6,1,0,1,4,0,5,,1,0
,ROMANIA,1,0,0,1,28,0,0,0,0,0,0,0,3,0,0,3,,3,0
,RUSSIA,76,13,0,89,64,0,0,1,0,1,0,0,95,0,0,95,,94,0
,TURKEY,77,0,0,77,77,0,0,0,0,0,0,0,3,0,0,3,,0,0
,OTHER E. EUROPE,27,0,0,27,8,0,42,0,0,42,42,0,1,20,0,21,,1,20
,Total,609,45,0,654,596,0,43,6,0,49,43,0,106,24,0,130,,102,20
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,47,0,3,0,0,3,3,0,1092,0,0,1092,,1045,0
,ARGENTINA,3,186,0,189,152,104,16,20,0,36,7,2,5,1,1,7,,1,0
,BRAZIL,2632,399,5,3036,2222,105,1702,120,0,1822,1687,0,603,3,12,618,,402,0
,CHILE,1000,21,2,1023,993,0,99,1,1,101,99,0,25,0,0,25,,30,0
,COLOMBIA,445,0,6,451,480,0,33,0,1,34,33,0,21,0,0,21,,13,0
,COSTA RICA,86,0,0,86,99,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DOMINICAN REPUBLIC,98,0,0,98,266,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ECUADOR,33,22,0,55,61,0,2,0,0,2,2,0,1,0,0,1,,1,0
,EL SALVADOR,65,0,0,65,88,0,72,0,0,72,72,0,6,0,0,6,,4,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,174,0,0,174,192,0,0,0,0,0,0,0,1,0,0,1,,4,0
,HONDURAS,21,0,0,21,58,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MEXICO,559,526,0,1085,472,1,948,209,0,1157,927,0,229,111,13,353,,317,0
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,203,0,0,203,194,0,2,0,0,2,1,0,3,0,0,3,,1,0
,URUGUAY,1,0,5,6,1,0,15,0,0,15,15,0,16,0,4,20,,17,0
,VENEZUELA,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,1,,0,0
,OTHER LAT. AM. & CAR.,0,3,0,3,18,3,6,45,0,51,71,45,475,0,35,510,,748,0
