,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,233,548,781,21858,2360,,2042,9023,1570,1606,0,405,,1606
,CANADA,6282,24767,31049,35772,28227,,8045,18265,2722,25336,10,9449,,25336
,FRANCE,3033,11552,14585,76014,26577,,10050,42661,9123,90235,80,38492,,90235
,GERMANY,16404,45965,62369,114015,119015,,18862,36633,9347,15547,22,11778,,15547
,ITALY,1475,9957,11432,51597,-3651,,1474,33625,8335,5085,46,1568,,5085
,JAPAN,6752,75360,82112,103691,235732,,9758,86020,15855,149145,9,97071,,149145
,LUXEMBOURG,59445,35355,94800,89758,-61762,,2554,11512,548,9747,7,1330,,9747
,NETHERLANDS,29748,9006,38754,61257,-36145,,3896,15935,2395,1779,11,711,,1779
,SWEDEN,7,407,414,13531,-107,,818,7597,461,1724,0,1205,,1724
,SWITZERLAND,9231,2671,11902,40617,26144,,1867,5738,328,4170,71,270,,4170
,UNITED KINGDOM,1057120,224796,1281916,304158,235828,,11220,74260,12859,60301,451,46511,,60301
,Total,1189730,440384,1630114,912268,572218,,70586,341269,63543,364675,707,208790,,364675
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5080,56777,61857,80199,27759,,9201,29258,1056,8981,269,5589,,8981
,AUSTRIA,82,331,413,8052,-382,,2351,5141,1577,1443,67,1243,,1443
,CYPRUS,0,0,0,2442,-2,,0,727,18,365,0,170,,365
,DENMARK,4,232,236,9775,240,,8,2988,154,3213,2,324,,3213
,FINLAND,0,153,153,6573,-24,,1805,4782,1071,3049,0,419,,3049
,GREECE,39,1055,1094,4348,-845,,0,625,109,2713,0,1796,,2713
,IRELAND,10484,11543,22027,100692,53902,,7241,18117,757,25262,42,2050,,25262
,ISRAEL,1110,1498,2608,6502,-637,,212,4702,78,128,0,117,,128
,NEW ZEALAND,20,765,785,3561,750,,286,1074,39,123,0,76,,123
,NORWAY,0,185,185,7744,-120,,49,2887,149,2828,2,293,,2828
,PORTUGAL,12,197,209,2374,-174,,1,2165,463,122,0,1,,122
,SLOVAKIA,177,346,523,1126,-150,,44,143,3,110,0,96,,110
,SPAIN,217,1885,2102,23361,18,,1609,15560,3526,1209,1,732,,1209
,OTHER NON G-10 DEV.,0,1,1,6559,0,,0,262,0,1748,0,704,,1748
,Total,17225,74968,92193,263308,80335,,22807,88431,9000,51294,383,13610,,51294
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,297,312,609,1247,29,,49,27,0,0,0,0,,0
,CZECH REPUBLIC,971,1341,2312,3092,1196,,243,290,55,5715,0,5603,,5715
,HUNGARY,894,900,1794,3097,25,,686,924,73,267,0,267,,267
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3470,9061,12531,14241,1878,,5446,3488,499,351,0,335,,351
,ROMANIA,452,1716,2168,2146,254,,1291,667,55,75,0,71,,75
,RUSSIA,2407,4699,7106,15699,-341,,860,2181,678,1268,0,1082,,1268
,TURKEY,697,1232,1929,3788,711,,479,2262,154,1205,0,1205,,1205
,OTHER E. EUROPE,368,642,1010,4925,-213,,58,1708,293,1424,3,238,,1424
,Total,9556,19903,29459,48235,3539,,9112,11547,1807,10305,3,8801,,10305
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,135,0,,0,0,0,145,0,11,,145
,ARGENTINA,998,1950,2948,2882,1159,,44,1645,57,120,0,120,,120
,BRAZIL,946,12380,13326,14149,21767,,4304,24947,1039,16433,0,16186,,16433
,CHILE,13,131,144,923,2409,,248,1490,151,13,0,10,,13
,COLOMBIA,28,2065,2093,2739,618,,927,927,172,119,0,119,,119
,COSTA RICA,243,450,693,732,414,,167,155,4,35,0,35,,35
,DOMINICAN REPUBLIC,81,254,335,359,52,,160,135,14,0,0,0,,0
