,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,9852,3,684,10539,10527,2,9660,2685,492,12837,8412,0,6238,185,63,6486,,6235,83
,CANADA,17283,5185,5076,27544,14632,1003,8571,12203,3751,24525,8429,35,21167,12635,12058,45860,,21417,1134
,FRANCE,21474,635,9122,31231,19113,105,28825,9821,3629,42275,27653,173,100188,5581,4405,110174,,99556,188
,GERMANY,12838,1553,6396,20787,11642,610,51741,115616,11451,178808,44368,0,25011,15400,8477,48888,,31571,1006
,ITALY,7122,120,1272,8514,7123,53,25601,607,15174,41382,25477,0,6909,2031,1589,10529,,6846,925
,JAPAN,55686,36744,3026,95456,44282,31631,19133,150919,2495,172547,19003,85,8816,93847,4249,106912,,8525,489
,LUXEMBOURG,1433,205,78,1716,3465,46,1086,7030,20,8136,1084,0,42155,4272,6940,53367,,44302,1959
,NETHERLANDS,4918,26,5078,10022,4592,0,3713,8573,664,12950,3477,0,18580,22,1616,20218,,18894,5
,SWEDEN,5182,1,135,5318,7465,0,1612,291,66,1969,1572,1,3611,5,1042,4658,,3667,0
,SWITZERLAND,7801,190,1497,9488,6198,106,2906,27321,91,30318,2845,11,5132,2737,3947,11816,,4957,3147
,UNITED KINGDOM,8714,29182,19085,56981,10338,35342,3879,126662,19314,149855,3549,17769,35466,123147,28862,187475,,33728,41269
,Total,152303,73844,51449,277596,139377,68898,156727,461728,57147,675602,145869,18074,273273,259862,73248,606383,,279698,50205
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5945,7586,1850,15381,5616,266,3548,35393,460,39401,3547,232,9105,18626,8962,36693,,8981,1653
,AUSTRIA,1095,0,177,1272,1104,0,7501,0,159,7660,7360,0,576,1,34,611,,624,0
,CYPRUS,188,0,11,199,188,0,118,0,0,118,118,0,1211,0,10,1221,,1189,0
,DENMARK,3883,4,642,4529,2488,0,813,429,215,1457,386,0,3512,0,1358,4870,,3564,0
,FINLAND,5269,22,168,5459,3032,0,4378,9,187,4574,4319,0,1666,0,153,1819,,1716,0
,GREECE,3594,0,756,4350,3597,0,433,20,1287,1740,433,0,37,49,7,93,,35,0
,IRELAND,777,238,85,1100,592,197,2812,2999,32,5843,2809,1,60202,2120,7567,69889,,61044,586
,ISRAEL,540,38,224,802,545,10,3169,1310,156,4635,3415,3,375,21,614,1010,,368,0
,NEW ZEALAND,383,192,174,749,440,0,123,721,492,1336,122,0,1301,101,371,1773,,1307,0
,NORWAY,2632,0,45,2677,2036,0,4366,57,66,4489,3987,0,1407,0,637,2044,,1517,0
,PORTUGAL,755,3,17,775,712,0,1267,3,158,1428,1267,0,136,0,18,154,,136,0
,SLOVAKIA,80,1,5,86,80,0,220,102,12,334,220,0,3,10,0,13,,3,0
,SPAIN,3948,153,1382,5483,3976,13,10820,481,278,11579,10634,0,6693,96,710,7499,,6620,45
,OTHER NON G-10 DEV.,341,0,24,365,458,0,11086,0,131,11217,11086,0,781,0,102,883,,703,0
,Total,29430,8237,5560,43227,24864,486,50654,41524,3633,95811,49703,236,87005,21024,20543,128572,,87807,2284
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,57,5,2,64,57,0,10,450,0,460,10,241,1,11,12,24,,1,11
,CZECH REPUBLIC,671,6,15,692,689,2,142,2661,68,2871,143,0,25,29,2,56,,25,7
,HUNGARY,258,124,71,453,288,80,904,913,31,1848,896,58,79,3,18,100,,79,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,546,433,360,1339,551,222,1706,6895,0,8601,1701,654,611,687,101,1399,,610,2
,ROMANIA,31,6,14,51,65,4,163,1922,1,2086,147,445,66,91,1,158,,65,73
,RUSSIA,1042,486,158,1686,1035,150,557,2412,92,3061,557,0,103,1265,57,1425,,103,281
,TURKEY,4057,62,671,4790,4157,2,507,1615,0,2122,506,329,389,55,16,460,,426,4
,OTHER E. EUROPE,204,4,3,211,204,2,2880,635,25,3540,2912,0,21,0,6,27,,16,0
,Total,6866,1126,1294,9286,7046,462,6869,17503,217,24589,6872,1727,1295,2141,213,3649,,1325,378
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,308,0,101,409,,309,0
,ARGENTINA,389,49,0,438,386,24,205,3068,25,3298,199,397,73,30,0,103,,74,0
,BRAZIL,8560,11299,792,20651,3105,59,10635,18726,25,29386,10694,1284,2496,1489,790,4775,,1933,0
,CHILE,5812,16,267,6095,5686,8,435,709,25,1169,426,0,793,1846,374,3013,,811,0
,COLOMBIA,2575,68,58,2701,2529,29,525,1554,22,2101,522,40,276,254,233,763,,434,0
,COSTA RICA,247,125,0,372,256,40,36,672,0,708,33,161,24,34,1,59,,40,34
