,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3030,1966,4996,835,10951,,532,20,0,62,0,0,,62
,CANADA,1859,4169,6028,5591,4389,,13888,1688,174,11156,745,1785,,10941
,FRANCE,75,174,249,440,1008,,5654,345,38,6186,0,3174,,6186
,GERMANY,895,5224,6119,5277,14703,,8450,248,4,23344,0,23,,23344
,ITALY,0,511,511,3507,758,,1089,53,5,2,0,0,,2
,JAPAN,26,3713,3739,4608,25765,,7285,6908,93,14895,0,3956,,14895
,LUXEMBOURG,10474,4771,15245,15188,-4983,,302,231,29,7142,0,28,,7114
,NETHERLANDS,1510,2089,3599,6711,1836,,4321,560,60,81,0,14,,67
,SWEDEN,0,39,39,1437,39,,2756,11,4,2,0,1,,2
,SWITZERLAND,2,29,31,1427,351,,785,449,96,1398,0,16,,1382
,UNITED KINGDOM,72175,45113,117288,51349,-18792,,12357,1027,151,21349,209,674,,21318
,Total,90046,67798,157844,96370,36025,,57419,11540,654,85617,954,9671,,85313
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6584,8858,15442,14497,-2959,,5185,234,30,21,0,2,,21
,AUSTRIA,0,42,42,359,14,,944,1,0,13,0,0,,13
,CYPRUS,0,0,0,52,0,,0,0,0,0,0,0,,0
,DENMARK,0,2,2,1783,4,,237,12,4,0,0,0,,0
,FINLAND,0,4,4,478,32,,1048,6,6,17,0,0,,17
,GREECE,0,0,0,141,1,,0,5,0,0,0,0,,0
,IRELAND,6291,4787,11078,22239,4927,,886,152,10,3935,581,199,,3775
,ISRAEL,0,4,4,273,-1,,440,205,0,4,0,0,,4
,NEW ZEALAND,0,39,39,1248,204,,119,32,0,1,0,0,,1
,NORWAY,0,240,240,1549,-77,,1908,20,14,134,0,20,,134
,PORTUGAL,0,0,0,58,0,,68,0,0,6,0,0,,6
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,299,400,699,732,101,,2672,57,30,148,0,0,,148
,OTHER NON G-10 DEV.,0,0,0,189,0,,13,0,0,0,0,0,,0
,Total,13174,14376,27550,43598,2246,,13520,724,94,4279,581,221,,4119
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,162,0,,0,0,0,32,0,0,,32
,CZECH REPUBLIC,0,0,0,21,0,,0,0,0,1,0,0,,1
,HUNGARY,3,1,4,4,44,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,130,130,113,68,,20,3,0,0,0,0,,0
,ROMANIA,0,0,0,3,0,,6,0,0,0,0,0,,0
,RUSSIA,0,3,3,369,38,,5,8,7,0,0,0,,0
,TURKEY,0,0,0,159,0,,17,0,0,3,0,0,,3
,OTHER E. EUROPE,0,0,0,534,0,,8,2,0,1,0,0,,1
,Total,3,134,137,1365,150,,56,13,7,37,0,0,,37
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,329,0,,0,0,0,1745,0,0,,1745
,ARGENTINA,344,153,497,782,607,,2,49,1,10,9,9,,1
,BRAZIL,0,227,227,267,204,,299,2369,14,1,0,0,,1
,CHILE,0,3,3,99,97,,167,80,0,0,0,0,,0
,COLOMBIA,0,0,0,3,0,,62,6,5,1,0,0,,1
,COSTA RICA,0,0,0,0,0,,0,0,0,1,0,0,,1
,DOMINICAN REPUBLIC,0,0,0,0,0,,0,0,0,0,0,0,,0
,ECUADOR,0,0,0,1,0,,0,2,1,0,0,0,,0
,EL SALVADOR,0,0,0,0,0,,0,1,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,0,0,0,0,0,,0,0,0,0,0,0,,0
,HONDURAS,0,0,0,0,0,,0,0,0,0,0,0,,0
,MEXICO,84,411,495,593,3303,,493,29,15,891,0,260,,881
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,0,0,0,1654,0,,37,4,0,0,0,0,,0
,URUGUAY,4,0,4,118,0,,15,3,0,0,0,0,,0
,VENEZUELA,0,0,0,1,0,,0,0,0,1,0,0,,1
,OTHER LAT. AM. & CAR.,638,0,638,1428,-240,,5,58,1,7,0,0,,7
,Total,1072,794,1866,5275,3971,,1080,2601,37,2657,9,269,,2638
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
