,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2020
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,492,10,502,23,26,49,0,551,363,8,371,0,,0,0
,CANADA,9315,2535,11850,5202,6349,11551,812,24213,8101,2486,10587,1376,,19,1395
,FRANCE,1701,108,1809,357,593,950,3,2762,1899,89,1988,0,,0,0
,GERMANY,3390,588,3978,370,429,799,3,4780,3253,591,3844,2,,0,2
,ITALY,61,37,98,351,603,954,0,1052,21,26,47,0,,0,0
,JAPAN,1531,308,1839,1621,2056,3677,6,5522,664,300,964,113,,0,113
,LUXEMBOURG,2867,60,2927,124,0,124,35,3086,2610,11,2621,30,,0,30
,NETHERLANDS,4227,39,4266,57,87,144,210,4620,5267,37,5304,0,,0,0
,SWEDEN,289,265,554,5,80,85,0,639,319,264,583,0,,0,0
,SWITZERLAND,1062,108,1170,4,0,4,23,1197,705,143,848,0,,0,0
,UNITED KINGDOM,7966,929,8895,5017,5532,10549,331,19775,8332,931,9263,1145,,7,1152
,Total,32901,4987,37888,13131,15755,28886,1423,68197,31534,4886,36420,2666,,26,2692
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1867,87,1954,2514,1755,4269,27,6250,1783,89,1872,4,,0,4
,AUSTRIA,108,8,116,28,24,52,0,168,122,16,138,0,,0,0
,CYPRUS,76,1,77,0,0,0,0,77,0,1,1,0,,0,0
,DENMARK,91,11,102,2,0,2,0,104,105,11,116,0,,0,0
,FINLAND,25,3,28,3,42,45,0,73,25,3,28,0,,0,0
,GREECE,6,1,7,0,0,0,0,7,24,1,25,0,,0,0
,IRELAND,3120,42,3162,0,0,0,40,3202,3032,38,3070,0,,0,0
,ISRAEL,838,57,895,0,0,0,0,895,588,52,640,0,,0,0
,NEW ZEALAND,170,4,174,136,93,229,0,403,244,11,255,0,,0,0
,NORWAY,247,54,301,10,0,10,0,311,226,48,274,0,,0,0
,PORTUGAL,12,7,19,0,0,0,0,19,134,18,152,0,,0,0
,SLOVAKIA,25,1,26,0,0,0,0,26,34,1,35,0,,0,0
,SPAIN,402,344,746,124,86,210,2,958,398,381,779,13,,0,13
,OTHER NON G-10 DEV.,63,33,96,0,0,0,1,97,69,32,101,0,,0,0
,Total,7050,653,7703,2817,2000,4817,70,12590,6784,702,7486,17,,0,17
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,4,33,37,0,0,0,0,37,14,33,47,0,,0,0
,CZECH REPUBLIC,18,9,27,0,0,0,0,27,3,1,4,0,,0,0
,HUNGARY,0,7,7,1,0,1,39,47,35,7,42,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,38,4,42,32,0,32,0,74,78,4,82,0,,0,0
