,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,145,541,686,15797,1846,,2167,7721,991,1579,0,289,,1579
,CANADA,6124,27181,33305,40837,25362,,7861,17862,4499,23928,3,13392,,23928
,FRANCE,744,14830,15574,76813,23690,,11509,49993,8628,67928,0,28409,,67928
,GERMANY,13447,42803,56250,107471,130689,,17848,40094,8456,24606,0,14168,,24606
,ITALY,1437,9306,10743,49514,-3104,,1438,41148,9413,5217,0,1410,,5217
,JAPAN,8458,72213,80671,110206,243502,,13377,99081,19494,159980,0,98575,,159980
,LUXEMBOURG,59220,30395,89615,85508,-58387,,2423,9057,383,10386,0,1394,,10386
,NETHERLANDS,29142,10796,39938,67078,-35028,,4716,21469,2370,1596,0,323,,1596
,SWEDEN,8,512,520,13234,218,,902,6951,476,1464,0,1096,,1464
,SWITZERLAND,9498,2823,12321,37220,22063,,878,7524,311,3439,0,989,,3439
,UNITED KINGDOM,1037220,233981,1271201,303932,234524,,12858,71916,13532,58151,0,42945,,58151
,Total,1165443,445381,1610824,907610,585375,,75977,372816,68553,358274,3,202990,,358274
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5685,59232,64917,80870,27831,,11014,31041,1578,9073,5,5643,,9073
,AUSTRIA,91,256,347,7327,-303,,2556,3638,1419,1256,0,1139,,1256
,CYPRUS,0,0,0,3125,0,,0,772,36,370,0,178,,370
,DENMARK,3,325,328,10451,74,,8,2912,100,4672,0,433,,4672
,FINLAND,0,115,115,6572,-7,,2126,3786,580,2697,0,58,,2697
,GREECE,39,1060,1099,4516,-829,,0,835,258,806,0,242,,806
,IRELAND,9254,14844,24098,91905,50936,,8050,17739,581,22518,0,2467,,22518
,ISRAEL,905,1704,2609,5586,-1075,,207,3723,257,146,0,141,,146
,NEW ZEALAND,27,855,882,3953,1040,,357,984,93,501,0,407,,501
,NORWAY,0,204,204,6582,-126,,55,2732,143,5696,0,258,,5696
,PORTUGAL,2,230,232,2678,-198,,0,1328,401,45,0,5,,45
,SLOVAKIA,266,387,653,1317,-296,,45,165,25,92,0,76,,92
,SPAIN,184,1767,1951,27239,186,,1662,19978,4365,662,0,386,,662
,OTHER NON G-10 DEV.,1,1,2,6749,0,,0,226,3,834,0,334,,834
,Total,16457,80980,97437,258870,77233,,26080,89859,9839,49368,5,11767,,49368
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,263,349,612,1384,18,,50,2,0,0,0,0,,0
,CZECH REPUBLIC,869,1342,2211,3363,977,,554,555,108,4131,0,4085,,4131
,HUNGARY,740,1068,1808,3495,130,,787,1064,121,165,0,150,,165
