,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,3038,7,537,3582,3163,2,9349,2062,458,11869,8606,0,4465,174,46,4685,,4457,84
,CANADA,16988,5628,4516,27132,13591,808,6500,11549,1209,19258,6425,17,19689,14779,1732,36200,,20173,967
,FRANCE,17919,948,8784,27651,16874,115,29045,8955,3909,41909,27778,0,79697,4193,3462,87352,,79635,162
,GERMANY,12675,937,6171,19783,11295,244,56904,132813,11363,201080,49381,0,29652,8142,6176,43970,,36478,382
,ITALY,7565,166,1419,9150,7500,86,30830,659,15842,47331,30691,0,7742,1894,1149,10785,,7721,839
,JAPAN,56380,35382,2214,93976,46016,29974,32682,139687,3013,175382,32583,0,8679,115782,3913,128374,,8378,494
,LUXEMBOURG,1097,234,103,1434,2686,65,383,7185,20,7588,383,5,39193,3715,4078,46986,,40989,1481
,NETHERLANDS,6323,27,5528,11878,3865,0,8078,9309,547,17934,7825,0,15457,124,896,16477,,15581,0
,SWEDEN,6463,1,186,6650,10179,0,1797,712,7,2516,1759,1,4170,6,523,4699,,4230,0
,SWITZERLAND,8830,237,1933,11000,6300,153,1685,24277,80,26042,1580,11,6216,2943,4070,13229,,5558,3398
,UNITED KINGDOM,7354,25099,14603,47056,8325,29519,4626,154997,17340,176963,4284,7009,30079,117377,25163,172619,,28720,37953
,Total,144632,68666,45994,259292,129794,60966,181879,492205,53788,727872,171295,7043,245039,269129,51208,565376,,251920,45760
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,6698,7786,3605,18089,5906,953,3698,36478,175,40351,3696,2,8686,20192,1475,30353,,8431,1104
,AUSTRIA,622,1,168,791,729,0,6033,0,178,6211,5845,0,435,2,76,513,,534,0
,CYPRUS,146,0,12,158,147,0,106,0,0,106,106,0,1073,0,113,1186,,993,0
,DENMARK,4826,3,517,5346,1958,0,774,333,125,1232,328,0,2634,0,1138,3772,,2713,0
,FINLAND,3687,15,574,4276,1475,0,3893,12,34,3939,3701,0,1320,0,44,1364,,1467,0
,GREECE,1104,0,793,1897,1105,0,498,21,1565,2084,498,0,57,50,0,107,,55,0
,IRELAND,763,265,99,1127,657,212,2174,3926,60,6160,2171,0,58406,1840,3471,63717,,59336,622
,ISRAEL,490,56,244,790,500,9,2196,1055,45,3296,2329,2,197,55,101,353,,189,0
,NEW ZEALAND,730,389,152,1271,790,0,245,879,136,1260,244,0,907,109,113,1129,,951,0
,NORWAY,1617,1,64,1682,1643,0,7316,71,4,7391,6935,0,863,0,45,908,,986,0
,PORTUGAL,598,5,17,620,556,0,547,3,158,708,545,0,77,0,10,87,,78,0
,SLOVAKIA,70,1,1,72,70,0,193,104,10,307,193,0,17,10,0,27,,17,0
,SPAIN,3590,74,1436,5100,3532,12,10618,503,289,11410,10362,0,6679,58,466,7203,,6665,40
,OTHER NON G-10 DEV.,330,0,36,366,328,0,15400,0,21,15421,15400,0,499,0,14,513,,527,0
,Total,25271,8596,7718,41585,19396,1186,53691,43385,2800,99876,52353,4,81850,22316,7066,111232,,82942,1766
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,7,5,1,13,9,0,1,449,0,450,1,218,0,11,6,17,,0,11
,CZECH REPUBLIC,2554,7,15,2576,2587,1,292,2423,74,2789,292,0,215,26,0,241,,215,3
,HUNGARY,174,83,36,293,187,61,807,1127,12,1946,806,18,97,19,9,125,,97,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,720,452,62,1234,719,233,851,7150,0,8001,848,374,651,445,538,1634,,651,1
,ROMANIA,35,8,18,61,62,4,261,1920,0,2181,261,417,58,6,1,65,,57,8
,RUSSIA,681,619,299,1599,674,244,1500,2953,27,4480,1500,0,121,1897,62,2080,,126,684
,TURKEY,6189,182,630,7001,6228,0,418,1348,0,1766,418,3,592,54,15,661,,587,0
,OTHER E. EUROPE,385,4,7,396,385,2,2329,636,66,3031,2366,0,115,0,0,115,,112,0
,Total,10745,1360,1068,13173,10851,545,6459,18006,179,24644,6492,1030,1849,2458,631,4938,,1845,707
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,639,0,137,776,,640,0
,ARGENTINA,154,56,0,210,151,44,123,3199,0,3322,119,376,67,43,0,110,,65,0
,BRAZIL,8606,10043,357,19006,3090,7,7522,15709,7,23238,7609,1245,2502,1856,428,4786,,1893,3
,CHILE,4425,12,190,4627,4308,5,469,1649,5,2123,468,0,951,1832,238,3021,,948,0
,COLOMBIA,2115,64,26,2205,2068,17,1013,1947,19,2979,1007,58,284,480,101,865,,432,0
,COSTA RICA,183,103,0,286,188,0,51,735,4,790,51,36,47,24,12,83,,52,16
,DOMINICAN REPUBLIC,144,4,0,148,144,1,139,257,3,399,162,23,5,0,0,5,,46,0
,ECUADOR,48,51,3,102,48,58,16,193,0,209,18,193,19,7,0,26,,35,0
,EL SALVADOR,168,9,0,177,168,9,12,224,0,236,12,224,6,0,0,6,,10,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,654,9,0,663,664,4,10,375,3,388,10,82,14,0,1,15,,16,0
,HONDURAS,480,1,0,481,491,0,30,166,0,196,30,52,17,0,0,17,,17,0
,MEXICO,668,2815,557,4040,956,584,2339,26649,1505,30493,2335,404,2882,9307,1054,13243,,3356,490
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1144,21,44,1209,1149,13,620,1296,8,1924,619,26,132,29,113,274,,114,4
,URUGUAY,138,7,3,148,248,6,298,418,70,786,188,144,207,4,7,218,,192,2
,VENEZUELA,0,0,0,0,0,0,23,3,0,26,16,1,14,0,0,14,,20,0
,OTHER LAT. AM. & CAR.,321,66,14,401,375,37,337,742,1,1080,338,100,27979,0,1088,29067,,34728,0
,Total,19248,13261,1194,33703,14048,785,13002,53562,1625,68189,12982,2964,35765,13582,3179,52526,,42564,515
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,17062,4582,2224,23868,15020,873,4855,17942,251,23048,4850,2509,8114,2176,1184,11474,,7625,153
,INDIA,4113,2827,436,7376,3237,152,1019,25909,43,26971,1019,59,2737,4013,271,7021,,2628,93
,INDONESIA,1250,439,23,1712,997,743,3401,3135,30,6566,3406,1026,512,906,25,1443,,401,86
,"KOREA, SOUTH",6153,2812,430,9395,4332,958,13980,17647,891,32518,12493,474,11434,3134,2427,16995,,11399,9
,KUWAIT,1122,72,10,1204,1153,0,8132,176,29,8337,8132,0,4957,0,52,5009,,4957,0
,MALAYSIA,1815,1091,228,3134,1675,3,436,6388,8,6832,436,627,214,351,20,585,,205,123
,PAKISTAN,43,1,5,49,44,1,167,568,0,735,167,8,2,0,0,2,,2,0
,PHILIPPINES,1074,429,10,1513,1071,314,395,3190,7,3592,124,113,61,288,24,373,,59,10
,QATAR,4490,17,59,4566,4490,0,6022,0,23,6045,6013,0,22,0,3,25,,22,0
,SAUDI ARABIA,2099,283,173,2555,2089,29,15994,755,122,16871,16132,4,4024,73,77,4174,,4093,0
,TAIWAN,2540,2224,207,4971,2394,1070,5415,9325,238,14978,5415,14,12668,989,346,14003,,12639,150
,THAILAND,640,784,253,1677,508,25,428,5355,66,5849,412,0,311,76,29,416,,320,0
,UNITED ARAB EMIRATES,3337,845,177,4359,3412,469,932,2753,101,3786,974,390,5272,225,68,5565,,5270,200
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,1596,105,21,1722,2402,9,1254,3290,23,4567,1632,1654,577,88,5,670,,569,50
,Total,47334,16511,4256,68101,42824,4646,62430,96433,1832,160695,61205,6878,50905,12319,4531,67755,,50189,874
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,1,72,0,73,1,4,0,671,0,671,0,206,16,7,0,23,,16,0
,EGYPT,1529,9,0,1538,1554,3,4759,1298,0,6057,4974,22,45,2,0,47,,67,0
,GHANA,67,0,0,67,67,0,1419,0,0,1419,1536,0,3,0,0,3,,3,0
,KENYA,78,39,0,117,99,42,138,476,0,614,138,18,1,0,0,1,,1,0
,MOROCCO,218,145,6,369,222,30,48,257,0,305,48,0,1,0,0,1,,1,0
,NIGERIA,719,125,0,844,807,87,6213,1913,157,8283,6213,0,282,36,5,323,,282,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2033,610,574,3217,1950,30,1139,1857,0,2996,968,0,1347,826,221,2394,,1352,37
,SOUTH SUDAN,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,253,97,0,350,259,8,1133,618,15,1766,1164,97,153,48,37,238,,307,0
,Total,4899,1097,580,6576,4960,204,14849,7090,172,22111,15041,343,1848,919,263,3030,,2029,37
,,,,,,,,,,,,,,,,,,,,
