,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,20038,312,14015,8495,28845,919,1853,29777
,CANADA,93223,10569,73255,62062,165854,9477,18273,174707
,FRANCE,178776,1158,156803,24136,204070,2444,16669,218309
,GERMANY,156616,582,122169,175508,332706,15948,52630,369358
,ITALY,53229,1139,43131,6116,60484,429,1936,61984
,JAPAN,141956,35520,147796,296028,473504,3856,29183,498824
,LUXEMBOURG,74342,2289,51071,17213,93844,13037,5000,85805
,NETHERLANDS,60283,72,37748,12016,72371,11541,7252,68081
,SWEDEN,26262,1,22216,255,26518,3651,1755,24620
,SWITZERLAND,27360,5767,27252,27150,60277,4607,57577,113312
,UNITED KINGDOM,155654,90384,178678,303337,549375,70444,29659,508381
,Total,987739,147793,874134,932316,2067848,136353,221787,2153158
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,28036,3305,19490,88088,119429,7098,3632,115961
,AUSTRIA,9871,0,5203,72,9943,1293,721,9367
,CYPRUS,2328,0,2114,0,2328,579,460,2208
,DENMARK,7456,0,6349,324,7780,664,2374,9490
,FINLAND,12772,0,9686,77,12849,99,2353,15103
,GREECE,1821,0,1068,266,2087,154,38,1971
,IRELAND,91240,1703,68118,16174,109117,15401,3797,97517
,ISRAEL,5358,211,4009,1541,7110,536,720,7291
,NEW ZEALAND,2922,56,2370,2215,5193,887,263,4565
,NORWAY,15239,0,12815,78,15317,575,1419,16161
,PORTUGAL,3463,0,2670,29,3492,258,80,3316
,SLOVAKIA,866,3,724,271,1140,54,4,1092
,SPAIN,37465,202,25395,1960,39627,725,3164,42057
,OTHER NON G-10 DEV.,11305,0,3319,0,11305,350,392,11342
,Total,230142,5480,163330,111095,346717,28673,19417,337441
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,95,357,360,471,923,65,12,869
,CZECH REPUBLIC,3713,325,3886,3063,7101,294,56,6864
,HUNGARY,1078,273,1045,1187,2538,302,180,2416
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3292,1150,3686,11940,16382,868,479,15996
,ROMANIA,548,444,943,1358,2350,241,22,2129
,RUSSIA,4773,1181,4843,6126,12080,662,364,11783
,TURKEY,7197,460,5925,2107,9764,536,455,9682
,OTHER E. EUROPE,3099,27,3005,644,3770,147,135,3752
,Total,23795,4217,23693,26896,54908,3115,1703,53491
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,518,0,510,0,518,58,29,489
,ARGENTINA,2446,956,2300,4644,8046,950,221,7313
,BRAZIL,41410,3222,35792,38661,83293,6041,10759,87975
,CHILE,6713,7,5074,3346,10066,623,345,9789
,COLOMBIA,4520,8,3094,2588,7116,1186,422,6347
,COSTA RICA,487,203,538,654,1344,201,30,1166
,DOMINICAN REPUBLIC,1148,34,868,362,1544,427,66,1031
,ECUADOR,1004,617,1183,22,1643,566,57,1114
,EL SALVADOR,529,254,674,0,783,179,26,628
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1269,71,1078,396,1736,268,213,1677
,HONDURAS,731,36,702,168,935,136,6,802
,MEXICO,23650,7575,20411,67167,98392,8010,3882,94249
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3227,596,2845,1485,5308,706,590,5196
,URUGUAY,1159,256,1143,460,1875,262,85,1697
,VENEZUELA,1583,1,966,4,1588,676,144,1051
,OTHER LAT. AM. & CAR.,50522,1015,37944,857,52394,12283,1641,41744
,Total,140916,14851,115122,120814,276581,32572,18516,262268
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,67711,10984,74233,29211,107906,4803,12693,115787
,INDIA,17647,2566,16829,47879,68092,3944,3673,67823
,INDONESIA,7595,2649,8781,4689,14933,2242,857,13551
,"KOREA, SOUTH",43948,3291,44379,43861,91100,2836,8678,97369
,KUWAIT,15881,77,15524,208,16166,170,68,16064
,MALAYSIA,4084,1803,4654,11705,17592,878,693,17511
,PAKISTAN,235,20,246,762,1017,157,5,865
,PHILIPPINES,2484,598,2523,5693,8775,462,732,9044
,QATAR,12389,0,8035,43,12432,178,616,12871
,SAUDI ARABIA,24674,279,17633,1359,26312,2160,1038,25190
,TAIWAN,35975,3479,38531,21087,60541,560,2016,61998
,THAILAND,2262,101,1940,10685,13048,543,251,12754
,UNITED ARAB EMIRATES,14216,3057,12797,3081,20354,1937,1240,19657
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,10382,2042,8777,3035,15459,4135,1223,12548
,Total,259483,30946,254882,183298,473727,25005,33783,483032
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,2,215,217,1070,1287,354,0,933
,EGYPT,10542,53,9602,1503,12098,357,22,11765
,GHANA,1675,0,1544,0,1675,192,1,1484
,KENYA,283,216,453,654,1153,76,2,1079
,MOROCCO,304,16,295,504,824,37,1,788
,NIGERIA,7822,148,7400,1992,9962,426,81,9617
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,6404,201,5049,6059,12664,972,1984,13673
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,5798,358,4258,1403,7559,2229,359,5690
,Total,32830,1207,28818,13185,47222,4643,2450,45029
,,,,,,,,,
,Banking Centers,,,,,,,,
