,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3123,2659,5782,16780,20715,,2687,7606,810,1366,4,1,,1366
,CANADA,9707,33519,43226,49681,23249,,25194,19899,2923,37228,637,16588,,37012
,FRANCE,2709,15119,17828,76047,22778,,14158,44554,5025,88960,18,43392,,88949
,GERMANY,14096,50663,64759,112695,150449,,27029,51629,7593,52494,0,12474,,52494
,ITALY,1410,10285,11695,59398,-2979,,3467,40021,8878,4491,0,1146,,4491
,JAPAN,7498,74153,81651,108032,256002,,25835,124827,14229,143486,145,70530,,143474
,LUXEMBOURG,66873,37400,104273,96279,-65364,,2839,9841,320,16029,3,1351,,16002
,NETHERLANDS,31597,12619,44216,72123,-33248,,9279,19886,1759,1538,0,327,,1524
,SWEDEN,13,578,591,18670,-336,,3362,8556,501,1930,0,1355,,1930
,SWITZERLAND,10177,2907,13084,38408,24102,,985,7824,353,4786,0,1457,,4785
,UNITED KINGDOM,1122292,259272,1381564,322475,240182,,23341,67428,9291,62716,87,33456,,62706
,Total,1269495,499174,1768669,970588,635550,,138176,402071,51682,415024,894,182077,,414733
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,9109,68201,77310,88788,24809,,17132,30555,1578,9245,0,6262,,9243
,AUSTRIA,86,311,397,9641,-294,,2988,4403,1393,390,0,239,,390
,CYPRUS,0,0,0,3241,-1,,0,662,24,389,0,166,,389
,DENMARK,7,326,333,10879,86,,276,3408,97,2036,0,73,,2036
,FINLAND,0,133,133,9559,7,,3004,4711,997,2296,0,90,,2296
,GREECE,33,1273,1306,5019,-1031,,0,946,143,640,0,52,,640
,IRELAND,17219,19406,36625,117743,40849,,8994,19992,682,20609,887,2365,,20426
,ISRAEL,1159,1706,2865,6793,-960,,916,3155,211,155,1,150,,154
