,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,3490,301,535,4326,3599,218,9613,8211,377,18201,8731,0,4327,208,30,4565,,4415,91
,CANADA,37438,12306,3536,53280,30066,1885,11820,14441,1182,27443,11759,753,28828,15257,2438,46523,,28969,721
,FRANCE,37778,969,9924,48671,27721,52,29617,10270,3291,43178,27583,0,102186,4908,3834,110928,,101842,203
,GERMANY,50153,956,7132,58241,19759,251,77444,162626,8590,248660,66787,1,29353,8270,7284,44907,,37699,77
,ITALY,7201,280,1430,8911,6501,70,31800,904,16218,48922,31615,0,7247,1941,1218,10406,,7219,802
,JAPAN,71237,38797,1430,111464,51685,33399,61327,159113,2617,223057,61284,0,13830,98171,3264,115265,,12772,488
,LUXEMBOURG,1652,646,104,2402,3257,367,963,13537,19,14519,958,3,47781,4263,5251,57295,,49408,1570
,NETHERLANDS,9529,44,5924,15497,7820,20,8549,10187,556,19292,8095,11,14956,380,1170,16506,,15087,5
,SWEDEN,8826,2,151,8979,10943,0,2718,144,12,2874,2684,1,4462,5,522,4989,,4486,0
,SWITZERLAND,60003,546,1128,61677,7598,177,1360,26307,97,27764,1235,11,5517,3121,869,9507,,5110,3520
,UNITED KINGDOM,41971,32005,15379,89355,75833,39499,6919,172663,17772,197354,4291,7702,49792,123810,25810,199412,,48394,30402
,Total,329278,86852,46673,462803,244782,75938,242130,578403,50731,871264,225022,8482,308279,260334,51690,620303,,315401,37879
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,9428,9966,2230,21624,9615,665,3945,34012,294,38251,3934,3,9271,20308,2083,31662,,9074,1046
,AUSTRIA,1501,0,175,1676,1415,0,5552,0,210,5762,5340,0,779,2,91,872,,808,0
,CYPRUS,148,0,11,159,148,0,129,0,0,129,129,0,1335,0,96,1431,,1407,0
,DENMARK,3268,2,552,3822,2142,0,864,311,135,1310,333,0,2296,0,1267,3563,,2372,0
,FINLAND,5407,17,473,5897,3604,0,4179,11,90,4280,3925,0,2032,0,106,2138,,2054,0
,GREECE,858,0,863,1721,863,0,443,15,1655,2113,443,0,56,54,0,110,,145,0
,IRELAND,1241,334,61,1636,5111,210,3155,11324,66,14545,3155,0,62034,3376,5050,70460,,69467,762
,ISRAEL,639,51,186,876,635,7,1530,1435,75,3040,1587,10,207,26,151,384,,280,0
,NEW ZEALAND,531,497,55,1083,780,0,403,931,138,1472,402,0,804,126,184,1114,,933,0
,NORWAY,2606,0,73,2679,2276,0,8523,46,77,8646,7932,0,2063,20,96,2179,,2119,0
,PORTUGAL,778,0,13,791,727,0,1359,4,171,1534,1349,0,162,0,16,178,,163,0
,SLOVAKIA,38,1,0,39,38,0,614,106,22,742,614,0,8,10,0,18,,8,0
,SPAIN,4973,337,1826,7136,3427,10,14141,564,406,15111,13969,0,6914,67,517,7498,,6838,40
,OTHER NON G-10 DEV.,274,0,48,322,273,0,9987,0,517,10504,9987,0,463,0,12,475,,479,0
,Total,31690,11205,6566,49461,31054,892,54824,48759,3856,107439,53099,13,88424,23989,9669,122082,,96147,1848
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,18,11,4,33,10,0,21,666,0,687,21,310,0,9,7,16,,0,9
,CZECH REPUBLIC,2029,60,14,2103,2077,1,238,2725,82,3045,238,0,1056,24,1,1081,,1056,0
,HUNGARY,144,71,21,236,180,6,518,920,13,1451,513,18,123,24,28,175,,123,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,919,416,61,1396,853,126,508,7596,0,8104,503,352,782,576,603,1961,,781,14
,ROMANIA,45,6,18,69,100,3,246,1369,0,1615,246,259,63,21,1,85,,63,8
,RUSSIA,1226,451,351,2028,1154,110,1031,2422,54,3507,1031,0,351,2216,24,2591,,343,468
,TURKEY,4142,339,742,5223,4172,2,571,1425,2,1998,495,113,359,62,4,425,,552,51
,OTHER E. EUROPE,239,4,27,270,219,2,2288,562,20,2870,2306,0,40,6,0,46,,33,6
,Total,8762,1358,1238,11358,8765,250,5421,17685,171,23277,5353,1052,2774,2938,668,6380,,2951,556
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,54,0,0,0,1,1,0,0,414,0,159,573,,387,0
,ARGENTINA,184,194,0,378,296,71,235,4073,2,4310,220,589,68,44,0,112,,63,0
,BRAZIL,10447,5966,420,16833,5088,109,12728,26752,7,39487,12487,1422,3139,2473,548,6160,,2541,5
,CHILE,3408,13,195,3616,3334,7,212,1358,2,1572,211,0,1039,1922,189,3150,,1068,0
,COLOMBIA,1696,74,31,1801,1701,7,274,1775,13,2062,262,0,298,222,116,636,,503,0
,COSTA RICA,153,122,0,275,177,42,23,666,0,689,22,131,31,28,2,61,,42,27
,DOMINICAN REPUBLIC,166,10,0,176,318,7,116,308,5,429,138,21,5,0,0,5,,47,0
,ECUADOR,60,59,0,119,95,42,71,295,0,366,71,295,29,13,0,42,,46,13
,EL SALVADOR,154,8,0,162,170,8,23,232,0,255,23,232,5,0,0,5,,10,0
