,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2924,2119,5043,1080,19005,,363,52,4,0,0,0,,0
,CANADA,1870,4527,6397,7055,3090,,16714,1603,190,12682,635,2618,,12466
,FRANCE,0,197,197,764,934,,5148,500,147,3594,11,3505,,3583
,GERMANY,817,5867,6684,6007,10627,,9768,759,2,27632,0,862,,27632
,ITALY,0,704,704,2893,606,,1990,110,3,0,0,0,,0
,JAPAN,19,3972,3991,4412,23290,,8998,7199,103,11304,0,126,,11292
,LUXEMBOURG,8269,5001,13270,13511,-4328,,257,509,27,7088,0,27,,7061
,NETHERLANDS,1573,2268,3841,6782,-1903,,4451,395,40,27,0,14,,13
,SWEDEN,1,41,42,1381,49,,2472,126,32,2,0,0,,2
,SWITZERLAND,67,37,104,1326,333,,556,296,97,1154,0,29,,1153
,UNITED KINGDOM,77858,45484,123342,53030,-17275,,10695,1263,234,17279,80,1069,,17269
,Total,93398,70217,163615,98241,34428,,61412,12812,879,80762,726,8250,,80471
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5856,6719,12575,10841,-1697,,5133,154,32,16,0,6,,14
,AUSTRIA,0,52,52,299,19,,1019,0,0,9,0,0,,9
,CYPRUS,0,0,0,73,0,,0,0,0,0,0,0,,0
,DENMARK,2,4,6,1505,5,,269,31,10,0,0,0,,0
,FINLAND,0,4,4,654,32,,1097,6,4,31,0,0,,31
,GREECE,0,0,0,132,1,,0,5,0,0,0,0,,0
,IRELAND,6238,5051,11289,23747,-4459,,732,230,10,2507,876,184,,2324
,ISRAEL,0,3,3,389,-3,,424,206,1,1,1,1,,0
,NEW ZEALAND,2,34,36,1140,227,,121,23,0,1,0,0,,1
,NORWAY,0,165,165,1518,-85,,2153,29,9,100,0,16,,100
,PORTUGAL,0,0,0,139,0,,71,6,0,9,0,0,,9
,SLOVAKIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SPAIN,89,366,455,675,432,,2447,97,24,142,0,0,,142
,OTHER NON G-10 DEV.,0,0,0,44,0,,13,0,0,0,0,0,,0
,Total,12187,12398,24585,41156,-5528,,13479,787,90,2816,877,207,,2630
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,22,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,1,0,1,21,0,,0,0,0,0,0,0,,0
,HUNGARY,13,1,14,9,108,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,0,145,145,141,34,,20,0,0,0,0,0,,0
,ROMANIA,0,0,0,2,0,,6,0,0,0,0,0,,0
,RUSSIA,0,5,5,338,37,,5,12,11,0,0,0,,0
,TURKEY,0,0,0,271,0,,18,0,0,0,0,0,,0
,OTHER E. EUROPE,0,0,0,98,172,,8,1,0,1,0,0,,1
,Total,14,151,165,902,351,,57,13,11,1,0,0,,1
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,2,0,2,466,0,,0,0,0,115,0,0,,115
,ARGENTINA,309,191,500,512,609,,3,28,4,20,18,20,,0
,BRAZIL,0,247,247,263,30,,312,2620,12,21,17,21,,0
,CHILE,1,4,5,55,127,,188,17,0,1,1,1,,0
,COLOMBIA,0,0,0,4,2,,33,3,3,1,1,1,,0
,COSTA RICA,0,0,0,1,0,,0,0,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,0,12,,0,1,0,0,0,0,,0
,ECUADOR,0,0,0,1,8,,0,3,2,0,0,0,,0
,EL SALVADOR,0,0,0,1,0,,0,0,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
