,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,358,296,0,654,335,216,273,6062,16,6351,141,0,147,14,0,161,,244,0
,CANADA,20442,5610,766,26818,17223,1066,5771,1410,168,7349,5770,731,10581,1009,85,11675,,10746,77
,FRANCE,18464,8,725,19197,9076,0,3205,130,7,3342,2381,0,1680,216,240,2136,,1445,0
,GERMANY,37789,131,312,38232,8497,13,7786,15257,16,23059,6513,0,1551,135,14,1700,,1130,20
,ITALY,613,93,0,706,92,1,2016,267,0,2283,1995,0,23,0,3,26,,21,0
,JAPAN,19672,6781,62,26515,9813,6106,14525,17837,24,32386,14525,0,6255,255,166,6676,,6106,0
,LUXEMBOURG,415,359,5,779,472,295,89,5846,0,5935,85,0,8928,148,165,9241,,8596,80
,NETHERLANDS,1992,9,9,2010,1852,3,1131,314,7,1452,1053,5,762,268,4,1034,,593,1
,SWEDEN,2483,0,0,2483,2184,0,1100,10,0,1110,1215,0,268,0,0,268,,268,0
,SWITZERLAND,52588,290,50,52928,2270,3,218,0,0,218,204,0,395,190,194,779,,281,0
,UNITED KINGDOM,31972,6126,587,38685,63151,10522,3058,37999,6,41063,776,22,16117,16695,1709,34521,,16252,3201
,Total,186788,19703,2516,209007,114965,18225,39172,85132,244,124548,34658,758,46707,18930,2580,68217,,45682,3379
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,3828,2935,66,6829,4003,21,11,1144,32,1187,1,0,536,137,36,709,,573,3
,AUSTRIA,440,0,0,440,340,0,743,0,0,743,743,0,38,1,6,45,,14,0
,CYPRUS,5,0,0,5,5,0,0,0,0,0,0,0,1,0,0,1,,1,0
,DENMARK,408,0,17,425,718,0,144,0,0,144,95,0,91,0,0,91,,91,0
,FINLAND,601,1,0,602,317,0,589,0,0,589,400,0,490,0,0,490,,487,0
,GREECE,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,IRELAND,352,98,1,451,4429,3,527,7112,0,7639,527,0,3810,989,195,4994,,9287,115
,ISRAEL,295,0,2,297,290,0,422,16,0,438,421,0,34,0,0,34,,33,0
,NEW ZEALAND,71,23,0,94,301,0,1,6,0,7,0,0,17,0,17,34,,17,0
,NORWAY,1009,0,4,1013,1103,0,909,3,0,912,636,0,736,20,1,757,,736,0
,PORTUGAL,2,0,0,2,1,0,222,0,0,222,217,0,7,0,0,7,,7,0
,SLOVAKIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,2785,257,372,3414,1312,0,2213,47,0,2260,2213,0,317,0,0,317,,317,0
,OTHER NON G-10 DEV.,7,0,0,7,7,0,8,0,0,8,8,0,68,0,4,72,,77,0
,Total,9806,3314,462,13582,12828,24,5789,8328,32,14149,5261,0,6145,1147,259,7551,,11640,118
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,9,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,49,0,0,49,78,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HUNGARY,32,0,0,32,42,0,0,0,0,0,0,0,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,257,22,0,279,192,0,20,2,0,22,20,0,2,8,0,10,,2,0
,ROMANIA,2,0,0,2,17,0,6,0,0,6,6,0,0,0,0,0,,0,0
