,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,18783,96,13248,2283,21162,547,1501,22115
,CANADA,48889,7402,44453,45775,102066,7242,11833,106657
,FRANCE,163968,1158,148990,23120,188246,1698,5453,192017
,GERMANY,136251,506,111151,159151,295908,13564,19137,301523
,ITALY,51070,1138,42047,4749,56957,399,1333,57885
,JAPAN,110473,29414,116275,274177,414064,2034,15867,427891
,LUXEMBOURG,61470,1875,41458,11195,74540,12026,3327,65843
,NETHERLANDS,52332,63,35668,11472,63867,10015,5782,59635
,SWEDEN,22004,1,19886,147,22152,3503,1451,20098
,SWITZERLAND,23716,5764,24174,26670,56150,4478,6653,58391
,UNITED KINGDOM,66026,75681,99064,245611,387318,25142,14850,376832
,Total,754982,123098,696414,804350,1682430,80648,87187,1688887
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,21713,3281,17097,79092,104086,5412,2566,101239
,AUSTRIA,8619,0,5010,2,8621,1257,589,7949
,CYPRUS,2321,0,2107,0,2321,579,394,2135
,DENMARK,6444,0,5646,321,6765,328,2292,8730
,FINLAND,11545,0,9269,30,11575,74,1857,13358
,GREECE,1789,0,1044,266,2055,131,29,1954
,IRELAND,74500,1585,54044,8093,84178,4851,2664,81996
,ISRAEL,4049,211,3267,1525,5785,415,343,5713
,NEW ZEALAND,2336,56,1994,1939,4331,534,244,4038
,NORWAY,12466,0,11591,44,12510,298,960,13173
,PORTUGAL,3053,0,2415,28,3081,95,73,3061
,SLOVAKIA,859,3,718,271,1133,48,4,1091
,SPAIN,32797,191,22214,1455,34443,545,1591,35481
,OTHER NON G-10 DEV.,11103,0,3261,0,11103,316,380,11164
,Total,193594,5327,139677,93066,291987,14883,13986,291082
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,60,357,345,471,888,31,3,859
,CZECH REPUBLIC,3622,325,3806,3063,7010,250,23,6784
,HUNGARY,966,273,981,1186,2425,216,167,2376
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3002,1150,3407,11871,16023,799,384,15611
,ROMANIA,482,444,878,1358,2284,190,21,2113
,RUSSIA,4384,1181,4601,6107,11672,579,293,11389
,TURKEY,6933,460,5790,2107,9500,472,433,9462
,OTHER E. EUROPE,3013,21,2923,644,3678,86,109,3696
,Total,22462,4211,22731,26807,53480,2623,1433,52290
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,315,0,309,0,315,3,0,312
,ARGENTINA,1852,634,1917,4232,6718,575,60,6208
,BRAZIL,34881,3100,30607,38199,76180,5080,9287,80379
,CHILE,5592,6,4261,3332,8930,290,292,8934
,COLOMBIA,3763,8,2649,2588,6359,1023,307,5646
,COSTA RICA,306,203,398,654,1163,69,23,1116
,DOMINICAN REPUBLIC,780,34,708,362,1176,286,58,947
,ECUADOR,620,617,1002,0,1237,346,0,891
,EL SALVADOR,423,254,580,0,677,120,24,582
