,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,199,540,739,15700,1710,,2324,7554,806,1366,4,1,,1366
,CANADA,7837,28992,36829,42626,20159,,8480,18296,2733,24546,2,13970,,24546
,FRANCE,2709,14922,17631,75283,21844,,9010,44054,4878,85366,7,39887,,85366
,GERMANY,13279,44796,58075,106688,139822,,17261,50870,7591,24862,0,11612,,24862
,ITALY,1410,9581,10991,56505,-3585,,1477,39911,8875,4491,0,1146,,4491
,JAPAN,7479,70181,77660,103620,232712,,16837,117628,14126,132182,145,70404,,132182
,LUXEMBOURG,58604,32399,91003,82768,-61036,,2582,9332,293,8941,3,1324,,8941
,NETHERLANDS,30024,10351,40375,65341,-31345,,4828,19491,1719,1511,0,313,,1511
,SWEDEN,12,537,549,17289,-385,,890,8430,469,1928,0,1355,,1928
,SWITZERLAND,10110,2870,12980,37082,23769,,429,7528,256,3632,0,1428,,3632
,UNITED KINGDOM,1044434,213788,1258222,269445,257457,,12646,66165,9057,45437,7,32387,,45437
,Total,1176097,428957,1605054,872347,601122,,76764,389259,50803,334262,168,173827,,334262
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,3253,61482,64735,77947,26506,,11999,30401,1546,9229,0,6256,,9229
,AUSTRIA,86,259,345,9342,-313,,1969,4403,1393,381,0,239,,381
,CYPRUS,0,0,0,3168,-1,,0,662,24,389,0,166,,389
,DENMARK,5,322,327,9374,81,,7,3377,87,2036,0,73,,2036
,FINLAND,0,129,129,8905,-25,,1907,4705,993,2265,0,90,,2265
,GREECE,33,1273,1306,4887,-1032,,0,941,143,640,0,52,,640
,IRELAND,10981,14355,25336,93996,45308,,8262,19762,672,18102,11,2181,,18102
,ISRAEL,1159,1703,2862,6404,-957,,492,2949,210,154,0,149,,154
,NEW ZEALAND,22,952,974,3764,1020,,381,974,122,328,0,254,,328
,NORWAY,0,212,212,6874,-166,,56,2945,102,6292,0,278,,6292
,PORTUGAL,3,235,238,2788,-216,,0,2334,394,174,0,7,,174
,SLOVAKIA,301,698,999,1631,-626,,47,80,2,560,0,73,,560
,SPAIN,291,1939,2230,30271,-172,,1757,19277,2489,358,0,121,,358
,OTHER NON G-10 DEV.,1,1,2,6833,-1,,0,214,0,2463,0,668,,2463
,Total,16135,83560,99695,266184,69406,,26877,93024,8177,43371,11,10607,,43371
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,294,442,736,921,108,,45,9,1,2,0,2,,2
,CZECH REPUBLIC,1326,1802,3128,4273,397,,185,504,42,5040,0,2963,,5040
,HUNGARY,710,1017,1727,3102,44,,733,627,70,29,0,29,,29
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,3294,9403,12697,14260,2167,,6308,1869,181,273,0,126,,273
,ROMANIA,690,1583,2273,2407,-432,,1153,459,105,23,0,6,,23
,RUSSIA,2522,5437,7959,13390,-360,,1208,3590,251,1963,0,1950,,1963
,TURKEY,640,884,1524,3899,1137,,254,1904,87,1481,0,1479,,1481
,OTHER E. EUROPE,458,565,1023,5865,-357,,175,1181,93,1470,0,19,,1470
,Total,9934,21133,31067,48117,2704,,10061,10143,830,10281,0,6574,,10281
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,520,0,,0,0,0,194,0,0,,194
,ARGENTINA,616,3014,3630,2224,1292,,58,1048,25,640,0,638,,640
,BRAZIL,224,14189,14413,16450,22238,,3955,27636,1660,15424,0,14497,,15424
,CHILE,10,150,160,1105,3085,,17,882,110,0,0,0,,0
,COLOMBIA,7,2593,2600,2358,240,,1029,954,90,88,0,23,,88
,COSTA RICA,265,475,740,772,344,,196,104,2,27,0,27,,27
,DOMINICAN REPUBLIC,54,264,318,486,78,,162,130,43,0,0,0,,0
,ECUADOR,566,0,566,500,75,,34,91,34,0,0,0,,0
,EL SALVADOR,231,0,231,226,90,,149,33,5,40,0,40,,40
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,129,283,412,319,30,,228,11,1,0,0,0,,0
,HONDURAS,30,135,165,158,44,,96,26,0,0,0,0,,0
,MEXICO,6806,53696,60502,62480,14226,,16268,11824,698,1725,0,1682,,1725
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,636,1030,1666,1872,491,,557,837,127,48,0,48,,48
,URUGUAY,971,234,1205,609,4167,,0,731,12,0,0,0,,0
,VENEZUELA,1,2,3,79,7,,0,23,0,0,0,0,,0
,OTHER LAT. AM. & CAR.,490,723,1213,33449,830,,394,5360,154,2704,0,1484,,2704
,Total,11036,76788,87824,123607,47237,,23143,49690,2961,20890,0,18439,,20890
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,5829,25651,31480,48672,8593,,8227,51738,366,3288,0,320,,3288
,INDIA,2767,31418,34185,32375,17964,,12494,18446,965,5260,0,4965,,5260
,INDONESIA,1633,3553,5186,7419,2509,,1708,3696,103,193,0,188,,193
,"KOREA, SOUTH",5209,26623,31832,42795,18372,,10578,16856,36,17257,0,5480,,17257
,KUWAIT,29,183,212,3335,49,,91,1289,1,12748,0,595,,12748
,MALAYSIA,4193,7368,11561,13837,2417,,1976,2090,69,1472,0,473,,1472
,PAKISTAN,67,750,817,816,-32,,396,180,1,0,0,0,,0
,PHILIPPINES,3069,3974,7043,8143,1927,,984,699,12,755,0,555,,755
,QATAR,16,45,61,3017,-17,,0,2897,29,2184,0,392,,2184
,SAUDI ARABIA,673,310,983,30776,616,,288,2593,92,6850,0,123,,6850
,TAIWAN,16342,12096,28438,51917,1922,,1612,20108,397,12294,1,1843,,12294
,THAILAND,1565,6535,8100,11261,3082,,4320,2196,37,723,0,723,,723
