,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,3132,5,535,3672,3264,2,9340,2149,361,11850,8590,0,4180,194,30,4404,,4171,91
,CANADA,16996,6696,2770,26462,12843,819,6049,13031,1014,20094,5989,22,18247,14248,2353,34848,,18223,644
,FRANCE,19314,961,9199,29474,18645,52,26412,10140,3284,39836,25202,0,100506,4692,3594,108792,,100397,203
,GERMANY,12364,825,6820,20009,11262,238,69658,147369,8574,225601,60274,1,27802,8135,7270,43207,,36569,57
,ITALY,6588,187,1430,8205,6409,69,29784,637,16218,46639,29620,0,7224,1941,1215,10380,,7198,802
,JAPAN,51565,32016,1368,84949,41872,27293,46802,141276,2593,190671,46759,0,7575,97916,3098,108589,,6666,488
,LUXEMBOURG,1237,287,99,1623,2785,72,874,7691,19,8584,873,3,38853,4115,5086,48054,,40812,1490
,NETHERLANDS,7537,35,5915,13487,5968,17,7418,9873,549,17840,7042,6,14194,112,1166,15472,,14494,4
,SWEDEN,6343,2,151,6496,8759,0,1618,134,12,1764,1469,1,4194,5,522,4721,,4218,0
,SWITZERLAND,7415,256,1078,8749,5328,174,1142,26307,97,27546,1031,11,5122,2931,675,8728,,4829,3520
,UNITED KINGDOM,9999,25879,14792,50670,12682,28977,3861,134664,17766,156291,3515,7680,33675,107115,24101,164891,,32142,27201
,Total,142490,67149,44157,253796,129817,57713,202958,493271,50487,746716,190364,7724,261572,241404,49110,552086,,269719,34500
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5600,7031,2164,14795,5612,644,3934,32868,262,37064,3933,3,8735,20171,2047,30953,,8501,1043
,AUSTRIA,1061,0,175,1236,1075,0,4809,0,210,5019,4597,0,741,1,85,827,,794,0
,CYPRUS,143,0,11,154,143,0,129,0,0,129,129,0,1334,0,96,1430,,1406,0
