,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2020
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,3029,55,3084,6,25,31,277,3392,2702,56,2758,0,,3,3
,CANADA,13846,650,14496,16150,744,16894,1731,33121,11385,449,11834,5913,,4,5917
,FRANCE,21177,354,21531,7440,1021,8461,2320,32312,19377,347,19724,895,,8,903
,GERMANY,31940,121,32061,3056,253,3309,5910,41280,28005,141,28146,118,,92,210
,ITALY,8149,298,8447,2333,744,3077,335,11859,7560,283,7843,223,,44,267
,JAPAN,18494,256,18750,31989,2,31991,633,51374,15001,175,15176,1633,,0,1633
,LUXEMBOURG,11386,9,11395,1391,0,1391,695,13481,16991,9,17000,310,,0,310
,NETHERLANDS,18827,132,18959,1443,64,1507,2316,22782,24688,140,24828,36,,0,36
,SWEDEN,7746,50,7796,6,0,6,85,7887,7508,50,7558,0,,0,0
,SWITZERLAND,12107,641,12748,272,2198,2470,1099,16317,12256,272,12528,667,,1392,2059
,UNITED KINGDOM,15747,3605,19352,39432,2855,42287,7287,68926,13981,3706,17687,11206,,617,11823
,Total,162448,6171,168619,103518,7906,111424,22688,302731,159454,5628,165082,21001,,2160,23161
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,4324,208,4532,10008,8360,18368,844,23744,3474,193,3667,1591,,0,1591
,AUSTRIA,1301,36,1337,0,0,0,27,1364,2116,37,2153,0,,0,0
,CYPRUS,463,66,529,0,0,0,9,538,576,67,643,0,,0,0
,DENMARK,2559,69,2628,4,0,4,244,2876,2473,28,2501,0,,0,0
,FINLAND,3389,1,3390,3,0,3,73,3466,3165,1,3166,0,,0,0
,GREECE,301,41,342,189,0,189,16,547,302,38,340,0,,0,0
,IRELAND,10882,76,10958,2462,0,2462,755,14175,10950,60,11010,731,,0,731
,ISRAEL,2336,89,2425,167,0,167,232,2824,2171,120,2291,194,,0,194
,NEW ZEALAND,578,27,605,259,0,259,69,933,512,27,539,56,,0,56
,NORWAY,2579,13,2592,0,0,0,296,2888,2600,14,2614,0,,0,0
,PORTUGAL,936,42,978,11,0,11,246,1235,996,43,1039,0,,0,0
,SLOVAKIA,169,0,169,145,0,145,13,327,199,0,199,3,,0,3
,SPAIN,12818,376,13194,857,53,910,774,14878,11997,408,12405,141,,0,141
